Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,25.125000,27.250000,25.125000,26.958334,26.788242,130900
2000-01-03,26.000000,26.000000,24.458334,24.500000,24.345419,744000
2000-01-04,24.458334,24.458334,22.333334,22.541666,22.399441,118800
2000-01-05,22.541666,22.541666,21.791666,22.000000,21.861193,133600
2000-01-06,22.166666,23.333334,22.125000,22.666666,22.523655,132100
2000-01-07,22.750000,23.666666,22.750000,23.208334,23.061905,55500
2000-01-10,23.250000,23.833334,23.250000,23.791666,23.641554,119200
2000-01-11,23.791666,23.791666,23.500000,23.708334,23.558750,155500
2000-01-12,23.666666,23.750000,23.416666,23.750000,23.600149,140100
2000-01-13,24.166666,25.250000,24.166666,24.958334,24.800861,52300
2000-01-14,25.000000,25.541666,25.000000,25.500000,25.339109,53700
2000-01-18,25.833334,26.833334,25.833334,26.458334,26.291397,403200
2000-01-19,26.458334,26.458334,25.583334,26.125000,25.960167,101500
2000-01-20,26.250000,26.333334,26.000000,26.083334,25.918762,33700
2000-01-21,26.000000,26.125000,24.250000,24.666666,24.511036,126900
2000-01-24,24.750000,25.333334,24.583334,24.625000,24.469631,73000
2000-01-25,24.583334,24.583334,23.583334,23.791666,23.641554,92200
2000-01-26,24.583334,25.416666,23.916666,24.208334,24.055593,179500
2000-01-27,24.291666,24.333334,24.083334,24.250000,24.096998,97600
2000-01-28,24.333334,24.333334,23.666666,23.958334,23.807171,57600
2000-01-31,23.958334,23.958334,23.083334,23.083334,22.937693,47200
2000-02-01,23.125000,23.291666,22.708334,23.291666,23.144711,41500
2000-02-02,23.291666,23.708334,23.166666,23.708334,23.558750,119100
2000-02-03,23.833334,24.500000,23.166666,24.416666,24.262609,109000
2000-02-04,24.458334,25.583334,24.250000,25.291666,25.132092,507900
2000-02-07,25.208334,26.000000,24.958334,25.375000,25.214899,278800
2000-02-08,25.458334,25.708334,25.000000,25.041666,24.883667,221500
2000-02-09,25.083334,27.041666,25.083334,26.750000,26.581224,372600
2000-02-10,26.750000,26.750000,26.333334,26.500000,26.332800,197700
2000-02-11,26.625000,26.791666,26.416666,26.708334,26.539822,245200
2000-02-14,26.666666,26.666666,26.166666,26.583334,26.415609,187200
2000-02-15,26.500000,26.583334,26.000000,26.208334,26.042974,200700
2000-02-16,26.208334,26.208334,25.916666,26.041666,25.877357,81100
2000-02-17,26.041666,26.041666,25.625000,25.708334,25.546131,46300
2000-02-18,25.666666,25.666666,24.875000,24.875000,24.718054,95200
2000-02-22,24.750000,24.791666,24.208334,24.416666,24.262609,111300
2000-02-23,24.500000,24.833334,24.250000,24.375000,24.221210,445500
2000-02-24,24.541666,26.000000,24.541666,25.916666,25.753147,136900
2000-02-25,25.875000,26.333334,25.500000,25.833334,25.670341,146800
2000-02-28,25.833334,25.875000,25.166666,25.541666,25.380514,85800
2000-02-29,25.583334,27.500000,25.583334,26.208334,26.042974,148000
2000-03-01,26.500000,27.125000,26.500000,26.833334,26.664030,232000
2000-03-02,26.916666,27.083334,26.750000,26.875000,26.705435,107500
2000-03-03,27.000000,28.416666,26.916666,28.166666,27.988953,148800
2000-03-06,28.000000,28.000000,27.500000,27.500000,27.326490,117400
2000-03-07,27.541666,27.541666,27.000000,27.000000,26.829649,172800
2000-03-08,27.083334,27.083334,26.333334,26.625000,26.457012,78400
2000-03-09,26.583334,26.583334,26.250000,26.333334,26.167187,230800
2000-03-10,26.333334,26.333334,26.125000,26.125000,25.960167,165300
2000-03-13,26.000000,26.083334,25.791666,25.875000,25.711744,108900
2000-03-14,25.916666,26.166666,25.916666,26.000000,25.835957,118000
2000-03-15,26.000000,26.000000,25.375000,25.750000,25.587534,103800
2000-03-16,25.750000,27.541666,25.750000,27.541666,27.367895,206400
2000-03-17,27.250000,28.708334,27.250000,28.708334,28.527201,147000
2000-03-20,29.000000,30.333334,29.000000,29.250000,29.065451,385800
2000-03-21,29.208334,29.833334,28.958334,29.791666,29.603699,238900
2000-03-22,29.791666,31.666666,29.791666,31.666666,31.466869,328200
2000-03-23,32.166668,34.000000,32.000000,33.333332,33.123020,594600
2000-03-24,33.333332,33.333332,32.416668,32.708332,32.501961,120700
2000-03-27,32.625000,32.625000,30.625000,30.958334,30.763006,244300
2000-03-28,30.875000,31.000000,30.666666,30.708334,30.514584,188100
2000-03-29,30.666666,31.750000,30.666666,31.375000,31.177044,240100
2000-03-30,31.375000,31.375000,30.583334,30.791666,30.597389,177600
2000-03-31,31.166666,32.500000,31.166666,31.666666,31.466869,219300
2000-04-03,31.666666,32.250000,29.875000,30.000000,29.810719,222400
2000-04-04,30.125000,30.375000,27.166666,27.541666,27.367895,372900
2000-04-05,27.375000,27.375000,25.583334,26.625000,26.457012,439800
2000-04-06,26.583334,26.583334,25.250000,25.583334,25.421917,298600
2000-04-07,25.250000,27.625000,25.041666,27.583334,27.409300,641400
2000-04-10,27.583334,28.333334,26.583334,26.750000,26.581224,268500
2000-04-11,26.750000,28.333334,26.625000,27.375000,27.202282,180400
2000-04-12,27.375000,28.333334,26.750000,27.000000,26.829649,367000
2000-04-13,27.500000,28.250000,27.291666,27.750000,27.574913,68500
2000-04-14,27.583334,27.583334,24.625000,24.625000,24.469631,271000
2000-04-17,24.625000,24.958334,24.250000,24.666666,24.511036,355800
2000-04-18,24.666666,25.416666,24.583334,25.208334,25.049284,85900
2000-04-19,25.500000,26.666666,25.500000,25.833334,25.670341,124500
2000-04-20,25.833334,27.416666,25.750000,26.750000,26.581224,117700
2000-04-24,26.833334,28.500000,26.750000,26.750000,26.581224,68100
2000-04-25,26.833334,27.250000,26.666666,27.041666,26.871050,99100
2000-04-26,27.041666,27.333334,26.979134,27.125000,26.953856,214900
2000-04-27,26.958334,27.166666,26.750000,27.000000,26.829649,66000
2000-04-28,27.166666,27.166666,26.125000,26.750000,26.581224,181500
2000-05-01,26.583334,26.750000,26.500000,26.541666,26.374205,148300
2000-05-02,26.666666,26.666666,25.000000,25.000000,24.842266,280900
2000-05-03,25.000000,25.000000,23.458334,24.833334,24.676651,264100
2000-05-04,24.666666,24.666666,23.833334,24.208334,24.055593,158200
2000-05-05,24.208334,24.750000,23.458334,24.458334,24.304016,222900
2000-05-08,24.333334,24.333334,22.833334,23.083334,22.937693,290700
2000-05-09,23.166666,23.291666,22.333334,22.458334,22.316635,565300
2000-05-10,22.625000,22.625000,20.916666,21.500000,21.364347,383800
2000-05-11,21.500000,21.625000,20.416666,21.000000,20.867502,378300
2000-05-12,21.166666,22.208334,21.125000,21.791666,21.654173,596100
2000-05-15,22.333334,22.500000,22.041666,22.333334,22.192425,455800
2000-05-16,22.416666,23.333334,22.416666,23.333334,23.186113,327300
2000-05-17,23.166666,23.208334,22.958334,23.041666,22.896288,123600
2000-05-18,22.958334,23.541666,22.958334,23.458334,23.310326,303700
2000-05-19,23.375000,23.666666,23.250000,23.375000,23.227518,107500
2000-05-22,23.291666,23.291666,22.541666,22.750000,22.606461,158500
2000-05-23,22.750000,23.000000,21.166666,21.333334,21.198734,240300
2000-05-24,21.333334,21.500000,21.291666,21.458334,21.322945,112000
2000-05-25,21.625000,22.333334,20.916666,20.916666,20.784695,90000
2000-05-26,20.833334,21.708334,20.833334,21.708334,21.571365,94000
2000-05-30,21.625000,23.166666,21.625000,22.833334,22.689270,70200
2000-05-31,22.833334,23.833334,22.333334,22.333334,22.192425,101700
2000-06-01,22.416666,23.416666,22.416666,23.416666,23.268919,80500
2000-06-02,23.833334,26.333334,23.833334,25.125000,24.966478,260200
2000-06-05,25.125000,25.250000,23.833334,24.291666,24.138401,190900
2000-06-06,24.375000,25.583334,24.166666,25.000000,24.842266,119100
2000-06-07,24.916666,25.333334,24.916666,25.291666,25.132092,43600
2000-06-08,25.208334,25.416666,24.875000,25.250000,25.090689,68400
2000-06-09,25.375000,25.416666,25.041666,25.333334,25.173496,41200
2000-06-12,25.416666,25.416666,24.333334,25.166666,25.007877,93100
2000-06-13,25.291666,25.458334,25.291666,25.416666,25.256300,105400
2000-06-14,25.500000,26.291666,25.500000,25.875000,25.711744,258100
2000-06-15,26.041666,26.208334,25.916666,26.083334,25.918762,137800
2000-06-16,26.250000,26.250000,25.666666,26.083334,25.918762,98700
2000-06-19,26.083334,28.250000,26.041666,28.250000,28.071758,361600
2000-06-20,28.208334,28.208334,27.166666,27.666666,27.492105,195700
2000-06-21,27.750000,29.125000,27.750000,29.041666,28.858433,359400
2000-06-22,29.000000,29.583334,28.750000,28.875000,28.692816,232800
2000-06-23,28.583334,28.625000,27.625000,27.625000,27.450705,123700
2000-06-26,27.625000,27.958334,27.625000,27.958334,27.781933,114300
2000-06-27,28.625000,28.708334,28.041666,28.041666,27.864740,61800
2000-06-28,28.083334,28.375000,27.833334,28.375000,28.195972,69900
2000-06-29,28.208334,29.083334,28.083334,28.958334,28.775625,89100
2000-06-30,28.958334,30.333334,28.125000,30.322866,30.131550,306000
2000-07-03,30.333334,30.333334,28.583334,29.166666,28.982643,126900
2000-07-05,29.166666,29.416666,28.083334,28.333334,28.154568,170700
2000-07-06,28.250000,29.333334,27.333334,29.291666,29.106852,274300
2000-07-07,29.291666,30.000000,29.208334,29.833334,29.645103,166900
2000-07-10,29.916666,30.250000,29.666666,30.000000,29.810719,141600
2000-07-11,30.000000,30.625000,29.958334,30.333334,30.141951,87000
2000-07-12,30.333334,31.291666,30.208334,31.291666,31.094234,291300
2000-07-13,31.416666,31.458334,30.791666,31.333334,31.135639,57600
2000-07-14,31.333334,31.583334,30.791666,31.583334,31.384062,229000
2000-07-17,31.750000,32.250000,31.333334,31.958334,31.756697,48900
2000-07-18,32.000000,32.000000,30.000000,30.041666,29.852123,176700
2000-07-19,30.208334,30.500000,28.750000,29.041666,28.858433,83100
2000-07-20,28.958334,30.625000,28.750000,30.625000,30.431776,109500
2000-07-21,30.583334,31.083334,30.458334,30.916666,30.721600,186900
2000-07-24,31.000000,31.000000,29.833334,29.833334,29.645103,237600
2000-07-25,29.833334,30.833334,29.833334,30.458334,30.266159,169800
2000-07-26,30.416666,31.291666,29.750000,30.166666,29.976332,246100
2000-07-27,30.083334,31.000000,30.000000,30.958334,30.763006,111700
2000-07-28,31.083334,32.583332,31.083334,32.333332,32.129326,203700
2000-07-31,32.375000,33.208332,31.250000,31.625000,31.425467,493200
2000-08-01,31.916666,31.916666,30.833334,31.875000,31.673889,269800
2000-08-02,32.000000,32.791668,32.000000,32.708332,32.501961,118200
2000-08-03,32.708332,32.708332,32.125000,32.333332,32.129326,128400
2000-08-04,32.375000,34.291668,32.375000,33.750000,33.537056,257400
2000-08-07,34.333332,35.333332,33.875000,34.791668,34.572155,341100
2000-08-08,34.916668,36.000000,34.750000,35.625000,35.400223,332100
2000-08-09,35.500000,35.500000,34.666668,35.000000,34.779171,186400
2000-08-10,35.000000,35.375000,34.500000,34.500000,34.282326,387300
2000-08-11,34.458332,34.750000,34.000000,34.750000,34.530746,181500
2000-08-14,35.416668,35.666668,35.166668,35.416668,35.193214,449400
2000-08-15,35.333332,37.125000,35.333332,36.083332,35.855667,237400
2000-08-16,36.000000,36.666668,36.000000,36.000000,35.772865,412800
2000-08-17,36.000000,36.166668,35.375000,35.666668,35.441631,102700
2000-08-18,35.791668,36.666668,35.125000,35.166668,34.944786,85600
2000-08-21,35.250000,36.166668,35.250000,35.625000,35.400223,87600
2000-08-22,35.708332,37.458332,35.708332,37.041668,36.807957,214200
2000-08-23,37.208332,38.083332,37.041668,37.541668,37.304802,168100
2000-08-24,37.416668,38.000000,37.416668,37.666668,37.429008,131500
2000-08-25,37.708332,38.791668,37.708332,38.666668,38.422707,131800
2000-08-28,38.625000,38.666668,37.416668,37.583332,37.346203,168700
2000-08-29,37.750000,37.833332,37.083332,37.291668,37.056381,442800
2000-08-30,37.416668,37.916668,36.333332,36.500000,36.269707,222100
2000-08-31,36.583332,37.291668,36.250000,37.083332,36.849358,332200
2000-09-01,37.500000,37.916668,36.791668,37.500000,37.263401,180900
2000-09-05,38.000000,38.250000,37.541668,37.541668,37.304802,214500
2000-09-06,37.666668,39.750000,37.583332,38.916668,38.671124,367900
2000-09-07,38.875000,39.166668,38.666668,38.875000,38.629719,342600
2000-09-08,38.750000,39.833332,38.666668,38.666668,38.422707,149200
2000-09-11,38.708332,40.916668,38.708332,40.916668,40.658504,168900
2000-09-12,41.000000,41.750000,40.000000,40.041668,39.789036,355800
