Date,Open,High,Low,Close,Adj Close,Volume
2001-10-30,20.250000,20.450001,20.174999,20.450001,18.084232,45441800
2001-10-31,20.549999,21.250000,20.504999,20.940001,18.517540,11104400
2001-11-01,21.125000,21.299999,20.900000,21.084999,18.645765,3901800
2001-11-02,21.025000,21.549999,21.010000,21.450001,18.968540,4075000
2001-11-05,21.750000,21.750000,21.375000,21.445000,18.964119,2763800
2001-11-06,21.475000,22.150000,21.075001,22.025000,19.477028,3248200
2001-11-07,21.875000,21.875000,21.245001,21.625000,19.123301,2675200
2001-11-08,21.500000,21.549999,21.000000,21.350000,18.880108,3404000
2001-11-09,21.250000,21.250000,20.500000,21.000000,18.570606,3291600
2001-11-12,21.000000,21.424999,20.850000,21.424999,18.946434,973600
2001-11-13,21.700001,21.700001,21.260000,21.375000,18.902216,1721800
2001-11-14,22.000000,23.000000,21.775000,22.975000,20.317118,4213000
2001-11-15,22.850000,23.375000,22.725000,23.375000,20.670845,2310400
2001-11-16,23.450001,23.600000,23.150000,23.400000,20.692961,2176200
2001-11-19,23.375000,23.785000,23.200001,23.750000,21.002466,2007200
2001-11-20,23.650000,24.625000,23.625000,24.400000,21.577271,2803000
2001-11-21,24.350000,24.850000,24.205000,24.504999,21.670124,2684000
2001-11-23,24.475000,24.674999,24.475000,24.590000,21.745285,287800
2001-11-26,24.850000,25.125000,24.150000,24.275000,21.466732,1917400
2001-11-27,24.400000,24.924999,24.135000,24.299999,21.488842,1148000
2001-11-28,24.275000,24.600000,23.754999,24.475000,21.643593,625200
2001-11-29,24.750000,25.049999,24.540001,25.004999,22.112274,1136800
2001-11-30,25.049999,25.500000,24.900000,25.424999,22.483690,2960200
2001-12-03,25.400000,25.650000,25.049999,25.650000,22.682663,1270800
2001-12-04,25.674999,25.750000,25.250000,25.750000,22.771091,794000
2001-12-05,25.900000,25.950001,24.350000,24.430000,21.603800,1356200
2001-12-06,24.450001,24.500000,23.674999,24.245001,21.440205,902600
