Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.645833,3.645833,3.604167,3.645833,0.676061,43200
2000-01-03,3.635417,3.645833,3.572917,3.614583,0.670266,113200
2000-01-04,3.604167,3.666667,3.562500,3.562500,0.660608,164400
2000-01-05,3.583333,3.583333,3.489583,3.552083,0.658677,188400
2000-01-06,3.541667,3.552083,3.500000,3.500000,0.649019,161200
2000-01-07,3.520833,3.645833,3.520833,3.645833,0.676061,106000
2000-01-10,3.687500,3.687500,3.625000,3.687500,0.683787,128400
2000-01-11,3.677083,3.687500,3.645833,3.645833,0.676061,127200
2000-01-12,3.625000,3.625000,3.520833,3.520833,0.652882,122800
2000-01-13,3.520833,3.593750,3.500000,3.572917,0.662540,106000
2000-01-14,3.593750,3.645833,3.583333,3.645833,0.676061,55200
2000-01-18,3.625000,3.625000,3.583333,3.593750,0.666403,30000
2000-01-19,3.666667,3.666667,3.604167,3.656250,0.677993,97200
2000-01-20,3.677083,3.677083,3.562500,3.593750,0.666403,145600
2000-01-21,3.583333,3.718750,3.541667,3.718750,0.689582,572800
2000-01-24,3.739583,3.854167,3.729167,3.750000,0.695377,180000
2000-01-25,3.708333,3.708333,3.552083,3.562500,0.660608,251200
2000-01-26,3.562500,3.562500,3.489583,3.489583,0.647087,140800
2000-01-27,3.468750,3.468750,3.375000,3.385417,0.650128,223600
2000-01-28,3.385417,3.427083,3.312500,3.312500,0.636125,192400
2000-01-31,3.312500,3.375000,3.281250,3.291667,0.632124,268000
2000-02-01,3.281250,3.281250,3.229167,3.239583,0.622122,168000
2000-02-02,3.260417,3.281250,3.239583,3.270833,0.628123,171600
2000-02-03,3.291667,3.291667,3.145833,3.156250,0.606119,197200
2000-02-04,3.135417,3.187500,3.072917,3.145833,0.604119,340800
2000-02-07,3.218750,3.218750,3.125000,3.187500,0.612120,402400
2000-02-08,3.187500,3.197917,3.000000,3.010417,0.578114,515200
2000-02-09,3.000000,3.000000,2.906250,2.958333,0.568112,222400
2000-02-10,2.989583,2.989583,2.885417,2.927083,0.562110,207600
2000-02-11,2.906250,2.968750,2.906250,2.927083,0.562110,189600
2000-02-14,2.916667,2.916667,2.864583,2.885417,0.554109,73600
2000-02-15,2.875000,2.875000,2.781250,2.864583,0.550108,312000
2000-02-16,2.864583,2.864583,2.812500,2.864583,0.550108,175200
2000-02-17,2.895833,2.989583,2.895833,2.895833,0.556109,272400
2000-02-18,2.906250,2.906250,2.833333,2.854167,0.548108,106000
2000-02-22,2.895833,2.927083,2.864583,2.916667,0.560110,183600
2000-02-23,2.916667,2.958333,2.906250,2.937500,0.564111,432000
2000-02-24,2.937500,2.958333,2.895833,2.947917,0.566111,351600
2000-02-25,2.979167,3.000000,2.927083,2.937500,0.564111,226800
2000-02-28,2.958333,2.958333,2.885417,2.927083,0.562110,101200
2000-02-29,2.916667,2.979167,2.875000,2.875000,0.552108,147600
2000-03-01,2.875000,2.885417,2.781250,2.781250,0.534105,300000
2000-03-02,2.781250,2.791667,2.645833,2.729167,0.524103,640000
2000-03-03,2.750000,2.750000,2.697917,2.729167,0.524103,262000
2000-03-06,2.708333,2.718750,2.697917,2.708333,0.520102,131200
2000-03-07,2.708333,2.708333,2.666667,2.677083,0.514101,96000
2000-03-08,2.718750,2.729167,2.583333,2.729167,0.524103,381600
2000-03-09,2.718750,2.718750,2.625000,2.666667,0.512100,229200
2000-03-10,2.645833,2.666667,2.625000,2.656250,0.510100,169200
2000-03-13,2.687500,2.687500,2.645833,2.645833,0.508100,185200
2000-03-14,2.666667,2.687500,2.500000,2.500000,0.480094,486000
2000-03-15,2.604167,2.614583,2.489583,2.541667,0.488096,536800
2000-03-16,2.687500,2.750000,2.687500,2.729167,0.524103,508800
2000-03-17,2.708333,2.750000,2.697917,2.718750,0.522103,423600
2000-03-20,2.750000,2.833333,2.750000,2.802083,0.538106,107200
2000-03-21,2.812500,2.854167,2.781250,2.854167,0.548108,148800
2000-03-22,2.875000,2.958333,2.864583,2.875000,0.552108,357600
2000-03-23,2.885417,2.895833,2.812500,2.885417,0.554109,169200
2000-03-24,2.875000,2.875000,2.812500,2.854167,0.548108,315600
2000-03-27,2.833333,2.864583,2.833333,2.864583,0.550108,118000
2000-03-28,2.895833,2.927083,2.875000,2.875000,0.552108,146400
2000-03-29,2.875000,2.895833,2.854167,2.885417,0.554109,212400
2000-03-30,2.875000,3.000000,2.875000,2.958333,0.568112,170400
2000-03-31,2.989583,3.020833,2.989583,3.000000,0.576113,226000
2000-04-03,3.031250,3.093750,3.020833,3.062500,0.588115,157600
2000-04-04,3.062500,3.104167,3.010417,3.020833,0.580114,307200
2000-04-05,3.031250,3.031250,2.968750,3.000000,0.576113,143200
2000-04-06,3.000000,3.114583,2.989583,3.010417,0.578114,186000
2000-04-07,3.020833,3.104167,3.020833,3.104167,0.596117,74400
2000-04-10,3.093750,3.114583,3.072917,3.083333,0.592116,120400
2000-04-11,3.072917,3.093750,3.041667,3.083333,0.592116,76800
2000-04-12,3.062500,3.156250,3.062500,3.083333,0.592116,159600
2000-04-13,3.072917,3.187500,3.062500,3.187500,0.612120,290800
2000-04-14,3.208333,3.479167,3.197917,3.437500,0.660130,531600
2000-04-17,3.416667,3.458333,3.354167,3.416667,0.656129,295600
2000-04-18,3.385417,3.385417,3.177083,3.177083,0.610120,439200
2000-04-19,3.145833,3.177083,3.041667,3.072917,0.590116,289600
2000-04-20,3.072917,3.208333,3.041667,3.208333,0.616121,208000
2000-04-24,3.239583,3.250000,3.041667,3.041667,0.584115,205200
2000-04-25,3.083333,3.197917,3.072917,3.187500,0.612120,121200
2000-04-26,3.156250,3.343750,3.156250,3.343750,0.667246,190000
2000-04-27,3.333333,3.375000,3.312500,3.333333,0.665167,130800
2000-04-28,3.333333,3.427083,3.333333,3.427083,0.683875,76000
2000-05-01,3.427083,3.583333,3.427083,3.572917,0.712976,182400
2000-05-02,3.572917,3.656250,3.552083,3.583333,0.715055,195600
2000-05-03,3.583333,3.583333,3.500000,3.510417,0.700504,184800
2000-05-04,3.510417,3.645833,3.510417,3.645833,0.727527,94800
2000-05-05,3.645833,3.718750,3.645833,3.718750,0.742077,101200
2000-05-08,3.708333,3.718750,3.677083,3.687500,0.735842,38800
2000-05-09,3.677083,3.687500,3.614583,3.614583,0.721291,159600
2000-05-10,3.625000,3.625000,3.447917,3.458333,0.690111,88800
2000-05-11,3.479167,3.708333,3.479167,3.708333,0.739999,192400
2000-05-12,3.708333,3.729167,3.677083,3.677083,0.733763,64800
2000-05-15,3.677083,3.770833,3.677083,3.770833,0.752470,97200
2000-05-16,3.781250,3.802083,3.729167,3.739583,0.746235,163200
2000-05-17,3.718750,3.718750,3.635417,3.635417,0.725448,183600
2000-05-18,3.635417,3.635417,3.489583,3.500000,0.698426,352000
2000-05-19,3.510417,3.531250,3.458333,3.531250,0.704662,325600
2000-05-22,3.531250,3.604167,3.500000,3.593750,0.717133,239200
2000-05-23,3.572917,3.572917,3.479167,3.489583,0.696347,153600
2000-05-24,3.479167,3.489583,3.437500,3.458333,0.690111,111600
2000-05-25,3.458333,3.500000,3.458333,3.468750,0.692190,91200
2000-05-26,3.468750,3.479167,3.458333,3.458333,0.690111,85600
2000-05-30,3.479167,3.489583,3.447917,3.489583,0.696347,126400
2000-05-31,3.500000,3.510417,3.479167,3.500000,0.698426,76000
2000-06-01,3.500000,3.531250,3.479167,3.531250,0.704662,222000
2000-06-02,3.552083,3.552083,3.520833,3.552083,0.708819,89200
2000-06-05,3.593750,3.666667,3.552083,3.552083,0.708819,68400
2000-06-06,3.562500,3.604167,3.500000,3.500000,0.698426,212400
2000-06-07,3.500000,3.562500,3.468750,3.562500,0.710898,99600
2000-06-08,3.541667,3.541667,3.500000,3.500000,0.698426,123600
2000-06-09,3.500000,3.531250,3.500000,3.510417,0.700504,64000
2000-06-12,3.500000,3.500000,3.437500,3.437500,0.685954,104800
2000-06-13,3.447917,3.520833,3.447917,3.520833,0.702583,79600
2000-06-14,3.500000,3.572917,3.500000,3.541667,0.706740,49600
2000-06-15,3.541667,3.572917,3.520833,3.572917,0.712976,86400
2000-06-16,3.572917,3.614583,3.520833,3.520833,0.702583,150400
2000-06-19,3.531250,3.697917,3.531250,3.697917,0.737920,166800
2000-06-20,3.708333,3.708333,3.541667,3.541667,0.706740,190800
2000-06-21,3.562500,3.562500,3.302083,3.437500,0.685954,278800
2000-06-22,3.458333,3.458333,3.333333,3.333333,0.665167,170800
2000-06-23,3.312500,3.312500,3.166667,3.177083,0.633988,277600
2000-06-26,3.197917,3.270833,3.197917,3.270833,0.652695,240000
2000-06-27,3.291667,3.416667,3.291667,3.395833,0.677639,204000
2000-06-28,3.427083,3.541667,3.427083,3.541667,0.706740,261600
2000-06-29,3.531250,3.541667,3.437500,3.437500,0.685954,130000
2000-06-30,3.437500,3.520833,3.427083,3.486967,0.695825,111600
2000-07-03,3.489583,3.562500,3.489583,3.562500,0.710898,42000
2000-07-05,3.562500,3.562500,3.489583,3.500000,0.698426,192400
2000-07-06,3.479167,3.500000,3.416667,3.500000,0.698426,544000
2000-07-07,3.500000,3.500000,3.395833,3.479167,0.694268,132000
2000-07-10,3.458333,3.479167,3.406250,3.416667,0.681797,231600
2000-07-11,3.416667,3.437500,3.395833,3.427083,0.683875,132400
2000-07-12,3.416667,3.416667,3.333333,3.385417,0.675560,168000
2000-07-13,3.385417,3.385417,3.343750,3.364583,0.671403,98800
2000-07-14,3.364583,3.364583,3.322917,3.333333,0.665167,169200
2000-07-17,3.250000,3.250000,3.041667,3.052083,0.609044,628000
2000-07-18,3.052083,3.052083,2.875000,2.875000,0.573707,622800
2000-07-19,2.875000,2.895833,2.833333,2.833333,0.565392,285600
2000-07-20,2.833333,2.916667,2.822917,2.875000,0.573707,181200
2000-07-21,2.895833,2.916667,2.822917,2.822917,0.563314,138400
2000-07-24,2.781250,2.822917,2.760417,2.770833,0.552920,227200
2000-07-25,2.760417,2.760417,2.666667,2.708333,0.540448,356400
2000-07-26,2.739583,2.760417,2.687500,2.739583,0.546684,301200
2000-07-27,2.708333,2.708333,2.604167,2.645833,0.554278,168000
2000-07-28,2.645833,2.645833,2.593750,2.635417,0.552096,589600
2000-07-31,2.645833,2.687500,2.635417,2.687500,0.563007,204400
2000-08-01,2.645833,2.666667,2.645833,2.645833,0.554278,91600
2000-08-02,2.645833,2.656250,2.614583,2.656250,0.556461,271200
2000-08-03,2.656250,2.656250,2.614583,2.614583,0.547732,143200
2000-08-04,2.593750,2.677083,2.593750,2.677083,0.560825,181200
2000-08-07,2.697917,2.750000,2.677083,2.718750,0.569554,126400
2000-08-08,2.729167,2.729167,2.687500,2.697917,0.565189,176400
2000-08-09,2.812500,2.812500,2.739583,2.750000,0.576100,143200
2000-08-10,2.750000,2.750000,2.677083,2.677083,0.560825,126000
2000-08-11,2.677083,2.687500,2.677083,2.677083,0.560825,148000
2000-08-14,2.812500,2.822917,2.760417,2.760417,0.578282,219600
2000-08-15,2.770833,2.802083,2.750000,2.750000,0.576100,85600
2000-08-16,2.750000,2.750000,2.677083,2.718750,0.569554,145600
2000-08-17,2.718750,2.718750,2.687500,2.718750,0.569554,72400
2000-08-18,2.750000,2.750000,2.718750,2.729167,0.571736,110800
2000-08-21,2.729167,2.739583,2.666667,2.697917,0.565189,206400
2000-08-22,2.697917,2.708333,2.687500,2.697917,0.565189,424800
2000-08-23,2.687500,2.687500,2.677083,2.677083,0.560825,220000
2000-08-24,2.677083,2.697917,2.666667,2.687500,0.563007,88800
2000-08-25,2.677083,2.677083,2.666667,2.666667,0.558643,294400
2000-08-28,2.666667,2.666667,2.656250,2.666667,0.558643,182800
2000-08-29,2.666667,2.666667,2.604167,2.604167,0.545550,197200
2000-08-30,2.625000,2.656250,2.625000,2.656250,0.556461,77200
2000-08-31,2.656250,2.656250,2.614583,2.625000,0.549914,290800
2000-09-01,2.625000,2.625000,2.583333,2.604167,0.545550,150000
2000-09-05,2.583333,2.593750,2.552083,2.593750,0.543368,218800
2000-09-06,2.593750,2.593750,2.531250,2.531250,0.530274,193600
2000-09-07,2.531250,2.562500,2.520833,2.541667,0.532456,226800
2000-09-08,2.541667,2.552083,2.531250,2.531250,0.530274,212800
2000-09-11,2.531250,2.531250,2.479167,2.479167,0.519363,181600
2000-09-12,2.479167,2.489583,2.437500,2.437500,0.510635,1510800
2000-09-13,2.458333,2.458333,2.437500,2.458333,0.514999,152800
2000-09-14,2.291667,2.312500,2.083333,2.208333,0.462626,1436800
2000-09-15,2.187500,2.229167,2.187500,2.218750,0.464808,331200
2000-09-18,2.208333,2.208333,2.000000,2.000000,0.418982,1195200
2000-09-19,2.020833,2.145833,2.010417,2.020833,0.423347,484000
2000-09-20,2.020833,2.083333,2.020833,2.072917,0.434257,265600
2000-09-21,2.072917,2.083333,1.979167,1.989583,0.416800,535600
2000-09-22,1.989583,1.989583,1.864583,1.958333,0.410253,461200
2000-09-25,1.968750,2.031250,1.958333,2.010417,0.421164,631600
2000-09-26,2.020833,2.072917,1.989583,2.000000,0.418982,682000
2000-09-27,2.020833,2.093750,2.020833,2.083333,0.436440,582000
2000-09-28,2.093750,2.125000,2.083333,2.125000,0.445169,414400
2000-09-29,2.135417,2.135417,2.093750,2.093750,0.438622,290400
2000-10-02,2.114583,2.135417,2.083333,2.083333,0.436440,566800
2000-10-03,2.083333,2.125000,2.083333,2.125000,0.445169,244800
2000-10-04,2.145833,2.239583,2.145833,2.229167,0.466991,185200
2000-10-05,2.229167,2.260417,2.208333,2.250000,0.471355,184000
2000-10-06,2.260417,2.333333,2.250000,2.270833,0.475719,155200
2000-10-09,2.250000,2.250000,2.208333,2.250000,0.471355,169200
2000-10-10,2.239583,2.312500,2.208333,2.312500,0.484448,455200
2000-10-11,2.312500,2.312500,2.270833,2.291667,0.480084,235200
2000-10-12,2.281250,2.281250,2.250000,2.270833,0.475719,160800
2000-10-13,2.260417,2.302083,2.239583,2.302083,0.482266,141600
2000-10-16,2.312500,2.354167,2.312500,2.333333,0.488812,247200
2000-10-17,2.343750,2.343750,2.333333,2.333333,0.488812,77200
2000-10-18,2.322917,2.364583,2.270833,2.364583,0.495359,348400
2000-10-19,2.291667,2.302083,2.177083,2.291667,0.480084,612000
2000-10-20,2.291667,2.291667,2.250000,2.281250,0.477902,268800
2000-10-23,2.281250,2.302083,2.270833,2.302083,0.482266,249600
2000-10-24,2.291667,2.291667,2.270833,2.291667,0.480084,244800
2000-10-25,2.291667,2.302083,2.270833,2.302083,0.482266,961200
2000-10-26,2.302083,2.302083,2.260417,2.260417,0.473537,293200
2000-10-27,2.239583,2.239583,2.187500,2.239583,0.497802,686800
2000-10-30,2.229167,2.322917,2.229167,2.312500,0.514009,102000
2000-10-31,2.322917,2.354167,2.281250,2.354167,0.523271,259200
2000-11-01,2.343750,2.479167,2.333333,2.479167,0.551055,151600
2000-11-02,2.500000,2.583333,2.489583,2.583333,0.574209,516400
2000-11-03,2.593750,2.656250,2.583333,2.656250,0.590416,670000
2000-11-06,2.656250,2.656250,2.645833,2.656250,0.590416,595600
2000-11-07,2.656250,2.687500,2.635417,2.687500,0.597362,253200
2000-11-08,2.687500,2.687500,2.656250,2.687500,0.597362,124000
2000-11-09,2.687500,2.687500,2.635417,2.677083,0.595047,172800
2000-11-10,2.666667,2.687500,2.625000,2.687500,0.597362,228000
2000-11-13,2.677083,2.750000,2.677083,2.729167,0.606624,125200
2000-11-14,2.729167,2.729167,2.697917,2.729167,0.606624,561600
2000-11-15,2.729167,2.781250,2.729167,2.781250,0.618201,145600
2000-11-16,2.760417,2.802083,2.760417,2.802083,0.622831,148000
2000-11-17,2.802083,2.812500,2.791667,2.812500,0.625147,123600
2000-11-20,2.802083,2.802083,2.786450,2.791667,0.620516,331600
2000-11-21,2.791667,2.812500,2.791667,2.802083,0.622831,43600
2000-11-22,2.812500,2.833333,2.802083,2.812500,0.625147,75600
2000-11-24,2.812500,2.812500,2.802083,2.812500,0.625147,46000
2000-11-27,2.802083,2.843750,2.791667,2.833333,0.629777,175600
2000-11-28,2.812500,2.875000,2.812500,2.875000,0.639039,90400
2000-11-29,2.875000,2.885417,2.802083,2.812500,0.625147,102000
2000-11-30,2.802083,2.812500,2.770833,2.770833,0.615885,170800
2000-12-01,2.781250,2.833333,2.781250,2.802083,0.622831,149200
2000-12-04,2.802083,2.822917,2.781250,2.812500,0.625147,120400
2000-12-05,2.781250,2.833333,2.781250,2.812500,0.625147,168400
2000-12-06,2.802083,2.812500,2.791667,2.812500,0.625147,72000
2000-12-07,2.822917,2.833333,2.812500,2.822917,0.627462,159600
