Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.687500,26.937500,26.187500,26.937500,20.133425,264300
2000-01-03,26.187500,26.250000,25.625000,26.187500,19.572863,776300
2000-01-04,25.500000,26.000000,25.500000,25.500000,19.059019,633300
2000-01-05,25.750000,25.937500,25.250000,25.687500,19.199165,749800
2000-01-06,25.687500,27.312500,25.625000,26.750000,19.993284,427900
2000-01-07,27.000000,28.375000,26.937500,28.250000,21.114403,896300
2000-01-10,28.125000,28.187500,27.562500,27.625000,20.647268,513600
2000-01-11,27.875000,28.187500,27.125000,27.187500,20.320274,572300
2000-01-12,26.687500,26.750000,26.125000,26.312500,19.666292,839900
2000-01-13,26.437500,28.500000,26.375000,28.125000,21.020969,680700
2000-01-14,28.000000,28.000000,26.875000,27.375000,20.460413,631700
2000-01-18,27.187500,27.937500,26.750000,27.437500,20.507133,904700
2000-01-19,27.187500,28.625000,27.000000,28.375000,21.207830,888800
2000-01-20,28.375000,28.625000,27.625000,27.812500,20.787409,752100
2000-01-21,29.000000,29.437500,28.375000,28.812500,21.534819,1278900
2000-01-24,28.687500,28.687500,27.125000,27.875000,20.834122,857100
2000-01-25,27.625000,28.000000,26.812500,27.187500,20.320274,677300
2000-01-26,27.375000,27.875000,26.812500,26.812500,20.039995,706500
2000-01-27,26.937500,27.875000,26.687500,27.875000,20.834122,850800
2000-01-28,27.625000,27.625000,26.375000,26.500000,19.806435,810600
2000-01-31,26.437500,26.812500,25.812500,26.187500,19.572863,751100
2000-02-01,26.312500,27.125000,26.125000,27.125000,20.273560,469300
2000-02-02,26.875000,26.875000,26.000000,26.312500,19.666292,816100
2000-02-03,26.312500,26.312500,25.625000,26.000000,19.432732,660200
2000-02-04,26.250000,26.437500,25.937500,26.000000,19.432732,667000
2000-02-07,26.250000,26.437500,25.937500,26.000000,19.432732,552500
2000-02-08,26.000000,26.000000,25.250000,25.687500,19.199165,780600
2000-02-09,25.437500,25.937500,24.750000,25.875000,19.339300,1487800
2000-02-10,25.812500,25.937500,24.812500,25.125000,18.778734,853200
2000-02-11,25.375000,25.437500,24.812500,25.000000,18.685310,732700
2000-02-14,25.187500,25.875000,25.000000,25.812500,19.292585,767800
2000-02-15,25.375000,25.500000,24.000000,25.125000,18.778734,810500
2000-02-16,25.000000,25.750000,24.812500,25.625000,19.152439,894400
2000-02-17,25.500000,26.437500,25.000000,26.312500,19.666292,887100
2000-02-18,26.562500,31.875000,26.562500,30.562500,22.842794,4358000
2000-02-22,30.250000,30.250000,28.312500,29.062500,21.721676,1977400
2000-02-23,28.812500,30.625000,28.687500,30.000000,22.422380,2633800
2000-02-24,29.375000,32.000000,28.875000,32.000000,23.917202,2466900
2000-02-25,32.000000,34.437500,31.875000,34.125000,25.505445,3712000
