Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,43.194828,43.194828,42.134830,42.399830,29.205338,370300
2000-01-03,40.544838,40.677338,38.557346,39.219845,27.014935,2569000
2000-01-04,39.153595,39.153595,36.967354,38.093597,26.239164,2837900
2000-01-05,37.629848,38.358597,36.702354,37.232349,25.645927,3077800
2000-01-06,37.166100,38.424847,36.834854,38.159847,26.284792,3495100
2000-01-07,37.762348,40.147339,37.762348,40.147339,27.653788,2220500
2000-01-10,40.279839,40.279839,38.159847,38.358597,26.421679,1436500
2000-01-11,37.629848,37.961098,37.166100,37.431099,25.782824,1678600
2000-01-12,37.431099,38.822346,37.431099,38.623596,26.604223,1508000
2000-01-13,40.279839,40.346088,39.418591,39.617340,27.288719,1688400
2000-01-14,41.339836,42.399830,40.743587,41.472336,28.566454,2143000
2000-01-18,40.279839,40.876087,39.551090,39.617340,27.288719,1518900
2000-01-19,39.749840,41.008587,39.286095,39.352341,27.216105,2153600
2000-01-20,40.014839,40.014839,38.954845,38.954845,26.941202,1368500
2000-01-21,40.279839,40.279839,38.424847,38.557346,26.666290,1647800
2000-01-24,39.021095,39.551090,37.894848,38.424847,26.574652,1068000
2000-01-25,38.424847,39.484840,37.961098,38.491096,26.620462,1504400
2000-01-26,38.557346,41.869831,38.358597,41.803581,28.911388,2116300
2000-01-27,42.267330,42.797329,41.074837,41.406086,28.636471,2499300
2000-01-28,40.279839,40.677338,39.749840,40.014839,27.674292,1849500
2000-01-31,39.948589,43.062328,39.551090,43.062328,29.781925,2061600
2000-02-01,43.128578,43.393578,42.002331,43.327328,29.965210,2132100
2000-02-02,43.062328,43.128578,41.803581,42.267330,29.232109,1475100
2000-02-03,42.664829,42.929829,40.809837,41.936081,29.003031,1303100
2000-02-04,42.532330,42.532330,40.147339,40.213589,27.811739,1376700
2000-02-07,40.279839,40.677338,39.816090,40.544838,28.040836,931300
2000-02-08,41.074837,41.869831,40.809837,41.671082,28.819748,1309200
2000-02-09,41.671082,41.671082,40.346088,40.346088,27.903378,1789700
2000-02-10,40.346088,40.743587,38.623596,38.689846,26.757927,1325100
2000-02-11,38.689846,39.816090,38.689846,39.021095,26.987017,1373400
2000-02-14,38.756096,39.683590,37.894848,38.192921,26.414255,1413400
2000-02-15,37.961098,39.816090,37.828598,39.153595,27.078642,1176700
2000-02-16,39.219845,39.749840,38.756096,39.749840,27.491024,2636700
2000-02-17,39.352341,39.617340,36.371105,37.166100,25.704096,2817300
2000-02-18,36.702354,37.232349,34.781113,35.576107,24.604456,2749500
2000-02-22,36.039856,36.172356,34.913609,35.973606,24.879372,1811700
2000-02-23,35.509857,36.106106,35.178608,35.244858,24.375362,1523700
2000-02-24,34.979858,35.377357,33.389866,33.787365,23.367363,2473900
2000-02-25,34.052364,35.443607,33.721115,34.979858,24.192093,2459500
2000-02-28,35.509857,37.298599,35.311108,36.834854,25.475008,2587100
2000-02-29,36.834854,36.834854,34.913609,35.244858,24.375362,2443900
2000-03-01,36.039856,36.039856,33.588615,34.383614,23.779734,3564700
2000-03-02,35.244858,35.244858,34.317364,35.112358,24.283733,2243200
2000-03-03,35.112358,35.509857,33.986115,33.986115,23.504826,1835700
2000-03-06,34.449863,34.913609,33.787365,34.714863,24.008820,1927600
2000-03-07,34.449863,34.516113,33.124866,33.191116,22.955000,1819100
2000-03-08,32.727367,33.124866,31.534874,32.859867,22.725904,2789900
2000-03-09,32.926117,34.251114,32.926117,34.118614,23.596468,2136000
2000-03-10,33.986115,34.648613,33.058617,33.588615,23.229919,1886600
2000-03-13,33.124866,35.443607,32.992367,35.112358,24.283733,2109800
2000-03-14,35.178608,35.178608,33.654865,33.787365,23.367363,1132800
2000-03-15,33.986115,37.629848,33.588615,37.298599,25.795732,3960000
2000-03-16,38.689846,43.459827,38.424847,43.327328,29.965210,5542000
2000-03-17,43.194828,43.194828,40.942337,41.008587,28.361555,2862400
2000-03-20,41.008587,41.074837,38.557346,39.286095,27.170282,1966700
2000-03-21,39.286095,41.737331,39.087345,40.942337,28.315758,2592700
2000-03-22,40.677338,41.472336,40.279839,41.207336,28.499035,1634700
2000-03-23,40.942337,42.863579,40.942337,42.399830,29.323748,2518900
2000-03-24,42.532330,43.393578,41.869831,43.128578,29.827757,2510400
2000-03-27,42.598579,42.863579,40.876087,41.671082,28.819748,1140000
2000-03-28,40.677338,42.929829,40.677338,42.134830,29.140474,1634400
2000-03-29,42.267330,42.399830,41.406086,41.671082,28.819748,975300
2000-03-30,41.936081,42.664829,41.538586,41.671082,28.819748,1481700
2000-03-31,41.671082,44.652321,41.472336,44.056072,30.469204,2938000
2000-04-03,44.056072,47.037312,44.056072,46.159424,31.923880,4992000
2000-04-04,45.844818,47.037312,43.062328,44.188572,30.560835,3956900
2000-04-05,44.321072,45.447319,44.122322,44.453571,30.744143,2577400
2000-04-06,44.321072,44.784821,43.393578,44.122322,30.515026,1863900
2000-04-07,44.122322,44.718571,42.598579,42.863579,29.644480,1089200
2000-04-10,43.128578,45.314819,42.201080,45.182320,31.248137,1822200
2000-04-11,44.387321,45.248569,43.128578,43.658577,30.194304,1413100
2000-04-12,43.592327,48.494804,43.592327,45.977318,31.797947,3628300
2000-04-13,45.712318,46.639812,44.122322,45.712318,31.614668,2190600
2000-04-14,44.983570,44.983570,41.538586,41.803581,28.911388,2092100
2000-04-17,41.803581,42.466080,41.472336,41.936081,29.003031,1907600
2000-04-18,43.194828,45.447319,42.863579,45.381069,31.505781,2668300
2000-04-19,45.182320,45.182320,43.393578,43.923573,30.493914,1712900
