Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.062500,5.101563,5.046875,5.062500,2.491343,255200
2000-01-03,5.078125,5.078125,4.820313,4.835938,2.379848,675200
2000-01-04,4.867188,4.921875,4.828125,4.835938,2.379848,613600
2000-01-05,4.859375,4.937500,4.843750,4.859375,2.391382,428000
2000-01-06,4.859375,4.867188,4.781250,4.796875,2.360624,706400
2000-01-07,4.804688,4.937500,4.804688,4.929688,2.425984,3228800
2000-01-10,4.937500,4.968750,4.851563,4.875000,2.399071,889600
2000-01-11,4.875000,4.937500,4.859375,4.859375,2.391382,2004000
2000-01-12,4.867188,4.906250,4.843750,4.851563,2.387537,694400
2000-01-13,4.882813,4.898438,4.867188,4.882813,2.402916,602400
2000-01-14,4.890625,4.906250,4.843750,4.843750,2.383693,864800
2000-01-18,4.859375,4.859375,4.726563,4.757813,2.341401,904800
2000-01-19,4.750000,4.773438,4.656250,4.703125,2.314488,843200
2000-01-20,4.726563,4.742188,4.671875,4.679688,2.302955,1096000
2000-01-21,4.687500,4.734375,4.671875,4.671875,2.299110,1508000
2000-01-24,4.734375,4.734375,4.562500,4.570313,2.249130,1733600
2000-01-25,4.578125,4.578125,4.398438,4.460938,2.195304,1386400
2000-01-26,4.445313,4.500000,4.406250,4.437500,2.183770,764000
2000-01-27,4.437500,4.468750,4.312500,4.343750,2.137634,1005600
2000-01-28,4.320313,4.320313,4.195313,4.226563,2.154359,1021600
2000-01-31,4.250000,4.328125,4.164063,4.203125,2.142413,1460000
2000-02-01,4.234375,4.234375,3.906250,4.054688,2.066751,3586400
2000-02-02,4.093750,4.140625,4.031250,4.062500,2.070733,2112000
2000-02-03,4.125000,4.250000,4.109375,4.187500,2.134448,1642400
2000-02-04,4.218750,4.281250,4.125000,4.140625,2.110556,574400
2000-02-07,4.125000,4.140625,4.070313,4.085938,2.082680,672800
2000-02-08,4.109375,4.187500,4.062500,4.125000,2.102592,1793600
2000-02-09,4.125000,4.187500,4.125000,4.164063,2.122502,1509600
2000-02-10,4.132813,4.257813,4.132813,4.203125,2.142413,2168800
2000-02-11,4.234375,4.257813,4.164063,4.164063,2.122502,1455200
2000-02-14,4.156250,4.250000,4.132813,4.210938,2.146395,1676000
2000-02-15,4.226563,4.265625,4.164063,4.250000,2.166306,1344800
2000-02-16,4.234375,4.242188,4.117188,4.117188,2.098608,1183200
2000-02-17,4.140625,4.140625,4.015625,4.023438,2.050822,1260000
2000-02-18,4.054688,4.054688,3.929688,3.929688,2.003036,1137600
2000-02-22,3.937500,3.937500,3.882813,3.937500,2.007019,1024000
2000-02-23,3.929688,3.929688,3.843750,3.875000,1.975161,901600
2000-02-24,3.843750,3.855463,3.718750,3.757813,1.915428,931200
2000-02-25,3.789063,3.875000,3.718750,3.875000,1.975161,1556000
2000-02-28,3.867188,3.898438,3.765625,3.882813,1.979144,770400
2000-02-29,3.875000,4.000000,3.820313,4.000000,2.038876,1099200
2000-03-01,3.984375,4.085938,3.937500,4.062500,2.070733,864800
2000-03-02,4.031250,4.148438,4.031250,4.125000,2.102592,984000
2000-03-03,4.156250,4.156250,4.062500,4.078125,2.078698,835200
2000-03-06,4.109375,4.187500,4.062500,4.085938,2.082680,757600
2000-03-07,4.085938,4.101563,3.984375,3.992188,2.034894,1052800
2000-03-08,4.000000,4.023438,3.906250,3.914063,1.995072,1135200
2000-03-09,3.914063,3.914063,3.851563,3.875000,1.975161,1499200
2000-03-10,3.875000,4.046875,3.875000,3.968750,2.022948,895200
2000-03-13,3.875000,4.140625,3.875000,4.054688,2.066751,1528800
2000-03-14,4.062500,4.210938,4.031250,4.070313,2.074715,1523200
2000-03-15,4.070313,4.218750,4.062500,4.156250,2.118520,2005600
2000-03-16,4.203125,4.398438,4.203125,4.343750,2.214092,1399200
2000-03-17,4.320313,4.578125,4.320313,4.562500,2.325593,1548800
2000-03-20,4.468750,4.656250,4.468750,4.523438,2.305682,2226400
2000-03-21,4.531250,4.625000,4.531250,4.593750,2.341522,712800
