Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.583334,26.916666,26.520834,26.854166,20.672655,535500
2000-01-03,26.770834,26.833334,25.937500,26.145834,20.127377,2089500
2000-01-04,25.291666,26.125000,24.958334,26.041666,20.047186,2073000
2000-01-05,25.979166,26.541666,25.937500,25.937500,19.967001,1556700
2000-01-06,25.937500,27.916666,25.937500,27.187500,20.929264,2016900
2000-01-07,28.000000,28.458334,27.645834,28.375000,21.843412,1743300
2000-01-10,28.312500,28.541666,28.125000,28.208334,21.715111,2408400
2000-01-11,28.000000,28.000000,27.437500,27.479166,21.153786,1678500
2000-01-12,27.375000,27.520834,27.291666,27.520834,21.185865,1857900
2000-01-13,27.333334,28.291666,27.250000,28.041666,21.586807,1845300
2000-01-14,27.541666,27.812500,26.708334,26.875000,20.688696,1855800
2000-01-18,26.250000,26.750000,26.000000,26.333334,20.271713,1778400
2000-01-19,26.416666,26.750000,25.604166,25.812500,19.870764,2131500
2000-01-20,25.875000,26.041666,25.208334,25.312500,19.485863,1741500
2000-01-21,25.375000,25.375000,24.395834,24.854166,19.133030,2500200
2000-01-24,24.833334,24.833334,23.916666,23.979166,18.459446,1619400
2000-01-25,24.250000,24.333334,23.750000,23.833334,18.347185,1553700
2000-01-26,24.416666,24.666666,23.958334,24.250000,18.667938,2623200
2000-01-27,24.333334,24.583334,23.833334,24.145834,18.587748,1484400
2000-01-28,24.000000,24.458334,23.958334,24.187500,18.619825,2543700
2000-01-31,24.000000,24.166666,23.437500,23.916666,18.411335,1296000
2000-02-01,24.000000,24.291666,23.937500,23.958334,18.443413,1221000
2000-02-02,24.333334,24.750000,24.208334,24.583334,18.924547,3341700
2000-02-03,24.666666,25.187500,24.375000,24.937500,19.197187,3161400
2000-02-04,25.187500,25.354166,25.083334,25.291666,19.469824,2310000
2000-02-07,25.416666,25.458334,25.020834,25.416666,19.566051,2143200
2000-02-08,24.583334,25.250000,24.208334,24.916666,19.181145,3466800
2000-02-09,25.333334,25.833334,24.875000,25.666666,19.758501,5363100
2000-02-10,26.000000,26.416666,25.937500,26.291666,20.239635,3891000
2000-02-11,26.583334,26.791666,26.500000,26.625000,20.496243,3099600
2000-02-14,26.708334,26.708334,26.416666,26.645834,20.512280,1349700
2000-02-15,26.666666,26.687500,26.166666,26.437500,20.351896,3453000
2000-02-16,26.375000,26.645834,26.250000,26.270834,20.223598,3711900
2000-02-17,26.375000,26.625000,26.208334,26.500000,20.400015,2412300
2000-02-18,26.000000,26.333334,25.625000,25.666666,19.758501,2943600
2000-02-22,25.666666,25.833334,25.083334,25.270834,19.453787,2627400
2000-02-23,25.166666,25.500000,24.791666,25.000000,19.245300,3460800
2000-02-24,25.000000,25.000000,24.333334,24.333334,18.732094,2919300
