Date,Open,High,Low,Close,Adj Close,Volume
2002-12-06,7.800000,8.640000,7.780000,8.580000,3.401443,27551000
2002-12-09,8.540000,8.560000,8.228000,8.404000,3.331670,3149500
2002-12-10,8.410000,8.660000,8.330000,8.550000,3.389550,1723000
2002-12-11,8.540000,9.100000,8.460000,9.012000,3.572705,2549000
2002-12-12,9.012000,9.012000,8.720000,8.782000,3.481524,1355500
2002-12-13,8.782000,8.794000,8.650000,8.730000,3.460908,987500
2002-12-16,8.700000,8.750000,8.590000,8.620000,3.417301,798000
2002-12-17,8.600000,8.800000,8.560000,8.654000,3.430780,1646000
2002-12-18,8.640000,8.640000,8.510000,8.534000,3.383208,742000
2002-12-19,8.510000,8.540000,8.434000,8.460000,3.353870,684000
2002-12-20,8.480000,8.920000,8.400000,8.890000,3.524339,904500
2002-12-23,8.870000,8.910000,8.670000,8.680000,3.441087,638500
2002-12-24,8.720000,8.720000,8.592000,8.610000,3.413337,218000
2002-12-26,8.620000,8.630000,8.510000,8.520000,3.377658,325000
2002-12-27,8.500000,8.500000,8.350000,8.400000,3.330084,830500
2002-12-30,8.460000,8.570000,8.420000,8.464000,3.355457,1076500
2002-12-31,8.454000,8.760000,8.454000,8.732000,3.461703,1778000
2003-01-02,8.732000,8.790000,8.690000,8.744000,3.466459,315000
2003-01-03,8.744000,9.160000,8.704000,9.160000,3.631375,861500
2003-01-06,9.006000,9.670000,9.006000,9.620000,3.813739,1874500
2003-01-07,9.600000,9.720000,9.450000,9.604000,3.807396,1383000
2003-01-08,9.606000,9.654000,9.534000,9.602000,3.806602,411000
2003-01-09,9.620000,9.840000,9.532000,9.810000,3.889062,649000
2003-01-10,9.770000,9.870000,9.742000,9.798000,3.884304,844000
2003-01-13,9.800000,9.936000,9.774000,9.924000,3.934256,810000
2003-01-14,9.924000,10.000000,9.814000,9.820000,3.893025,554000
2003-01-15,9.680000,9.680000,9.352000,9.410000,3.730486,1459000
2003-01-16,9.400000,9.400000,9.054000,9.076000,3.598077,725000
2003-01-17,9.050000,9.104000,8.960000,9.004000,3.569531,590500
2003-01-21,9.010000,9.040000,8.852000,8.890000,3.524339,468000
2003-01-22,8.860000,8.880000,8.820000,8.830000,3.500554,163500
2003-01-23,8.840000,9.150000,8.826000,9.086000,3.602041,476000
2003-01-24,9.070000,9.420000,9.000000,9.398000,3.725730,685000
2003-01-27,9.358000,9.380000,9.240000,9.250000,3.667058,209000
2003-01-28,9.260000,9.316000,9.200000,9.202000,3.648028,364500
2003-01-29,9.180000,9.400000,9.152000,9.300000,3.686879,401500
2003-01-30,9.300000,9.318000,8.760000,8.840000,3.504518,735000
2003-01-31,8.800000,8.810000,8.402000,8.500000,3.369728,2886000
2003-02-03,8.490000,8.580000,8.432000,8.470000,3.357835,780000
2003-02-04,8.440000,8.440000,8.310000,8.400000,3.330084,740000
2003-02-05,8.390000,8.400000,8.270000,8.348000,3.309470,1159000
2003-02-06,8.340000,8.404000,8.290000,8.300000,3.290440,1077500
2003-02-07,8.320000,8.430000,8.310000,8.422000,3.338805,744500
2003-02-10,8.422000,8.680000,8.410000,8.600000,3.409373,278500
2003-02-11,8.600000,8.706000,8.580000,8.582000,3.402236,222500
2003-02-12,8.550000,8.590000,8.496000,8.582000,3.402236,355500
2003-02-13,8.570000,8.744000,8.564000,8.700000,3.449016,265500
2003-02-14,8.740000,8.960000,8.740000,8.900000,3.528302,958000
2003-02-18,8.950000,8.960000,8.830000,8.904000,3.529889,753500
2003-02-19,8.906000,9.000000,8.880000,8.954000,3.549711,420500
2003-02-20,8.960000,9.020000,8.940000,9.006000,3.570326,159000
2003-02-21,9.008000,9.132000,9.000000,9.072000,3.596491,206000
2003-02-24,9.000000,9.160000,9.000000,9.108000,3.610763,182500
2003-02-25,9.100000,9.160000,9.070000,9.144000,3.625033,144500
2003-02-26,9.148000,9.200000,9.020000,9.068000,3.594906,214000
2003-02-27,9.048000,9.050000,8.660000,8.660000,3.433158,945000
2003-02-28,8.650000,8.760000,8.574000,8.610000,3.413337,565000
2003-03-03,8.612000,8.712000,8.600000,8.626000,3.419679,211000
2003-03-04,8.620000,8.648000,8.564000,8.564000,3.395100,151000
2003-03-05,8.566000,8.592000,8.440000,8.450000,3.349906,269500
2003-03-06,8.422000,8.530000,8.422000,8.468000,3.413598,352500
2003-03-07,8.470000,8.548000,8.442000,8.466000,3.412793,175500
2003-03-10,8.456000,8.532000,8.454000,8.472000,3.415211,163000
2003-03-11,8.474000,8.540000,8.434000,8.454000,3.407956,104500
2003-03-12,8.480000,8.510000,8.380000,8.476000,3.416825,312000
2003-03-13,8.500000,8.540000,8.482000,8.504000,3.428111,204000
2003-03-14,8.500000,8.680000,8.500000,8.640000,3.482936,471500
2003-03-17,8.640000,9.238000,8.640000,9.190000,3.704650,607000
2003-03-18,9.194000,9.366000,9.140000,9.210000,3.712711,478500
2003-03-19,9.220000,9.390000,9.220000,9.390000,3.785274,149500
2003-03-20,9.392000,9.392000,9.110000,9.110000,3.672400,571000
2003-03-21,9.140000,9.426000,9.140000,9.420000,3.797365,632500
2003-03-24,9.400000,9.642000,9.346000,9.600000,3.869926,1112000
2003-03-25,9.590000,9.710000,9.590000,9.686000,3.904595,545500
2003-03-26,9.680000,9.782000,9.680000,9.700000,3.910238,1076000
2003-03-27,9.680000,9.780000,9.560000,9.780000,3.942489,777500
2003-03-28,9.760000,9.760000,9.680000,9.730000,3.922333,306500
2003-03-31,9.710000,9.710000,9.552000,9.630000,3.882021,435000
2003-04-01,9.632000,9.638000,9.516000,9.594000,3.867509,232000
2003-04-02,9.474000,9.660000,9.446000,9.632000,3.882826,536000
2003-04-03,9.640000,9.840000,9.640000,9.656000,3.892501,633000
2003-04-04,9.670000,9.760000,9.652000,9.680000,3.902178,321500
2003-04-07,9.740000,9.770000,9.334000,9.340000,3.765117,1109500
2003-04-08,9.320000,9.354000,9.230000,9.292000,3.745767,398000
2003-04-09,9.310000,9.380000,9.250000,9.350000,3.769147,390000
2003-04-10,9.360000,9.430000,9.310000,9.424000,3.798979,224500
2003-04-11,9.440000,9.440000,9.326000,9.354000,3.770761,178500
2003-04-14,9.354000,9.520000,9.340000,9.502000,3.830424,212500
2003-04-15,9.494000,9.534000,9.486000,9.500000,3.829615,198500
2003-04-16,9.510000,9.582000,9.504000,9.522000,3.838485,280000
