Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.812500,31.187500,30.812500,31.187500,17.601461,165600
2000-01-03,30.937500,31.000000,29.500000,29.500000,16.649073,1615200
2000-01-04,29.562500,30.000000,29.562500,29.875000,16.860718,456400
2000-01-05,29.812500,31.000000,29.687500,30.687500,17.319267,1842300
2000-01-06,30.687500,31.125000,30.125000,30.437500,17.178175,366500
2000-01-07,30.875000,31.250000,30.625000,31.125000,17.566181,531300
2000-01-10,30.937500,31.312500,30.437500,30.687500,17.319267,257800
2000-01-11,30.562500,31.562500,30.562500,31.500000,17.777821,1471100
2000-01-12,31.312500,31.500000,31.062500,31.312500,17.672007,1518200
2000-01-13,31.562500,32.000000,31.312500,31.625000,17.848370,492700
2000-01-14,31.625000,31.625000,30.875000,31.187500,17.601461,276700
2000-01-18,31.000000,31.000000,30.437500,30.562500,17.248720,418900
2000-01-19,30.625000,31.125000,30.500000,30.875000,17.425093,512300
2000-01-20,30.937500,31.125000,30.312500,30.937500,17.460361,391500
2000-01-21,31.000000,31.625000,30.625000,31.375000,17.707275,567300
2000-01-24,31.500000,32.062500,31.250000,31.250000,17.636732,657300
2000-01-25,31.312500,31.312500,30.500000,30.687500,17.319267,714500
2000-01-26,30.875000,30.875000,30.000000,30.437500,17.178175,1105700
2000-01-27,30.687500,30.687500,29.937500,30.000000,16.931259,572300
2000-01-28,29.750000,30.250000,29.437500,29.500000,16.649073,514300
2000-01-31,29.750000,30.375000,29.312500,30.000000,16.931259,982200
2000-02-01,26.125000,26.625000,22.750000,23.500000,13.262822,4026100
2000-02-02,23.000000,23.000000,20.312500,21.375000,12.063527,6256700
2000-02-03,21.187500,22.312500,21.062500,21.937500,12.380987,5044000
2000-02-04,21.875000,22.000000,20.125000,20.375000,11.693711,3314200
2000-02-07,20.375000,20.562500,20.062500,20.312500,11.657837,698100
2000-02-08,20.375000,20.687500,20.250000,20.312500,11.657837,807100
2000-02-09,20.312500,20.375000,19.812500,19.937500,11.442618,1282000
2000-02-10,19.937500,19.937500,18.062500,18.750000,10.761086,2792300
2000-02-11,18.812500,18.812500,18.062500,18.625000,10.689339,1121200
2000-02-14,18.750000,19.375000,18.625000,19.187500,11.012177,714400
2000-02-15,19.500000,19.750000,19.250000,19.375000,11.119787,746200
2000-02-16,19.125000,19.312500,18.500000,18.687500,10.725209,920000
2000-02-17,18.687500,18.687500,18.000000,18.375000,10.545861,1281500
2000-02-18,18.312500,18.500000,17.937500,18.312500,10.509992,907200
2000-02-22,18.312500,18.375000,17.937500,18.250000,10.474121,685400
2000-02-23,18.437500,18.437500,17.500000,17.562500,10.079549,1077400
2000-02-24,17.687500,17.687500,16.875000,17.000000,9.756716,697500
2000-02-25,17.000000,17.000000,16.187500,16.437500,9.433881,757300
2000-02-28,16.687500,16.687500,16.062500,16.500000,9.469751,816200
2000-02-29,16.625000,16.937500,16.562500,16.750000,9.613233,914200
2000-03-01,16.750000,17.000000,16.687500,16.937500,9.720843,487000
2000-03-02,16.937500,17.250000,16.875000,16.875000,9.684975,1122500
2000-03-03,17.000000,17.125000,16.812500,17.062500,9.792584,899300
2000-03-06,17.750000,18.000000,17.000000,17.312500,9.936068,1817500
2000-03-07,17.312500,17.500000,17.125000,17.250000,9.900194,842300
