Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,46.500000,47.750000,46.500000,47.375000,20.342484,162400
2000-01-03,47.125000,47.312500,44.750000,45.250000,19.430023,298800
2000-01-04,44.750000,44.875000,43.000000,43.437500,18.651751,479400
2000-01-05,43.937500,45.562500,43.375000,43.750000,18.785934,509800
2000-01-06,43.375000,43.625000,42.437500,43.250000,18.571236,479400
2000-01-07,44.750000,45.000000,42.687500,42.875000,18.410227,706400
2000-01-10,43.375000,44.125000,42.625000,44.125000,18.946959,501900
2000-01-11,43.750000,44.875000,42.750000,43.812500,18.812777,515800
2000-01-12,43.812500,44.625000,43.750000,44.187500,18.973793,339600
2000-01-13,43.937500,45.500000,43.687500,44.250000,19.000629,334500
2000-01-14,44.000000,45.062500,43.750000,44.625000,19.161654,267200
2000-01-18,44.375000,45.875000,44.250000,45.375000,19.483702,493200
2000-01-19,45.437500,45.500000,43.500000,44.187500,18.973793,505100
2000-01-20,44.437500,44.625000,43.125000,43.750000,18.785934,359100
2000-01-21,44.000000,44.000000,43.312500,43.625000,18.732260,563000
2000-01-24,44.125000,44.125000,42.500000,42.937500,18.437054,373600
2000-01-25,42.687500,42.937500,41.562500,41.875000,17.980822,369300
2000-01-26,42.125000,42.312500,41.312500,41.812500,17.953991,539800
2000-01-27,42.312500,42.562500,39.250000,39.937500,17.148872,914800
2000-01-28,39.937500,39.937500,36.062500,37.687500,16.182739,1496900
2000-01-31,37.687500,38.625000,37.000000,38.625000,16.585295,2163900
2000-02-01,38.375000,38.750000,38.000000,38.625000,16.585295,1081600
2000-02-02,39.000000,39.750000,38.812500,39.562500,16.987858,1488100
2000-02-03,39.500000,40.125000,39.250000,39.687500,17.041525,1060700
2000-02-04,40.000000,40.312500,38.750000,39.062500,16.773155,542200
2000-02-07,38.875000,39.375000,38.375000,38.687500,16.612135,701500
2000-02-08,38.687500,39.375000,38.687500,39.062500,16.773155,776100
2000-02-09,39.000000,39.312500,38.250000,38.312500,16.451115,729000
2000-02-10,38.312500,38.500000,37.687500,37.875000,16.263250,582700
2000-02-11,38.000000,38.250000,37.562500,37.875000,16.263250,435200
2000-02-14,38.000000,38.437500,37.812500,38.062500,16.343767,402600
2000-02-15,38.000000,38.000000,36.250000,37.000000,15.887528,668500
2000-02-16,37.062500,37.312500,36.500000,36.875000,15.833855,583800
2000-02-17,36.625000,36.937500,36.062500,36.312500,15.592324,453200
2000-02-18,36.312500,36.312500,34.312500,34.625000,14.867720,558600
2000-02-22,34.375000,35.812500,34.312500,35.375000,15.189764,753500
2000-02-23,35.125000,35.937500,34.625000,34.937500,15.001909,305300
2000-02-24,35.000000,35.000000,33.250000,33.812500,14.518844,783500
2000-02-25,33.937500,34.312500,33.062500,33.687500,14.465164,440600
2000-02-28,33.437500,33.875000,32.812500,33.437500,14.357822,551500
2000-02-29,33.312500,33.687500,32.812500,33.625000,14.438338,421000
2000-03-01,33.625000,34.500000,33.437500,34.437500,14.787213,914100
2000-03-02,34.187500,34.562500,33.625000,34.000000,14.599352,1176500
2000-03-03,34.250000,35.375000,33.812500,35.187500,15.130400,652200
2000-03-06,35.187500,35.437500,33.687500,33.937500,14.592907,534300
2000-03-07,34.187500,34.500000,32.312500,32.500000,13.974790,622600
2000-03-08,32.750000,33.437500,32.562500,33.250000,14.297279,479600
2000-03-09,33.625000,33.687500,32.500000,33.000000,14.189783,480600
2000-03-10,34.000000,35.000000,33.312500,33.312500,14.324162,736100
2000-03-13,33.187500,34.125000,33.000000,34.125000,14.673534,520700
2000-03-14,34.125000,35.000000,34.125000,34.687500,14.915396,750300
2000-03-15,34.812500,34.812500,33.625000,33.875000,14.566039,432500
2000-03-16,34.250000,34.312500,32.750000,33.000000,14.189783,822700
2000-03-17,33.750000,36.812500,33.562500,36.500000,15.694757,1042900
2000-03-20,36.562500,36.812500,35.500000,36.500000,15.694757,606600
2000-03-21,36.500000,37.375000,36.500000,37.312500,16.044130,670500
2000-03-22,37.000000,37.437500,35.625000,35.875000,15.426021,521100
2000-03-23,35.875000,36.125000,35.500000,36.125000,15.533516,505900
2000-03-24,36.000000,36.562500,35.750000,36.187500,15.560392,779800
2000-03-27,36.437500,37.500000,36.062500,37.125000,15.963504,408900
2000-03-28,36.875000,37.812500,36.375000,36.500000,15.694757,676000
2000-03-29,37.000000,37.375000,36.812500,37.250000,16.017254,406900
2000-03-30,37.750000,37.875000,36.625000,37.000000,15.909763,485200
2000-03-31,37.000000,37.687500,36.937500,37.125000,15.963504,502600
2000-04-03,37.000000,37.437500,36.500000,37.437500,16.097885,432700
2000-04-04,37.687500,38.750000,37.375000,38.375000,16.500996,543800
2000-04-05,38.125000,39.750000,37.875000,39.625000,17.038494,893000
2000-04-06,39.750000,40.187500,39.312500,39.875000,17.145992,826500
2000-04-07,39.625000,39.687500,39.187500,39.687500,17.065367,594200
2000-04-10,39.312500,39.687500,38.687500,39.500000,16.984749,642600
2000-04-11,39.375000,40.312500,39.250000,40.000000,17.199747,621000
2000-04-12,40.125000,40.375000,38.875000,39.000000,16.769745,386300
2000-04-13,39.000000,39.500000,38.062500,38.062500,16.366623,394000
2000-04-14,38.125000,38.125000,35.687500,36.000000,15.479769,845800
2000-04-17,35.250000,35.312500,34.062500,34.562500,14.861649,810200
2000-04-18,34.812500,35.687500,34.562500,35.500000,15.264773,768700
2000-04-19,35.625000,35.625000,34.500000,34.500000,14.834777,553700
2000-04-20,34.437500,34.437500,33.500000,33.750000,14.512279,744200
2000-04-24,32.250000,33.750000,32.250000,33.625000,14.458533,477800
2000-04-25,33.437500,34.500000,33.250000,34.250000,14.727282,548100
2000-04-26,34.250000,34.250000,33.500000,33.562500,14.431652,528900
2000-04-27,32.875000,33.000000,24.500000,29.250000,12.577312,4977000
2000-04-28,26.000000,26.750000,24.500000,24.500000,10.534841,5585300
2000-05-01,25.250000,26.375000,24.687500,26.375000,11.341079,3502400
2000-05-02,25.750000,25.812500,24.437500,24.812500,10.669212,2866900
2000-05-03,25.000000,25.375000,24.812500,25.375000,10.911085,1344700
2000-05-04,25.375000,25.875000,25.125000,25.562500,10.991709,1039600
2000-05-05,25.437500,25.875000,25.437500,25.687500,11.045462,976300
2000-05-08,25.625000,25.937500,25.062500,25.562500,10.991709,1387900
2000-05-09,25.500000,26.312500,25.312500,25.812500,11.099210,1324300
2000-05-10,25.625000,25.750000,25.000000,25.562500,10.991709,830300
2000-05-11,25.687500,26.625000,25.687500,26.500000,11.394830,1269500
2000-05-12,26.500000,27.750000,26.500000,27.187500,11.690446,1049700
2000-05-15,27.000000,28.187500,27.000000,28.062500,12.066693,655900
2000-05-16,27.812500,28.250000,27.187500,28.062500,12.066693,1056400
2000-05-17,28.312500,28.625000,27.875000,28.625000,12.308565,1022100
2000-05-18,29.187500,29.187500,28.500000,28.875000,12.416065,1248900
2000-05-19,28.500000,28.562500,27.437500,27.937500,12.012939,1155000
2000-05-22,27.437500,27.625000,26.125000,27.062500,11.636701,360400
2000-05-23,27.312500,27.562500,26.750000,27.375000,11.771076,599100
2000-05-24,27.375000,27.875000,26.625000,26.750000,11.502332,851200
2000-05-25,25.875000,26.562500,25.437500,26.562500,11.421701,1831300
2000-05-26,26.187500,26.625000,26.000000,26.312500,11.314208,394300
2000-05-30,27.000000,27.562500,26.437500,27.562500,11.851692,523500
2000-05-31,27.625000,27.625000,26.562500,27.000000,11.629865,421900
2000-06-01,26.500000,28.312500,26.500000,28.250000,12.168283,587500
2000-06-02,29.500000,30.687500,29.125000,29.375000,12.652867,913700
2000-06-05,29.250000,29.937500,28.812500,28.875000,12.437499,474500
2000-06-06,29.125000,29.375000,28.812500,28.937500,12.464420,523400
2000-06-07,28.937500,29.187500,28.000000,28.187500,12.141364,1027900
2000-06-08,28.437500,28.750000,27.875000,28.000000,12.060601,789700
2000-06-09,28.375000,31.000000,28.375000,30.937500,13.325891,1472000
2000-06-12,30.125000,30.500000,28.937500,29.625000,12.760550,443300
2000-06-13,29.812500,30.125000,29.687500,30.062500,12.948993,350600
2000-06-14,30.125000,30.312500,30.000000,30.062500,12.948993,254800
2000-06-15,30.250000,30.500000,30.062500,30.312500,13.056684,357700
2000-06-16,30.312500,30.437500,30.125000,30.281200,13.043195,447100
2000-06-19,30.562500,32.500000,30.562500,31.812500,13.702784,988900
2000-06-20,32.375000,32.500000,30.812500,31.187500,13.433575,616900
2000-06-21,31.312500,31.750000,31.250000,31.625000,13.622022,498900
2000-06-22,31.937500,32.187500,31.250000,31.750000,13.675865,640700
2000-06-23,31.812500,32.062500,30.437500,30.875000,13.298972,352100
2000-06-26,31.625000,31.687500,30.250000,30.750000,13.245126,272100
2000-06-27,30.937500,30.937500,30.562500,30.687500,13.218207,370000
2000-06-28,30.937500,30.937500,30.062500,30.343700,13.070120,490300
2000-06-29,30.000000,30.250000,29.375000,29.812500,12.841312,760500
2000-06-30,29.875000,30.000000,28.750000,28.750000,12.383655,905600
2000-07-03,29.000000,29.875000,29.000000,29.875000,12.868235,293300
2000-07-05,30.062500,30.625000,29.812500,29.937500,12.895153,575800
2000-07-06,29.937500,29.937500,29.000000,29.062500,12.518260,511200
2000-07-07,29.187500,29.687500,29.062500,29.562500,12.733625,579200
2000-07-10,29.625000,29.937500,28.625000,29.250000,12.599023,849800
2000-07-11,29.312500,29.937500,29.187500,29.437500,12.679787,458000
2000-07-12,29.437500,30.250000,29.125000,29.875000,12.868235,345700
2000-07-13,30.062500,30.187500,29.500000,29.875000,12.868235,259100
2000-07-14,29.625000,30.500000,29.562500,30.062500,12.948993,282200
2000-07-17,30.000000,30.000000,29.125000,29.531200,12.720143,265600
2000-07-18,29.562500,30.312500,29.125000,30.062500,12.948993,312700
2000-07-19,30.312500,30.625000,29.250000,29.687500,12.787467,238200
2000-07-20,29.750000,30.687500,29.750000,30.312500,13.056684,552600
2000-07-21,30.312500,30.375000,28.250000,29.000000,12.491337,592400
2000-07-24,28.875000,29.375000,28.687500,29.187500,12.572103,331500
2000-07-25,29.187500,29.750000,28.875000,29.437500,12.679787,478900
2000-07-26,29.312500,29.937500,29.062500,29.437500,12.679787,937500
2000-07-27,28.875000,29.000000,27.937500,28.750000,12.383655,543400
2000-07-28,28.375000,29.500000,28.375000,28.812500,12.410574,581000
2000-07-31,29.062500,29.562500,29.062500,29.312500,12.625946,481900
2000-08-01,29.375000,29.937500,29.375000,29.812500,12.841312,403800
2000-08-02,29.937500,32.375000,29.937500,30.937500,13.325891,761200
2000-08-03,30.937500,31.000000,29.937500,30.375000,13.083605,468200
2000-08-04,30.750000,31.625000,30.437500,30.937500,13.325891,343600
2000-08-07,30.687500,30.875000,30.250000,30.625000,13.191288,474300
2000-08-08,30.750000,30.750000,29.375000,29.562500,12.733625,300900
2000-08-09,29.312500,29.437500,28.812500,29.187500,12.572103,398500
2000-08-10,29.312500,30.500000,29.312500,30.125000,12.975916,313700
2000-08-11,30.187500,30.500000,30.000000,30.062500,12.948993,367600
2000-08-14,29.687500,30.250000,29.312500,29.875000,12.868235,599300
2000-08-15,30.000000,31.750000,29.937500,30.625000,13.191288,405600
2000-08-16,30.625000,30.625000,29.812500,29.875000,12.868235,229500
2000-08-17,29.875000,29.937500,29.312500,29.375000,12.652867,323700
2000-08-18,29.000000,29.687500,29.000000,29.375000,12.652867,288500
2000-08-21,29.437500,29.562500,29.000000,29.125000,12.545182,462300
2000-08-22,28.875000,29.062500,28.375000,28.750000,12.383655,348400
2000-08-23,28.750000,28.750000,28.187500,28.375000,12.222128,371600
2000-08-24,28.187500,28.500000,28.000000,28.250000,12.168283,248300
2000-08-25,28.312500,29.187500,27.875000,29.000000,12.491337,555400
2000-08-28,29.062500,29.062500,28.437500,28.687500,12.356736,288200
2000-08-29,28.625000,28.875000,28.187500,28.687500,12.356736,183400
2000-08-30,28.875000,28.937500,28.125000,28.437500,12.269364,195800
2000-08-31,28.187500,29.812500,28.125000,28.812500,12.431158,600500
2000-09-01,28.312500,29.750000,28.312500,29.625000,12.781710,365200
2000-09-05,29.875000,29.875000,28.625000,29.000000,12.512057,356500
2000-09-06,28.750000,28.750000,27.687500,28.062500,12.107571,377900
2000-09-07,28.062500,28.625000,27.687500,28.250000,12.188472,419300
2000-09-08,28.312500,28.625000,28.312500,28.500000,12.296335,396800
2000-09-11,28.500000,29.187500,28.500000,28.937500,12.485092,265700
2000-09-12,29.187500,29.437500,28.937500,29.312500,12.646885,323100
2000-09-13,29.000000,29.062500,28.375000,28.687500,12.377231,562800
2000-09-14,28.625000,28.750000,27.812500,27.937500,12.053637,299500
2000-09-15,27.812500,27.937500,27.375000,27.625000,11.918812,452100
2000-09-18,27.437500,27.562500,26.812500,27.125000,11.703087,566700
2000-09-19,27.125000,27.437500,26.562500,27.062500,11.676118,942300
2000-09-20,27.062500,27.062500,25.250000,25.625000,11.055911,953000
2000-09-21,25.687500,26.437500,25.687500,25.937500,11.190741,608600
2000-09-22,26.000000,26.437500,25.937500,26.312500,11.352535,442400
2000-09-25,26.062500,27.312500,26.062500,26.875000,11.595226,448000
2000-09-26,26.812500,27.125000,26.125000,26.375000,11.379500,442000
2000-09-27,26.375000,26.750000,26.125000,26.500000,11.433433,240300
2000-09-28,26.500000,28.250000,26.500000,27.750000,11.972740,558100
2000-09-29,27.562500,27.625000,27.062500,27.250000,11.757014,314200
2000-10-02,28.750000,28.750000,26.812500,27.062500,11.676118,625300
2000-10-03,27.375000,29.125000,27.375000,28.687500,12.377231,666200
2000-10-04,29.000000,30.812500,28.937500,30.687500,13.240129,842900
2000-10-05,30.687500,34.375000,30.437500,32.437500,13.995163,1440600
2000-10-06,32.187500,33.062500,31.875000,33.000000,14.237857,682200
2000-10-09,32.750000,32.875000,32.250000,32.375000,13.968205,311300
2000-10-10,32.375000,32.937500,31.562500,31.937500,13.779441,482300
2000-10-11,31.875000,31.875000,30.625000,30.875000,13.321029,749800
2000-10-12,30.937500,31.312500,29.750000,29.812500,12.862614,405200
2000-10-13,29.750000,31.500000,29.687500,31.375000,13.536745,498300
2000-10-16,31.375000,31.750000,31.000000,31.500000,13.590680,675900
2000-10-17,31.312500,31.937500,29.875000,30.500000,13.159230,457000
2000-10-18,30.250000,30.812500,29.437500,30.625000,13.213159,387700
2000-10-19,30.437500,32.000000,30.437500,31.812500,13.725508,317300
2000-10-20,31.437500,32.062500,31.437500,31.937500,13.779441,317900
2000-10-23,31.937500,32.187500,31.437500,32.125000,13.860341,358600
2000-10-24,32.500000,34.687500,32.312500,33.812500,14.588414,524100
2000-10-25,33.875000,33.875000,31.000000,31.375000,13.536745,429800
2000-10-26,30.750000,31.625000,30.750000,31.312500,13.509785,396600
2000-10-27,31.562500,34.500000,31.562500,34.062500,14.696272,818200
2000-10-30,34.312500,36.125000,34.187500,35.687500,15.397381,836200
2000-10-31,35.687500,38.500000,35.562500,38.500000,16.610834,664800
2000-11-01,38.000000,38.000000,36.625000,37.187500,16.044556,800400
2000-11-02,36.937500,37.062500,35.250000,36.000000,15.532209,590300
2000-11-03,35.625000,37.437500,35.437500,37.125000,16.017595,498100
2000-11-06,37.125000,37.375000,36.125000,36.687500,15.828827,402500
2000-11-07,36.437500,36.437500,35.750000,36.250000,15.640070,443300
2000-11-08,36.000000,36.562500,35.875000,36.437500,15.720971,320100
2000-11-09,36.687500,36.687500,35.500000,35.937500,15.505247,289000
2000-11-10,35.937500,37.062500,35.187500,35.625000,15.370418,460100
2000-11-13,35.250000,36.937500,34.812500,36.625000,15.801870,289000
2000-11-14,36.625000,37.312500,36.125000,36.437500,15.720971,305000
2000-11-15,36.500000,36.625000,35.437500,36.437500,15.720971,260900
2000-11-16,36.312500,37.000000,36.187500,36.562500,15.774891,450300
2000-11-17,36.562500,36.562500,35.375000,35.687500,15.397381,449600
2000-11-20,35.437500,35.812500,34.875000,35.125000,15.154693,174900
2000-11-21,35.125000,35.437500,34.937500,35.187500,15.181656,234500
2000-11-22,35.000000,35.187500,34.312500,34.437500,14.858068,581400
2000-11-24,34.500000,35.000000,34.500000,34.750000,14.992894,232200
2000-11-27,34.750000,36.000000,34.750000,35.750000,15.424348,481700
2000-11-28,35.500000,35.562500,34.687500,35.062500,15.127720,444000
2000-11-29,34.750000,35.625000,34.250000,35.625000,15.391268,403200
