Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,25.531250,25.531250,25.125000,25.218750,18.116388,374800
2000-01-03,25.218750,25.625000,24.281250,24.781250,17.802097,1619000
2000-01-04,24.625000,24.625000,24.250000,24.343750,17.487818,966000
2000-01-05,24.062500,24.312500,23.250000,23.523399,16.898502,952200
2000-01-06,23.500000,24.281250,23.468750,24.218750,17.398018,925400
2000-01-07,24.343750,25.093750,24.250000,25.062500,18.004143,763800
2000-01-10,25.625000,25.937500,25.312500,25.875000,18.587822,757200
2000-01-11,25.500000,25.593750,24.562500,25.218750,18.116388,1092200
2000-01-12,25.218750,25.562500,24.687500,25.093750,18.026594,1190400
2000-01-13,25.093750,25.468750,24.875000,25.187500,18.093943,866800
2000-01-14,25.187500,26.343750,25.187500,26.343750,18.924555,1422600
2000-01-18,26.000000,27.000000,25.812500,26.593750,19.104151,1564400
2000-01-19,26.593750,27.000000,26.062500,26.843750,19.283739,893000
2000-01-20,26.875000,27.062500,26.531250,26.843750,19.283739,1044200
2000-01-21,26.718750,27.750000,26.437500,26.750000,19.216396,1159600
2000-01-24,27.062500,27.937500,26.781250,27.000000,19.395990,1682600
2000-01-25,27.125000,27.687500,26.593750,27.062500,19.440886,796400
2000-01-26,27.000000,27.812500,26.750000,27.625000,19.844967,953600
2000-01-27,27.500000,27.593750,25.812500,26.593750,19.104151,1138200
2000-01-28,26.531250,26.562500,25.718750,25.968750,18.655169,1344200
2000-01-31,25.500000,25.968750,24.750000,25.562500,18.363335,2393400
2000-02-01,25.875000,25.968750,25.375000,25.875000,18.587822,1458800
2000-02-02,25.875000,26.968750,25.343750,25.718750,18.475580,1098200
2000-02-03,25.750000,26.562500,25.718750,25.906250,18.610270,669600
2000-02-04,25.937500,26.093750,25.375000,25.406250,18.251085,261200
2000-02-07,25.437500,25.437500,24.593750,25.187500,18.093943,815400
2000-02-08,25.000000,25.031250,24.500000,25.000000,17.959251,1382000
2000-02-09,25.500000,25.500000,24.125000,25.218750,18.116388,913400
2000-02-10,25.000000,25.156250,24.500000,24.937500,17.914351,1710600
2000-02-11,25.000000,25.062500,24.531250,24.875000,17.869448,1317600
2000-02-14,24.937500,24.937500,24.343750,24.687500,17.734760,468200
2000-02-15,24.562500,25.156250,24.375000,24.968750,17.936798,614800
2000-02-16,25.250000,25.687500,24.718750,24.968750,17.936798,401800
2000-02-17,25.062500,25.718750,24.937500,25.500000,18.318434,704800
2000-02-18,25.531250,25.687500,25.437500,25.562500,18.363335,718200
2000-02-22,25.437500,25.812500,24.937500,25.812500,18.542919,541000
2000-02-23,25.812500,25.812500,25.312500,25.500000,18.318434,506600
2000-02-24,25.687500,25.687500,23.406250,24.187500,17.375570,930800
2000-02-25,23.937500,23.937500,23.031250,23.218750,16.679653,588800
2000-02-28,23.093750,23.500000,20.750000,22.968750,16.500061,2444200
2000-02-29,23.125000,23.281250,21.281250,21.687500,15.579646,1811000
2000-03-01,22.500000,22.750000,22.125000,22.500000,16.163321,2103400
2000-03-02,22.375000,23.000000,22.156250,22.281250,16.006184,1237800
2000-03-03,22.562500,23.031250,22.468750,22.875000,16.432716,783000
2000-03-06,23.000000,23.187500,22.375000,22.531250,16.185770,991000
2000-03-07,21.312500,21.312500,19.062500,20.625000,14.816381,3292000
2000-03-08,20.875000,21.125000,20.000000,21.062500,15.130670,2600600
2000-03-09,21.156250,21.562500,20.625000,21.500000,15.444956,704600
2000-03-10,22.125000,22.125000,19.875000,20.000000,14.367400,2179600
2000-03-13,19.750000,20.500000,19.562500,20.125000,14.457196,1294800
2000-03-14,20.343750,20.812500,20.031250,20.281250,14.605728,1317600
2000-03-15,20.312500,22.531250,20.031250,22.500000,16.203585,1352000
2000-03-16,22.500000,23.968750,21.437500,23.593750,16.991255,1331000
2000-03-17,23.593750,23.593750,22.000000,22.468750,16.181074,878600
2000-03-20,22.125000,22.812500,21.531250,22.312500,16.068552,1322400
2000-03-21,23.187500,23.312500,22.812500,23.250000,16.743700,1133400
2000-03-22,23.437500,24.437500,23.281250,24.250000,17.463856,2251200
2000-03-23,24.250000,25.312500,23.937500,25.187500,18.139009,1509000
2000-03-24,25.218750,25.375000,23.437500,24.250000,17.463856,961800
2000-03-27,24.250000,24.250000,22.281250,22.875000,16.473637,1468800
2000-03-28,22.875000,24.343750,21.781250,24.250000,17.463856,2732000
2000-03-29,24.250000,24.562500,23.968750,24.500000,17.643904,2154400
2000-03-30,24.500000,25.531250,24.500000,25.250000,18.184019,1788400
2000-03-31,26.187500,26.625000,25.000000,25.031250,18.026482,2445600
2000-04-03,25.031250,26.187500,25.031250,25.343750,18.251532,991800
2000-04-04,25.250000,26.156250,24.593750,25.343750,18.251532,1592600
2000-04-05,25.406250,26.906250,25.406250,26.375000,18.994198,2084000
2000-04-06,26.281250,26.406250,25.500000,26.312500,18.949188,1964600
2000-04-07,26.500000,26.750000,26.156250,26.656250,19.196741,963400
2000-04-10,26.750000,27.156250,26.500000,26.843750,19.331778,905600
2000-04-11,26.843750,26.843750,25.500000,25.687500,18.499090,2417000
2000-04-12,25.812500,26.187500,24.406250,25.656250,18.476585,2470600
2000-04-13,25.281250,26.531250,25.125000,25.968750,18.701633,1335800
2000-04-14,25.000000,25.000000,23.500000,23.500000,16.923740,1813800
2000-04-17,23.312500,24.187500,22.968750,24.187500,17.418850,3380600
2000-04-18,24.156250,24.187500,23.125000,23.500000,16.923740,1437200
2000-04-19,23.250000,23.375000,23.000000,23.187500,16.698690,1300800
2000-04-20,23.250000,23.531250,23.187500,23.312500,16.788712,388800
2000-04-24,23.000000,23.125000,22.531250,22.812500,16.428631,932600
2000-04-25,22.781250,22.781250,21.625000,21.843750,15.730977,2304000
2000-04-26,21.937500,21.937500,21.093750,21.093750,15.190857,2658000
2000-04-27,21.093750,21.625000,20.656250,21.218750,15.280879,2169000
2000-04-28,21.281250,22.125000,20.906250,22.093750,15.911016,1394600
2000-05-01,22.000000,22.375000,21.593750,21.750000,15.663462,829800
2000-05-02,21.781250,22.687500,21.687500,22.187500,15.978530,1383600
2000-05-03,22.375000,22.718750,21.656250,21.687500,15.618452,1357800
2000-05-04,21.750000,21.781250,21.281250,21.531250,15.505924,1121800
2000-05-05,21.437500,21.687500,20.562500,21.531250,15.505924,1449200
2000-05-08,21.250000,21.562500,21.250000,21.406250,15.415906,555200
2000-05-09,21.375000,21.781250,21.093750,21.531250,15.505924,1677200
2000-05-10,21.625000,22.843750,21.593750,22.250000,16.023537,1331800
2000-05-11,22.250000,23.312500,22.250000,23.000000,16.563663,1178400
2000-05-12,22.937500,23.062500,22.468750,22.968750,16.541151,838200
2000-05-15,22.937500,23.093750,22.562500,23.000000,16.563663,960200
2000-05-16,23.093750,23.875000,22.781250,23.781250,17.126282,784800
2000-05-17,23.875000,24.218750,23.468750,24.125000,17.373838,1065200
2000-05-18,24.312500,24.937500,24.312500,24.781250,17.846443,1198800
2000-05-19,24.000000,24.000000,22.531250,22.843750,16.451134,1912600
2000-05-22,22.906250,23.093750,22.250000,22.562500,16.248592,1204800
2000-05-23,22.437500,22.437500,21.281250,21.312500,15.348395,1679800
2000-05-24,21.312500,21.593750,21.218750,21.281250,15.325884,1484800
2000-05-25,22.187500,22.718750,21.343750,21.875000,15.753480,2699800
2000-05-26,21.500000,22.281250,21.500000,22.125000,15.933524,9714400
2000-05-30,22.000000,22.593750,21.531250,22.531250,16.226086,2273000
2000-05-31,22.656250,22.656250,22.187500,22.406250,16.136065,2689200
2000-06-01,22.343750,23.000000,22.343750,22.843750,16.451134,1344200
2000-06-02,23.562500,23.875000,23.031250,23.656250,17.036261,2436600
2000-06-05,23.625000,23.656250,23.250000,23.406250,16.856224,2335600
2000-06-06,23.406250,23.406250,22.937500,23.125000,16.653679,2191400
2000-06-07,23.125000,23.156250,22.625000,22.718750,16.361118,1266200
2000-06-08,22.718750,22.875000,22.281250,22.875000,16.473637,1021800
