Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.937500,7.062500,6.875000,7.000000,4.759977,196100
2000-01-03,7.062500,7.437500,6.937500,7.000000,4.759977,240000
2000-01-04,6.750000,6.875000,6.625000,6.875000,4.674977,393600
2000-01-05,6.875000,6.875000,6.687500,6.812500,4.632479,138500
2000-01-06,6.937500,6.937500,6.750000,6.937500,4.717479,184900
2000-01-07,7.000000,7.000000,6.625000,6.625000,4.504980,1886200
2000-01-10,6.750000,7.187500,6.687500,7.062500,4.802478,519900
2000-01-11,7.062500,7.062500,6.812500,6.875000,4.674977,153700
2000-01-12,6.812500,6.812500,6.687500,6.812500,4.632479,1544900
2000-01-13,6.812500,7.000000,6.437500,6.687500,4.547479,823100
2000-01-14,6.750000,6.750000,6.500000,6.500000,4.419979,462600
2000-01-18,6.562500,6.750000,6.562500,6.750000,4.589979,732400
2000-01-19,6.625000,6.750000,6.562500,6.687500,4.547479,337500
2000-01-20,6.625000,6.687500,6.562500,6.687500,4.547479,313700
2000-01-21,6.625000,6.750000,6.500000,6.562500,4.462480,589900
2000-01-24,6.500000,6.500000,6.375000,6.375000,4.334981,483900
2000-01-25,6.500000,7.000000,6.437500,6.500000,4.419979,4488000
2000-01-26,6.500000,6.750000,6.437500,6.437500,4.377480,735700
2000-01-27,6.437500,6.562500,6.437500,6.437500,4.377480,1071200
2000-01-28,6.437500,6.437500,5.875000,5.937500,4.037480,2029500
2000-01-31,5.937500,6.000000,5.625000,6.000000,4.079982,1365100
2000-02-01,6.062500,6.437500,6.062500,6.375000,4.334981,377700
2000-02-02,6.250000,6.437500,6.062500,6.437500,4.377480,879500
2000-02-03,6.500000,6.562500,6.062500,6.062500,4.122481,540600
2000-02-04,6.125000,6.250000,5.937500,6.187500,4.207480,1520000
2000-02-07,6.062500,6.250000,6.062500,6.125000,4.164979,226800
2000-02-08,6.250000,6.375000,5.875000,6.062500,4.122481,904700
2000-02-09,5.875000,5.937500,5.562500,5.687500,3.867482,1506600
2000-02-10,5.687500,5.812500,5.187500,5.750000,3.909983,1204100
2000-02-11,5.750000,6.250000,5.625000,6.062500,4.122481,445900
2000-02-14,6.000000,6.062500,5.812500,6.000000,4.079982,273500
