Date,Open,High,Low,Close,Adj Close,Volume
2001-01-16,3.750000,3.750000,3.750000,3.750000,3.348589,3200
2001-01-17,3.750000,3.750000,3.750000,3.750000,3.348589,122800
2001-01-18,3.875000,4.125000,3.875000,4.125000,3.683448,167200
2001-01-19,4.187500,4.281250,4.187500,4.281250,3.822972,59600
2001-01-22,4.250000,4.625000,4.250000,4.562500,4.074116,146800
2001-01-23,4.500000,4.781250,4.500000,4.687500,4.185735,76000
2001-01-24,4.625000,4.625000,4.562500,4.562500,4.074116,560000
2001-01-25,4.656250,4.687500,4.625000,4.687500,4.185735,143200
2001-01-26,4.625000,4.640625,4.625000,4.625000,4.129926,82000
2001-01-29,4.630000,4.687500,4.600000,4.675000,4.174575,262000
2001-01-30,4.675000,4.675000,4.587500,4.650000,4.152251,339200
2001-01-31,4.675000,4.762500,4.675000,4.687500,4.185735,326000
2001-02-01,4.750000,5.300000,4.690000,5.225000,4.665700,2556800
2001-02-02,5.187500,5.250000,5.150000,5.207500,4.650073,795600
2001-02-05,5.212500,5.362500,4.980000,4.992500,4.458087,644800
2001-02-06,4.975000,5.005000,4.937500,4.937500,4.408975,1338800
2001-02-07,4.925000,5.000000,4.912500,5.000000,4.464785,1350400
2001-02-08,5.000000,5.040000,4.875000,4.875000,4.353166,578800
2001-02-09,4.875000,4.937500,4.875000,4.937500,4.408975,441600
2001-02-12,4.937500,4.937500,4.825000,4.825000,4.308517,327200
2001-02-13,4.825000,4.885000,4.812500,4.812500,4.297357,648800
2001-02-14,4.812500,4.812500,4.767500,4.770000,4.259406,135600
2001-02-15,4.775000,4.787500,4.575000,4.575000,4.085278,454400
2001-02-16,4.525000,4.525000,4.350000,4.517500,4.033930,427200
2001-02-20,4.517500,4.537500,4.452500,4.522500,4.038398,1000400
2001-02-21,4.522500,4.522500,4.475000,4.520000,4.036165,443600
2001-02-22,4.520000,4.535000,4.475000,4.507500,4.025002,623600
2001-02-23,4.525000,4.675000,4.500000,4.612500,4.118764,1222800
2001-02-26,4.625000,4.780000,4.625000,4.750000,4.241545,1182400
2001-02-27,4.750000,4.750000,4.725000,4.725000,4.219221,690000
2001-02-28,4.725000,4.750000,4.712500,4.750000,4.241545,326000
2001-03-01,4.725000,4.725000,4.675000,4.675000,4.174575,155200
2001-03-02,4.687500,4.702500,4.675000,4.690000,4.187967,836800
2001-03-05,4.687500,4.762500,4.687500,4.752500,4.243778,402800
2001-03-06,4.752500,4.775000,4.700000,4.700000,4.196897,610000
2001-03-07,4.700000,4.747500,4.700000,4.747500,4.239313,89600
2001-03-08,4.745000,4.745000,4.700000,4.700000,4.196897,211600
2001-03-09,4.700000,4.702500,4.675000,4.695000,4.192432,269600
2001-03-12,4.695000,4.725000,4.662500,4.675000,4.174575,106400
2001-03-13,4.712500,4.712500,4.612500,4.612500,4.118764,671600
2001-03-14,4.612500,4.637500,4.467500,4.475000,3.995981,455600
2001-03-15,4.450000,4.450000,4.287500,4.357500,3.891059,1160400
2001-03-16,4.387500,4.450000,4.337500,4.337500,3.873199,402800
2001-03-19,4.287500,4.437500,4.287500,4.300000,3.839715,1173600
2001-03-20,4.312500,4.390000,4.250000,4.275000,3.817391,222000
2001-03-21,4.275000,4.300000,4.062500,4.162500,3.716933,135200
2001-03-22,4.312500,4.462500,4.250000,4.462500,3.984821,2125600
2001-03-23,4.475000,4.575000,4.475000,4.575000,4.085278,757600
2001-03-26,4.612500,4.625000,4.570000,4.625000,4.129926,207600
2001-03-27,4.600000,4.612500,4.532500,4.587500,4.096440,435200
2001-03-28,4.575000,4.600000,4.462500,4.462500,3.984821,420800
2001-03-29,4.450000,4.450000,4.325000,4.325000,3.862038,535200
2001-03-30,4.325000,4.625000,4.325000,4.625000,4.129926,1308800
2001-04-02,4.600000,4.600000,4.425000,4.450000,3.973658,685600
2001-04-03,4.450000,4.500000,4.362500,4.500000,4.018305,192800
2001-04-04,4.462500,4.500000,4.437500,4.497500,4.016073,606000
2001-04-05,4.500000,4.530000,4.482500,4.530000,4.045095,629200
2001-04-06,4.517500,4.735000,4.500000,4.712500,4.208059,476000
2001-04-09,4.715000,4.740000,4.612500,4.652500,4.154483,113600
2001-04-10,4.677500,4.775000,4.677500,4.762500,4.252706,954400
2001-04-11,4.875000,5.225000,4.875000,5.225000,4.665700,1570000
2001-04-12,5.167500,5.587500,5.167500,5.587500,4.989395,689200
2001-04-16,5.575000,5.575000,5.365000,5.375000,4.799644,368000
2001-04-17,5.350000,5.437500,5.265000,5.375000,4.799644,581200
2001-04-18,5.250000,5.352500,5.250000,5.320000,4.750531,285200
2001-04-19,5.295000,5.320000,5.162500,5.310000,4.741601,121600
2001-04-20,5.350000,5.450000,5.237500,5.250000,4.688024,1139600
2001-04-23,5.275000,5.275000,5.212500,5.225000,4.665700,946400
2001-04-24,5.220000,5.232500,5.187500,5.225000,4.665700,626000
2001-04-25,5.225000,5.287500,5.225000,5.262500,4.699186,326000
2001-04-26,5.265000,5.287500,5.227500,5.245000,4.683560,469200
2001-04-27,5.247500,5.252500,5.230000,5.250000,4.688024,549200
2001-04-30,5.200000,5.400000,5.187500,5.287500,4.721512,946800
2001-05-01,5.287500,6.095000,5.287500,5.965000,5.326489,889200
