Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.859375,8.125000,7.859375,8.125000,8.018169,161200
2000-01-03,8.140625,8.140625,7.984375,7.984375,7.879393,422400
2000-01-04,7.984375,8.031250,7.906250,7.937500,7.833135,252000
2000-01-05,7.906250,8.062500,7.906250,7.984375,7.879393,409200
2000-01-06,7.968750,8.062500,7.937500,8.023425,7.917930,502800
2000-01-07,8.062500,8.218750,8.062500,8.203125,8.095267,257600
2000-01-10,8.250000,8.281250,8.062500,8.250000,8.141525,200000
2000-01-11,8.218750,8.218750,8.171875,8.218750,8.110686,114400
2000-01-12,8.234375,8.234375,8.000000,8.046875,7.941072,63200
2000-01-13,8.046875,8.203125,8.015625,8.093750,7.987330,176400
2000-01-14,8.093750,8.140625,8.078125,8.109375,8.002750,172800
2000-01-18,8.156250,8.156250,7.859375,7.906250,7.802295,430800
2000-01-19,7.875000,8.078125,7.875000,7.937500,7.833135,231200
2000-01-20,7.937500,7.984375,7.750000,7.781250,7.678939,434400
2000-01-21,7.718750,7.734375,7.453125,7.500000,7.401387,450000
2000-01-24,7.500000,7.640625,7.453125,7.468750,7.370548,344800
2000-01-25,7.343750,7.406250,7.296875,7.359375,7.262611,349600
2000-01-26,7.359375,7.500000,7.359375,7.406250,7.308869,437200
2000-01-27,7.406250,7.515625,7.375000,7.437500,7.339708,490400
2000-01-28,7.468750,7.500000,7.437500,7.437500,7.339708,620400
2000-01-31,7.468750,7.500000,7.375000,7.375000,7.278031,474800
2000-02-01,7.375000,7.593750,7.265625,7.578125,7.478485,686400
2000-02-02,7.578125,7.796875,7.578125,7.750000,7.648100,586800
2000-02-03,7.734375,7.875000,7.703125,7.734375,7.632680,473200
2000-02-04,7.718750,7.828125,7.656250,7.734375,7.632680,236000
2000-02-07,7.796875,7.796875,7.718750,7.734375,7.632680,336000
2000-02-08,7.718750,7.734375,7.515625,7.546875,7.447646,314800
2000-02-09,7.609375,7.609375,7.484375,7.484375,7.385967,512800
2000-02-10,7.421875,7.484375,7.265625,7.281250,7.185513,480800
2000-02-11,7.281250,7.421875,7.171875,7.171875,7.077576,447600
2000-02-14,7.187500,7.187500,7.000000,7.078125,6.985059,390800
2000-02-15,7.109375,7.140625,6.968750,7.125000,7.031318,292800
2000-02-16,7.125000,7.218750,7.000000,7.140625,7.046737,326800
2000-02-17,7.125000,7.250000,7.093750,7.140625,7.046737,395200
2000-02-18,7.078125,7.078125,6.937500,7.000000,6.907961,168400
2000-02-22,7.062500,7.218750,6.984375,7.203125,7.108416,386000
2000-02-23,7.203125,7.203125,6.875000,6.921875,6.830863,260800
2000-02-24,6.984375,7.046875,6.875000,6.921875,6.830863,152000
2000-02-25,6.921875,6.937500,6.828125,6.859375,6.769185,94800
2000-02-28,6.828125,6.843750,6.750000,6.843750,6.753765,169600
2000-02-29,6.968750,7.062500,6.890625,7.015625,6.923380,452000
2000-03-01,7.015625,7.156250,7.000000,7.109375,7.015898,236800
2000-03-02,7.140625,7.140625,7.062500,7.125000,7.031318,248400
2000-03-03,7.140625,7.140625,6.875000,6.984375,6.892541,326000
2000-03-06,6.953125,7.015625,6.921875,7.000000,6.907961,688800
2000-03-07,7.015625,7.046875,6.781250,6.781250,6.692087,130400
2000-03-08,6.812500,6.859375,6.796875,6.843750,6.753765,318000
2000-03-09,6.906250,7.046875,6.906250,7.000000,6.907961,329600
2000-03-10,6.968750,7.000000,6.937500,6.953125,6.861702,378400
2000-03-13,6.906250,6.953125,6.812500,6.812500,6.722926,238800
2000-03-14,6.812500,6.812500,6.687500,6.734375,6.645829,375600
2000-03-15,6.671875,6.937500,6.546875,6.906250,6.815444,426000
2000-03-16,6.937500,7.625000,6.937500,7.515625,7.416806,706400
2000-03-17,7.515625,7.656250,7.437500,7.484375,7.385967,361200
2000-03-20,7.546875,7.921875,7.531250,7.531250,7.432226,765600
2000-03-21,7.484375,7.484375,7.203125,7.328125,7.231771,323200
2000-03-22,7.343750,7.343750,7.187500,7.312500,7.216352,502800
2000-03-23,7.281250,7.671875,7.265625,7.640625,7.540163,409600
2000-03-24,7.578125,7.687500,7.484375,7.656250,7.555583,346400
2000-03-27,7.625000,7.718750,7.468750,7.625000,7.524744,254000
2000-03-28,7.562500,7.609375,7.421875,7.515625,7.416806,161600
2000-03-29,7.500000,7.593750,7.406250,7.515625,7.416806,256800
2000-03-30,7.546875,7.718750,7.546875,7.625000,7.524744,285600
2000-03-31,7.640625,8.062500,7.531250,7.968750,7.863973,725200
2000-04-03,8.000000,8.078125,7.875000,7.968750,7.863973,226000
2000-04-04,7.906250,7.906250,7.437500,7.593750,7.493904,305200
2000-04-05,7.593750,7.640625,7.500000,7.609375,7.509324,342000
2000-04-06,7.609375,7.656250,7.492175,7.625000,7.524744,487200
2000-04-07,7.656250,7.656250,7.531250,7.609375,7.509324,166800
2000-04-10,7.609375,7.843750,7.578125,7.765625,7.663520,627600
2000-04-11,7.734375,7.765625,7.718750,7.734375,7.632680,254000
2000-04-12,7.734375,7.796875,7.718750,7.734375,7.632680,186800
2000-04-13,7.734375,7.765625,7.703125,7.734375,7.632680,192400
2000-04-14,7.671875,7.671875,7.453125,7.546875,7.447646,252800
2000-04-17,7.546875,7.609375,7.421875,7.468750,7.370548,282800
2000-04-18,7.437500,7.531250,7.390625,7.500000,7.401387,100000
2000-04-19,7.531250,7.703125,7.515625,7.703125,7.601841,165200
2000-04-20,7.703125,7.703125,7.515625,7.687500,7.586422,118000
2000-04-24,7.656250,7.671875,7.453125,7.453125,7.355128,84000
2000-04-25,7.406250,7.453125,7.343750,7.406250,7.308869,354800
2000-04-26,7.437500,7.796875,7.437500,7.750000,7.648100,380400
2000-04-27,7.687500,7.718750,7.625000,7.687500,7.586422,144400
2000-04-28,7.687500,7.843750,7.578125,7.828125,7.725197,348400
2000-05-01,7.812500,7.953125,7.796875,7.828125,7.725197,261200
2000-05-02,7.734375,7.921875,7.718750,7.750000,7.648100,229200
2000-05-03,7.750000,7.796875,7.625000,7.796875,7.694358,477600
2000-05-04,7.828125,8.000000,7.765625,7.937500,7.833135,894400
2000-05-05,7.953125,8.437500,7.953125,8.437500,8.326562,725600
2000-05-08,8.375000,8.468750,8.375000,8.421875,8.311142,566000
2000-05-09,8.390625,8.390625,7.750000,7.921875,7.817715,1351200
2000-05-10,7.750000,7.796875,7.671875,7.781250,7.678939,994000
2000-05-11,7.843750,7.906250,7.843750,7.859375,7.756037,349200
2000-05-12,7.859375,8.359375,7.859375,8.343750,8.234043,945200
2000-05-15,8.312500,8.375000,8.203125,8.343750,8.234043,1074000
2000-05-16,8.406250,8.421875,8.281250,8.328125,8.218624,526000
2000-05-17,8.375000,8.406250,8.312500,8.375000,8.264882,623600
2000-05-18,8.375000,8.406250,8.343750,8.343750,8.234043,232000
2000-05-19,8.281250,8.328125,8.218750,8.328125,8.218624,178000
2000-05-22,8.328125,8.328125,8.140625,8.140625,8.033589,301200
2000-05-23,8.171875,8.296875,8.109375,8.109375,8.002750,352400
2000-05-24,8.125000,8.343750,8.078125,8.343750,8.234043,693600
2000-05-25,8.343750,8.406250,8.343750,8.359375,8.249463,246400
2000-05-26,8.375000,8.406250,8.312500,8.390625,8.280301,212000
2000-05-30,8.437500,8.531250,8.437500,8.500000,8.388239,311600
2000-05-31,8.500000,8.500000,8.312500,8.312500,8.203204,247200
2000-06-01,8.375000,8.437500,8.359375,8.375000,8.264882,398800
2000-06-02,8.437500,8.703125,8.437500,8.703125,8.588692,257600
2000-06-05,8.703125,8.843750,8.656250,8.843750,8.727468,258000
2000-06-06,8.968750,8.968750,8.828125,8.875000,8.758307,419200
2000-06-07,8.843750,8.859375,8.703125,8.750000,8.634953,245600
2000-06-08,8.734375,8.875000,8.718750,8.796875,8.681210,128800
2000-06-09,8.796875,8.968750,8.796875,8.953125,8.835405,147600
2000-06-12,8.937500,8.937500,8.750000,8.750000,8.634953,170000
2000-06-13,8.750000,8.781250,8.656250,8.781250,8.665790,151200
2000-06-14,8.703125,8.812500,8.671875,8.781250,8.665790,142800
2000-06-15,8.718750,9.062500,8.718750,9.062500,8.943343,246400
2000-06-16,9.125000,9.203125,8.921875,9.046875,8.927922,325600
2000-06-19,9.031250,9.031250,8.828125,8.937500,8.819986,162000
2000-06-20,8.937500,8.937500,8.671875,8.796875,8.681210,318400
2000-06-21,8.765625,8.781250,8.500000,8.578125,8.465335,315600
2000-06-22,8.578125,8.734375,8.500000,8.562500,8.449916,310800
2000-06-23,8.531250,8.546875,8.421875,8.437500,8.326562,151600
2000-06-26,8.250000,8.281250,8.187500,8.265625,8.156946,368400
2000-06-27,8.281250,8.359375,8.187500,8.218750,8.110686,417600
2000-06-28,8.234375,8.375000,8.195300,8.328125,8.218624,456000
