Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,67.437500,67.437500,66.187500,66.500000,36.995132,906200
2000-01-03,65.000000,67.437500,65.000000,65.562500,36.473598,2645000
2000-01-04,64.250000,65.437500,62.750000,63.500000,35.326180,3701000
2000-01-05,63.125000,65.312500,63.000000,64.312500,35.778194,3411000
2000-01-06,65.000000,66.187500,64.312500,66.187500,36.821285,2460100
2000-01-07,68.000000,71.062500,67.500000,71.062500,39.533329,5863300
2000-01-10,71.062500,71.062500,67.937500,68.125000,37.899158,2830500
2000-01-11,67.000000,69.375000,67.000000,68.500000,38.107773,3309700
2000-01-12,67.625000,68.312500,66.937500,67.500000,37.551464,3573600
2000-01-13,65.750000,68.375000,65.625000,66.687500,37.099449,3639400
2000-01-14,68.937500,69.250000,68.000000,68.312500,38.003468,3750300
2000-01-18,69.375000,69.375000,66.500000,67.312500,37.447128,2082900
2000-01-19,66.000000,68.000000,65.750000,67.750000,37.690544,2193700
2000-01-20,67.687500,68.250000,65.562500,66.781197,37.151573,2136400
2000-01-21,65.125000,65.625000,64.125000,64.750000,36.021587,4051000
2000-01-24,64.625000,64.812500,61.562500,62.125000,34.561249,4206900
2000-01-25,62.375000,63.250000,61.750000,62.312500,34.665554,3148700
2000-01-26,62.937500,63.375000,62.125000,62.750000,34.908951,2233100
2000-01-27,62.000000,64.375000,61.500000,64.250000,35.743412,3052200
2000-01-28,65.000000,67.375000,64.875000,65.312500,36.334515,4284500
2000-01-31,65.937500,67.000000,62.375000,66.875000,37.203758,3334100
2000-02-01,65.875000,66.500000,64.687500,65.562500,36.473598,2981300
2000-02-02,65.500000,66.062500,63.875000,65.062500,36.195438,2066300
2000-02-03,65.312500,65.812500,63.625000,65.250000,36.299747,2643600
2000-02-04,64.937500,65.250000,64.500000,64.875000,36.091125,1717600
2000-02-07,65.437500,65.437500,62.750000,63.312500,35.221874,1957400
2000-02-08,62.625000,63.750000,62.625000,63.312500,35.221874,2536700
2000-02-09,64.375000,64.375000,61.687500,61.750000,34.352615,3211000
2000-02-10,61.875000,63.000000,61.812500,62.312500,34.665554,2080000
