Date,Open,High,Low,Close,Adj Close,Volume
2000-10-18,10.000000,10.875000,9.875000,10.750000,7.435584,27891200
2000-10-19,11.000000,12.000000,10.812500,12.000000,8.300195,3950200
2000-10-20,11.812500,11.812500,11.000000,11.562500,7.997578,2456200
2000-10-23,11.562500,11.562500,10.812500,11.000000,7.608507,1974600
2000-10-24,11.000000,11.125000,10.500000,11.062500,7.651737,1375400
2000-10-25,11.062500,11.625000,11.062500,11.468750,7.932733,1068600
2000-10-26,11.468750,11.750000,10.906250,11.718750,8.105654,766800
2000-10-27,11.718750,12.000000,11.656250,11.968750,8.278577,704200
2000-10-30,11.843750,12.656250,11.812500,12.312500,8.516341,750200
2000-10-31,12.187500,13.000000,11.437500,12.750000,8.818954,2295400
2000-11-01,12.625000,12.625000,11.812500,11.875000,8.213733,612000
2000-11-02,11.812500,11.812500,11.312500,11.531250,7.975967,640600
2000-11-03,11.625000,11.625000,11.281250,11.468750,7.932733,437200
2000-11-06,11.562500,12.000000,11.562500,11.656250,8.062424,400200
2000-11-07,11.593750,11.625000,11.187500,11.625000,8.040809,256000
2000-11-08,11.625000,11.625000,11.437500,11.531250,7.975967,209800
2000-11-09,11.468750,11.687500,11.437500,11.500000,7.954351,302200
2000-11-10,11.406250,11.406250,11.125000,11.250000,7.781427,311200
2000-11-13,11.187500,11.468750,11.093750,11.281250,7.803046,341000
2000-11-14,11.562500,11.718750,11.406250,11.718750,8.105654,444200
2000-11-15,12.125000,12.218750,12.000000,12.187500,8.429885,792600
2000-11-16,12.062500,12.125000,11.875000,11.906250,8.235344,457400
2000-11-17,11.843750,12.125000,11.812500,12.062500,8.343422,647200
2000-11-20,12.000000,12.062500,11.593750,11.656250,8.062424,631600
2000-11-21,11.781250,11.781250,11.531250,11.562500,7.997578,291800
2000-11-22,11.437500,11.500000,11.250000,11.406250,7.889503,332400
2000-11-24,11.500000,11.843750,11.500000,11.718750,8.105654,59600
2000-11-27,11.781250,11.812500,11.593750,11.781250,8.148885,282400
2000-11-28,11.750000,12.000000,11.750000,11.937500,8.256960,462000
2000-11-29,11.937500,12.500000,11.937500,12.500000,8.646033,277800
2000-11-30,12.375000,12.562500,12.125000,12.531250,8.667645,1279800
2000-12-01,12.468750,12.625000,12.250000,12.406250,8.581185,397800
2000-12-04,12.281250,12.625000,12.156250,12.625000,8.732493,324200
2000-12-05,12.562500,12.812500,12.500000,12.625000,8.732493,742800
2000-12-06,12.562500,12.812500,12.500000,12.656250,8.754109,247000
2000-12-07,12.625000,12.781250,12.375000,12.468750,8.624417,272600
2000-12-08,12.593750,12.625000,11.875000,12.437500,8.602801,278600
2000-12-11,12.437500,12.843750,12.437500,12.843750,8.883798,185800
2000-12-12,12.781250,12.781250,12.468750,12.562500,8.689261,151000
2000-12-13,12.562500,12.781250,12.531250,12.625000,8.732493,223000
2000-12-14,12.625000,12.687500,12.593750,12.687500,8.775724,161400
2000-12-15,12.625000,12.718750,12.562500,12.687500,8.775724,142600
2000-12-18,12.687500,12.812500,12.593750,12.812500,8.862184,141600
2000-12-19,12.750000,12.843750,12.625000,12.687500,8.775724,75800
2000-12-20,12.562500,12.593750,12.406250,12.531250,8.667645,128800
2000-12-21,12.468750,12.468750,11.968750,11.968750,8.278577,127800
2000-12-22,11.843750,12.125000,11.750000,11.843750,8.192114,336200
2000-12-26,11.937500,12.093750,11.875000,12.031250,8.321807,170000
2000-12-27,12.031250,12.656250,12.031250,12.593750,8.710876,232800
2000-12-28,12.593750,13.187500,12.500000,13.093750,9.056720,297600
2000-12-29,13.125000,13.687500,13.062500,13.531250,9.359327,281000
2001-01-02,13.531250,14.562500,13.437500,14.125000,9.770017,217600
2001-01-03,15.062500,16.312500,14.500000,15.687500,10.850773,1912400
2001-01-04,15.625000,15.875000,15.250000,15.250000,10.609022,1029400
2001-01-05,15.125000,15.125000,14.500000,14.843750,10.326406,358600
2001-01-08,14.843750,14.906250,14.656250,14.843750,10.326406,66000
2001-01-09,14.843750,14.843750,14.656250,14.687500,10.217709,48400
2001-01-10,14.812500,15.062500,14.718750,14.812500,10.304667,78000
2001-01-11,14.562500,14.625000,14.187500,14.625000,10.174228,754400
2001-01-12,14.500000,15.000000,14.500000,15.000000,10.435102,244600
2001-01-16,15.375000,15.968750,15.062500,15.093750,10.500323,339400
2001-01-17,15.250000,15.468750,15.062500,15.250000,10.609022,217200
2001-01-18,15.375000,15.500000,15.156250,15.406250,10.717721,197600
2001-01-19,15.406250,15.406250,14.437500,14.562500,10.130747,179200
2001-01-22,14.562500,14.625000,14.250000,14.406250,10.022048,295800
2001-01-23,14.375000,14.437500,14.062500,14.250000,9.913348,580400
2001-01-24,14.187500,14.500000,14.187500,14.468750,10.065528,110400
2001-01-25,14.343750,14.656250,14.250000,14.656250,10.195967,185000
2001-01-26,14.656250,15.093750,14.531250,15.093750,10.500323,227000
2001-01-29,15.200000,15.750000,15.100000,15.425000,10.730767,398600
2001-01-30,15.750000,15.950000,15.000000,15.515000,10.793376,599000
2001-01-31,15.390000,15.800000,15.255000,15.755000,10.960339,193400
2001-02-01,15.765000,15.860000,15.500000,15.505000,10.786419,117200
2001-02-02,16.000000,16.000000,15.000000,15.000000,10.435102,274000
2001-02-05,15.010000,15.225000,14.750000,15.000000,10.435102,193000
2001-02-06,15.150000,15.650000,15.145000,15.355000,10.682066,816600
2001-02-07,15.250000,15.730000,15.250000,15.660000,10.894250,307200
2001-02-08,15.875000,16.025000,15.675000,16.000000,11.130779,947400
2001-02-09,16.500000,16.875000,16.400000,16.684999,11.607316,1119600
2001-02-12,16.775000,17.299999,16.365000,17.200001,11.965589,957800
2001-02-13,17.450001,17.840000,17.250000,17.750000,12.348207,1246200
2001-02-14,17.745001,17.825001,16.500000,16.990000,11.819495,779200
2001-02-15,16.990000,17.000000,16.719999,16.865000,11.732538,400600
2001-02-16,16.799999,16.799999,15.650000,15.890000,11.054255,549600
2001-02-20,15.890000,15.900000,14.250000,14.375000,10.000307,861200
2001-02-21,14.750000,15.150000,14.750000,14.950000,10.400323,1560600
2001-02-22,15.000000,15.200000,14.975000,14.995000,10.431627,1109200
2001-02-23,15.000000,15.000000,14.100000,14.100000,9.808998,718400
2001-02-26,14.450000,15.100000,14.450000,15.025000,10.452497,452200
2001-02-27,15.000000,15.050000,14.850000,14.950000,10.400323,98600
2001-02-28,15.750000,16.125000,15.050000,16.000000,11.130779,1111200
2001-03-01,15.875000,16.250000,15.850000,16.174999,11.252518,310000
2001-03-02,16.049999,16.549999,16.049999,16.325001,11.356872,209200
2001-03-05,16.375000,16.950001,16.375000,16.809999,11.694273,183200
2001-03-06,17.750000,17.750000,17.049999,17.254999,12.003849,566400
2001-03-07,17.254999,17.254999,16.900000,16.950001,11.791667,525000
2001-03-08,17.059999,17.240000,17.049999,17.055000,11.864716,377600
2001-03-09,16.934999,16.950001,16.275000,16.740000,11.645581,748400
2001-03-12,16.740000,16.740000,16.025000,16.500000,11.478616,358200
2001-03-13,16.500000,16.559999,16.125000,16.475000,11.461223,388200
2001-03-14,16.125000,16.500000,16.025000,16.299999,11.339479,499000
2001-03-15,16.350000,16.875000,16.299999,16.875000,11.739493,308600
2001-03-16,16.875000,17.500000,16.825001,16.840000,11.715146,351400
2001-03-19,16.844999,17.100000,16.525000,16.525000,11.496008,128400
2001-03-20,16.549999,16.750000,16.350000,16.525000,11.496008,445400
2001-03-21,16.525000,16.674999,16.504999,16.594999,11.544704,164800
2001-03-22,16.555000,16.775000,16.150000,16.504999,11.482095,787200
2001-03-23,16.475000,16.530001,16.350000,16.510000,11.485570,86000
2001-03-26,16.799999,17.000000,16.325001,17.000000,11.826453,540800
2001-03-27,17.000000,17.000000,16.500000,16.625000,11.565572,696000
2001-03-28,16.625000,16.700001,16.525000,16.549999,11.513399,337800
2001-03-29,16.650000,17.350000,16.625000,16.924999,11.774276,518800
2001-03-30,17.250000,17.770000,17.250000,17.730000,12.334292,696200
2001-04-02,17.750000,18.350000,17.750000,17.825001,12.400380,493000
2001-04-03,17.775000,17.950001,17.325001,17.510000,12.181247,646400
2001-04-04,17.875000,17.875000,17.600000,17.740000,12.341249,275600
2001-04-05,17.725000,18.400000,17.725000,18.400000,12.800394,308800
2001-04-06,18.340000,18.375000,17.750000,18.000000,12.604328,1810200
2001-04-09,18.000000,18.200001,17.850000,17.995001,12.600825,906200
2001-04-10,17.995001,18.004999,17.750000,17.754999,12.432768,400400
2001-04-11,17.754999,17.754999,17.350000,17.424999,12.201690,701400
2001-04-12,17.424999,17.424999,17.245001,17.344999,12.145672,636000
2001-04-16,17.344999,17.500000,17.225000,17.275000,12.096655,281400
2001-04-17,17.500000,17.975000,17.500000,17.900000,12.534304,438600
2001-04-18,18.000000,18.000000,16.450001,17.254999,12.082649,977800
2001-04-19,17.254999,17.450001,17.150000,17.400000,12.184182,406000
2001-04-20,17.475000,18.350000,17.450001,17.549999,12.289221,872800
2001-04-23,17.549999,17.549999,17.325001,17.455000,12.222695,143800
2001-04-24,17.455000,17.475000,16.450001,16.795000,11.760542,285000
2001-04-25,16.920000,17.150000,16.625000,17.100000,11.974109,272400
2001-04-26,17.100000,17.100000,15.375000,15.965000,11.179340,1541000
2001-04-27,15.965000,16.000000,14.940000,15.150000,10.608644,1048200
2001-04-30,15.150000,15.475000,14.400000,15.475000,10.836221,1830600
2001-05-01,15.500000,16.075001,15.400000,16.000000,11.203847,526000
2001-05-02,16.000000,16.450001,15.800000,16.270000,11.392915,145000
2001-05-03,16.295000,16.375000,16.000000,16.309999,11.420924,561000
2001-05-04,16.410000,16.450001,15.900000,16.150000,11.308882,603200
2001-05-07,16.155001,16.254999,15.750000,16.100000,11.273874,202200
