Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.856767,3.916667,3.843750,3.911458,3.624334,3183600
2000-01-03,3.937500,3.968750,3.677083,3.901042,3.614682,7522800
2000-01-04,3.833333,3.843750,3.604167,3.796875,3.518161,7512000
2000-01-05,3.687500,3.750000,3.619792,3.671875,3.402337,4708800
2000-01-06,3.671875,3.671875,3.291667,3.432292,3.180341,3012000
2000-01-07,3.416667,3.526042,3.364583,3.489583,3.233427,1779600
2000-01-10,3.500000,3.750000,3.437500,3.604167,3.339600,5996400
2000-01-11,3.583333,3.625000,3.458333,3.458333,3.204471,3703200
2000-01-12,3.458333,3.463542,3.322917,3.369792,3.122429,3088800
2000-01-13,3.364583,3.541667,3.322917,3.510417,3.252731,3304800
2000-01-14,3.562500,3.807292,3.552083,3.661458,3.392686,15114000
2000-01-18,3.708333,3.833333,3.541667,3.817708,3.537465,6541200
2000-01-19,3.833333,3.833333,3.750000,3.781250,3.503684,4117200
2000-01-20,3.812500,4.020833,3.739583,3.770833,3.494031,4489200
2000-01-21,3.760417,3.776042,3.635417,3.729167,3.455424,13606800
2000-01-24,3.848958,3.848958,3.541667,3.562500,3.300991,6423600
2000-01-25,3.578125,3.614583,3.416667,3.531250,3.272035,5928000
2000-01-26,3.531250,3.625000,3.322917,3.385417,3.136908,5811600
2000-01-27,3.411458,3.411458,3.083333,3.208333,2.972823,11455200
2000-01-28,3.166667,3.187500,2.989583,3.114583,2.885954,4861200
2000-01-31,3.130208,3.197917,2.916667,3.088542,2.861824,4560000
2000-02-01,3.093750,3.187500,2.979167,3.161458,2.929388,2324400
2000-02-02,3.177083,3.312500,3.161458,3.250000,3.011430,3726000
2000-02-03,3.354167,3.421875,3.281250,3.302083,3.059691,2706000
2000-02-04,3.406250,3.406250,3.312500,3.380208,3.132081,3092400
2000-02-07,3.395833,3.395833,3.166667,3.171875,2.939041,5437200
2000-02-08,3.250000,3.437500,3.166667,3.322917,3.078995,11720400
2000-02-09,3.447917,3.505208,3.401042,3.406250,3.156211,14726400
2000-02-10,3.614583,4.166667,3.614583,4.104167,3.802896,24252000
2000-02-11,4.307292,4.312500,3.864583,4.166667,3.860809,10594800
2000-02-14,4.177083,4.833333,4.135417,4.833333,4.478539,16252800
2000-02-15,4.843750,4.848958,4.447917,4.645833,4.304801,11262000
2000-02-16,4.697917,5.020833,4.645833,4.859375,4.502668,25489200
2000-02-17,4.854167,5.062500,4.781250,5.031250,4.661926,13394400
2000-02-18,4.958333,5.687500,4.921875,5.614583,5.202440,24021600
2000-02-22,5.437500,5.510417,5.250000,5.458333,5.057658,13562400
2000-02-23,5.395833,5.546875,5.328125,5.489583,5.086615,12784800
2000-02-24,5.520833,5.557292,5.208333,5.437500,5.038355,6108000
2000-02-25,5.442708,5.442708,4.875000,5.098958,4.724664,6968400
2000-02-28,5.072917,5.125000,4.979167,5.062500,4.690881,12946800
2000-02-29,5.031250,5.395833,5.031250,5.333333,4.941835,7651200
2000-03-01,5.333333,5.333333,5.093750,5.177083,4.797054,9589200
2000-03-02,5.218750,5.218750,4.812500,4.828125,4.473712,4776000
2000-03-03,4.833333,4.958333,4.791667,4.906250,4.546103,6842400
2000-03-06,4.937500,5.312500,4.833333,4.875000,4.517147,10802400
