Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,44.562500,45.000000,44.437500,44.500000,26.358948,280900
2000-01-03,44.000000,44.000000,41.687500,42.187500,24.989168,703500
2000-01-04,42.125000,42.125000,40.000000,40.875000,24.211735,1318500
2000-01-05,40.812500,41.562500,40.812500,41.062500,24.322783,1078900
2000-01-06,40.875000,43.500000,40.875000,43.000000,25.470451,1490700
2000-01-07,43.000000,43.500000,42.562500,43.062500,25.507462,1128000
2000-01-10,44.000000,44.000000,41.500000,41.562500,24.618965,945800
2000-01-11,41.500000,41.625000,40.875000,41.125000,24.359821,548000
2000-01-12,41.250000,42.250000,41.125000,42.000000,25.153349,831400
2000-01-13,43.500000,46.000000,42.937500,45.812500,27.436604,1703500
2000-01-14,47.250000,47.375000,45.750000,46.750000,27.998075,1377200
2000-01-18,46.750000,46.750000,45.812500,45.937500,27.511465,1056000
2000-01-19,45.937500,46.562500,45.312500,45.312500,27.137161,845200
2000-01-20,45.500000,45.500000,43.625000,44.000000,26.351116,998900
2000-01-21,44.062500,44.125000,42.937500,43.875000,26.276264,1203300
2000-01-24,44.000000,44.125000,43.250000,43.437500,26.014254,1352700
2000-01-25,43.687500,44.250000,43.625000,44.062500,26.388550,1014300
2000-01-26,43.875000,45.187500,43.750000,45.187500,27.062296,989300
2000-01-27,45.500000,46.937500,45.062500,46.687500,27.960629,1424300
2000-01-28,46.250000,46.500000,45.562500,45.875000,27.474031,1545700
2000-01-31,45.875000,48.000000,45.750000,48.000000,28.746685,1292500
2000-02-01,48.000000,48.500000,47.500000,48.250000,28.896400,802400
2000-02-02,48.000000,48.187500,46.500000,46.687500,27.960629,1043000
2000-02-03,46.500000,46.812500,45.250000,45.500000,27.249462,1148700
2000-02-04,45.625000,45.937500,44.437500,44.562500,26.687990,757400
2000-02-07,44.562500,44.562500,43.062500,44.125000,26.425982,611800
2000-02-08,44.375000,45.937500,44.375000,45.062500,26.987429,786200
2000-02-09,44.875000,45.187500,44.062500,44.062500,26.388550,682700
2000-02-10,44.250000,44.500000,42.250000,42.687500,25.565090,733400
2000-02-11,42.687500,43.500000,41.812500,42.125000,25.228209,554600
2000-02-14,42.125000,42.312500,41.375000,41.625000,24.928757,464800
2000-02-15,41.562500,43.250000,41.500000,43.125000,25.827089,570800
2000-02-16,43.062500,43.125000,41.937500,42.000000,25.153349,559400
2000-02-17,43.125000,43.125000,41.375000,41.750000,25.003624,635000
2000-02-18,41.000000,41.187500,39.000000,40.000000,23.955568,1069600
2000-02-22,39.625000,40.000000,38.812500,39.500000,23.656113,854600
2000-02-23,39.562500,39.625000,38.375000,39.125000,23.431540,671000
2000-02-24,39.062500,39.125000,38.000000,38.000000,22.757786,755000
2000-02-25,38.250000,39.250000,37.625000,37.625000,22.533199,847900
2000-02-28,38.125000,39.687500,38.062500,39.062500,23.394112,922400
2000-02-29,39.250000,39.250000,38.625000,38.687500,23.169519,955200
2000-03-01,38.625000,39.000000,37.875000,38.750000,23.206955,755900
2000-03-02,38.687500,39.000000,38.000000,38.875000,23.281811,703100
2000-03-03,39.500000,39.500000,38.375000,38.937500,23.319252,565800
2000-03-06,39.000000,39.250000,38.125000,38.125000,22.832647,442600
2000-03-07,38.125000,38.125000,36.500000,36.687500,21.971746,698800
2000-03-08,36.937500,37.250000,36.000000,36.625000,21.934315,862400
2000-03-09,36.812500,37.375000,36.687500,37.000000,22.158894,1005300
2000-03-10,37.250000,37.625000,37.000000,37.437500,22.420904,1005700
2000-03-13,36.875000,37.937500,36.812500,37.125000,22.233744,618400
2000-03-14,37.062500,37.625000,36.875000,36.937500,22.121466,667400
2000-03-15,37.000000,40.500000,37.000000,40.000000,23.955568,1550200
2000-03-16,43.500000,45.250000,42.187500,44.937500,26.912592,1954500
2000-03-17,43.875000,44.875000,42.937500,43.687500,26.163960,1209600
2000-03-20,43.812500,43.875000,41.500000,42.062500,25.190773,596000
2000-03-21,42.187500,44.750000,41.937500,44.187500,26.463417,1484300
2000-03-22,44.375000,45.000000,43.625000,44.812500,26.837721,587600
2000-03-23,44.312500,46.187500,43.750000,45.937500,27.511465,710000
2000-03-24,45.687500,46.625000,44.625000,45.312500,27.137161,821300
2000-03-27,45.312500,45.437500,43.375000,43.625000,26.126537,755100
2000-03-28,43.375000,44.875000,43.250000,44.312500,26.538271,802600
2000-03-29,44.562500,44.562500,43.875000,44.125000,26.425982,739300
2000-03-30,45.500000,45.500000,43.500000,44.125000,26.425982,900000
2000-03-31,45.000000,46.375000,43.812500,45.062500,26.987429,856200
2000-04-03,45.562500,47.500000,45.562500,47.375000,28.372370,1020400
2000-04-04,47.375000,47.937500,45.250000,45.875000,27.474031,1066700
2000-04-05,46.000000,46.437500,45.312500,45.437500,27.212021,883200
2000-04-06,45.500000,46.000000,45.187500,45.625000,27.324316,745200
2000-04-07,45.625000,46.000000,44.125000,44.312500,26.538271,746000
2000-04-10,44.187500,45.812500,44.062500,45.500000,27.249462,649800
2000-04-11,45.500000,46.875000,45.375000,46.750000,27.998075,784200
