Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,25.812500,25.968750,25.812500,25.906250,20.192425,194800
2000-01-03,25.687500,26.187500,25.437500,26.093750,20.338562,987600
2000-01-04,25.812500,27.562500,25.812500,27.093750,21.118002,1704600
2000-01-05,27.125000,27.281250,26.625000,27.093750,21.118002,1033800
2000-01-06,27.187500,27.937500,27.125000,27.812500,21.678225,925800
2000-01-07,28.250000,28.875000,28.125000,28.812500,22.457672,1197400
2000-01-10,29.125000,29.875000,28.921881,29.656250,23.115324,1759400
2000-01-11,29.562500,29.625000,29.218750,29.281250,22.823032,940400
2000-01-12,29.375000,30.187500,29.187500,29.875000,23.285824,1231400
2000-01-13,29.906250,30.937500,29.843750,30.375000,23.675535,3895600
2000-01-14,30.500000,30.562500,29.468750,30.093750,23.456327,2019000
2000-01-18,30.093750,30.093750,29.125000,29.593750,23.066607,783600
2000-01-19,29.250000,29.375000,28.437500,28.812500,22.457672,979600
2000-01-20,28.687500,28.750000,27.250000,27.718750,21.605158,1358600
2000-01-21,28.250000,28.375000,27.406250,27.468750,21.410286,918400
2000-01-24,27.500000,27.750000,26.750000,27.000000,21.044928,1201000
2000-01-25,27.000000,27.375000,26.500000,26.656250,20.777002,469000
2000-01-26,27.500000,28.500000,27.375000,28.031250,21.848730,1418800
2000-01-27,27.937500,28.968750,27.937500,28.625000,22.311523,915600
2000-01-28,28.625000,29.375000,27.937500,28.656250,22.335882,939200
2000-01-31,28.531250,28.531250,27.125000,28.062500,21.873089,923000
2000-02-01,27.937500,28.062500,27.375000,27.562500,21.483368,544200
2000-02-02,27.687500,28.000000,27.000000,27.187500,21.191082,604200
2000-02-03,27.312500,27.562500,26.500000,26.718750,20.825706,810800
2000-02-04,26.843750,26.968750,26.000000,26.250000,20.460352,860000
2000-02-07,26.125000,26.125000,25.250000,25.500000,19.875769,770400
2000-02-08,24.750000,25.875000,24.750000,25.562500,19.924480,1447800
2000-02-09,26.062500,26.500000,25.812500,25.906250,20.192425,1011200
2000-02-10,26.031250,26.687500,25.562500,25.906250,20.192425,1902400
2000-02-11,26.000000,26.000000,25.250000,25.343750,19.753983,784400
2000-02-14,25.187500,25.437500,24.968750,25.000000,19.486040,401400
2000-02-15,25.312500,25.562500,24.968750,25.375000,19.778339,611000
