Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.500000,7.531250,7.453125,7.500000,1.501901,304000
2000-01-03,7.437500,7.515625,7.359375,7.406250,1.483127,864400
2000-01-04,7.343750,7.484375,7.187500,7.328125,1.467482,769600
2000-01-05,7.343750,7.500000,7.187500,7.250000,1.451837,1185600
2000-01-06,7.343750,7.390625,6.984375,7.140625,1.429935,1818400
2000-01-07,7.203125,7.359375,7.000000,7.296875,1.461224,2059200
2000-01-10,7.375000,7.484375,7.312500,7.390625,1.479998,885600
2000-01-11,7.437500,7.593750,7.390625,7.453125,1.492514,611200
2000-01-12,7.375000,7.500000,7.250000,7.468750,1.495643,925600
2000-01-13,7.484375,7.531250,7.312500,7.359375,1.473740,1109600
2000-01-14,7.234375,7.375000,7.203125,7.218750,1.445579,984000
2000-01-18,7.156250,7.312500,7.125000,7.218750,1.445579,604400
2000-01-19,7.187500,7.406250,7.187500,7.375000,1.476869,781200
2000-01-20,7.390625,7.453125,7.234375,7.328125,1.467482,1030400
2000-01-21,7.531250,7.531250,7.296875,7.359375,1.473740,1060800
2000-01-24,7.343750,7.359375,7.281250,7.328125,1.467482,902400
2000-01-25,7.343750,7.375000,7.093750,7.187500,1.439322,1846800
2000-01-26,7.203125,7.234375,7.125000,7.218750,1.445579,807600
2000-01-27,7.250000,7.250000,6.781250,6.953125,1.392386,1344800
2000-01-28,6.968750,6.984375,6.500000,6.671875,1.336066,1115600
2000-01-31,6.671875,6.671875,6.406250,6.484375,1.298519,1694000
2000-02-01,6.546875,6.609375,6.250000,6.531250,1.307905,1830800
2000-02-02,6.562500,6.718750,6.500000,6.609375,1.323550,1310800
2000-02-03,6.625000,6.828125,6.625000,6.750000,1.351711,1133600
2000-02-04,6.750000,6.750000,6.437500,6.484375,1.298519,1232800
2000-02-07,6.484375,6.609375,6.234375,6.531250,1.307905,1154000
2000-02-08,6.531250,6.687500,6.375000,6.500000,1.301647,1474800
2000-02-09,6.546875,6.703125,6.437500,6.500000,1.301647,1372800
