Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,4.282289,4.924632,4.282289,4.781889,1.815516,802800
2000-01-03,4.853260,4.853260,4.567774,4.567774,1.734224,15000
2000-01-04,4.567774,4.567774,4.496403,4.567774,1.734224,34900
2000-01-05,4.496403,4.710517,4.496403,4.496403,1.707127,26600
2000-01-06,4.496403,4.710517,4.496403,4.567774,1.734224,24100
2000-01-07,4.496403,4.567774,4.425031,4.496403,1.707127,74000
2000-01-10,4.496403,4.710517,4.496403,4.567774,1.734224,47400
2000-01-11,4.425031,4.496403,4.425031,4.496403,1.707127,45800
2000-01-12,4.425031,4.496403,4.425031,4.425031,1.680030,13700
2000-01-13,4.425031,4.639146,4.425031,4.496403,1.707127,27100
2000-01-14,4.496403,4.567774,4.496403,4.567774,1.734224,31700
2000-01-18,4.567774,4.639146,4.496403,4.639146,1.761322,18000
2000-01-19,4.567774,4.639146,4.496403,4.639146,1.761322,24800
2000-01-20,4.639146,4.639146,4.567774,4.567774,1.734224,28100
2000-01-21,4.567774,4.567774,4.496403,4.496403,1.707127,35600
2000-01-24,4.496403,4.567774,4.210917,4.210917,1.598738,91500
2000-01-25,4.282289,4.282289,3.925431,3.996803,1.517446,313200
2000-01-26,3.925431,4.139545,3.854060,3.996803,1.517446,64900
2000-01-27,3.996803,4.139545,3.854060,3.996803,1.517446,94800
2000-01-28,3.925431,3.996803,3.854060,3.925431,1.490349,110500
2000-01-31,3.996803,4.282289,3.854060,4.139545,1.571641,198400
2000-02-01,4.139545,4.282289,4.068174,4.210917,1.598738,80100
2000-02-02,4.139545,4.353660,4.139545,4.282289,1.625835,34200
2000-02-03,4.210917,4.425031,4.139545,4.210917,1.598738,153600
2000-02-04,4.139545,4.139545,3.996803,3.996803,1.517446,110100
2000-02-07,4.282289,4.353660,4.068174,4.210917,1.598738,35800
2000-02-08,4.139545,4.353660,3.854060,3.996803,1.517446,55000
2000-02-09,3.996803,4.068174,3.996803,3.996803,1.517446,52900
2000-02-10,3.996803,3.996803,3.925431,3.925431,1.490349,109300
2000-02-11,3.854060,3.925431,3.639945,3.711317,1.409058,109500
2000-02-14,3.711317,3.711317,3.568574,3.639945,1.381960,57700
2000-02-15,3.568574,3.639945,3.568574,3.639945,1.381960,59600
2000-02-16,3.568574,3.782688,3.568574,3.782688,1.436155,55500
2000-02-17,3.711317,3.925431,3.711317,3.782688,1.436155,36300
2000-02-18,3.854060,3.854060,3.782688,3.782688,1.436155,10900
2000-02-22,3.782688,3.854060,3.782688,3.782688,1.436155,21900
2000-02-23,3.782688,3.782688,3.782688,3.782688,1.436155,8600
2000-02-24,3.782688,3.854060,3.711317,3.782688,1.436155,25700
2000-02-25,3.711317,3.996803,3.711317,3.854060,1.463251,88700
2000-02-28,3.854060,3.925431,3.854060,3.925431,1.490349,12300
2000-02-29,3.925431,4.068174,3.854060,3.854060,1.463251,546400
2000-03-01,3.854060,3.996803,3.782688,3.782688,1.436155,191500
2000-03-02,3.782688,3.854060,3.782688,3.854060,1.463251,84300
2000-03-03,3.925431,4.210917,3.925431,4.068174,1.544543,53300
2000-03-06,3.925431,4.139545,3.782688,4.068174,1.544543,37000
2000-03-07,3.996803,4.139545,3.854060,3.996803,1.517446,265600
2000-03-08,3.996803,3.996803,3.854060,3.854060,1.463251,18700
2000-03-09,3.854060,3.854060,3.568574,3.711317,1.409058,123500
2000-03-10,3.782688,3.782688,3.568574,3.639945,1.381960,62900
2000-03-13,3.639945,3.854060,3.639945,3.854060,1.463251,43300
2000-03-14,3.782688,3.782688,3.568574,3.568574,1.354863,64100
2000-03-15,3.568574,3.568574,3.068973,3.211716,1.219377,181500
2000-03-16,3.140345,3.639945,3.140345,3.568574,1.354863,130600
2000-03-17,3.425831,3.497202,3.283088,3.354459,1.273571,70100
2000-03-20,3.354459,3.354459,3.283088,3.354459,1.273571,32600
2000-03-21,3.425831,3.996803,3.425831,3.925431,1.490349,274300
2000-03-22,4.068174,4.496403,4.068174,4.282289,1.625835,142700
2000-03-23,4.282289,4.425031,3.568574,3.711317,1.409058,198800
2000-03-24,3.711317,3.996803,3.711317,3.711317,1.409058,50500
2000-03-27,3.711317,3.782688,3.639945,3.639945,1.381960,43000
2000-03-28,3.639945,3.782688,3.568574,3.568574,1.354863,68400
2000-03-29,3.711317,3.711317,3.568574,3.639945,1.381960,18400
2000-03-30,3.568574,3.782688,3.425831,3.782688,1.436155,91900
2000-03-31,3.854060,3.854060,3.568574,3.782688,1.436155,61400
2000-04-03,3.782688,3.782688,3.711317,3.782688,1.436155,12300
2000-04-04,3.782688,3.925431,3.782688,3.925431,1.490349,72200
2000-04-05,3.854060,3.996803,3.854060,3.854060,1.463251,21500
