Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.041667,8.041667,7.770833,7.875000,6.802153,241200
2000-01-03,7.958333,8.000000,7.770833,7.833333,6.766162,582200
2000-01-04,7.833333,7.916667,7.791667,7.833333,6.766162,317600
2000-01-05,7.833333,8.041667,7.833333,7.968733,6.883115,1188000
2000-01-06,7.875000,8.020833,7.833333,7.979167,6.892129,534200
2000-01-07,7.958333,8.020833,7.708333,7.958333,6.874132,1401000
2000-01-10,7.958333,8.166667,7.854167,8.145833,7.036089,613200
2000-01-11,8.083333,8.187500,8.083333,8.145833,7.036089,581600
2000-01-12,8.156234,8.166667,7.916667,7.968733,6.883115,1068600
2000-01-13,7.958333,8.312500,7.916667,8.312500,7.180048,847800
2000-01-14,8.333333,8.369766,8.083333,8.208333,7.090072,1164000
2000-01-18,8.083333,8.145833,8.020833,8.041667,6.946112,540000
2000-01-19,8.000000,8.083333,7.979167,8.000000,6.910121,622200
2000-01-20,8.000000,8.125000,7.770833,7.770833,6.712177,1163400
2000-01-21,7.833333,8.020833,7.791667,7.963533,6.878624,1942800
2000-01-24,7.979167,8.166667,7.958333,8.125000,7.018094,1599800
2000-01-25,8.208333,8.208333,7.958333,8.041667,6.946112,1480200
2000-01-26,8.000000,8.125000,7.958333,8.125000,7.018094,594600
2000-01-27,8.125000,8.312500,8.062500,8.145833,7.036089,715200
2000-01-28,8.145833,8.333333,8.145833,8.270833,7.144060,907800
2000-01-31,8.312500,8.333333,8.145833,8.250000,7.126064,1355400
2000-02-01,8.250000,8.375000,8.125000,8.333333,7.198043,2767200
2000-02-02,8.375000,8.604167,8.333333,8.604167,7.431983,1298600
2000-02-03,8.562500,8.666667,8.515600,8.645833,7.467969,2058800
2000-02-04,8.666667,8.791667,8.583333,8.770833,7.575941,1044000
2000-02-07,8.833333,8.875000,8.770833,8.833333,7.629927,1508400
2000-02-08,8.812500,8.854167,8.666667,8.812500,7.611929,421800
2000-02-09,8.854167,8.875000,8.625000,8.708333,7.521955,1130000
