Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.863318,6.998113,6.852085,6.941948,4.713755,1395400
2000-01-03,6.930715,6.930715,6.661125,6.706057,4.553579,3033400
2000-01-04,6.649892,6.739756,6.470165,6.571262,4.462050,3315000
2000-01-05,6.604960,6.638659,6.571262,6.604960,4.484933,4642600
2000-01-06,6.560029,6.616193,6.537563,6.548796,4.446794,3947600
2000-01-07,6.548796,6.560029,6.357836,6.402768,4.347638,6063600
2000-01-10,6.391535,6.739756,6.380302,6.661125,4.523068,5531100
2000-01-11,6.604960,6.739756,6.526330,6.616193,4.492559,4224700
2000-01-12,6.649892,6.739756,6.548796,6.548796,4.446794,9828200
2000-01-13,6.627426,6.818386,6.604960,6.649892,4.515442,5522800
2000-01-14,6.649892,6.661125,6.436467,6.470165,4.393402,3188100
2000-01-18,6.380302,6.425234,6.223041,6.279206,4.263737,7497400
2000-01-19,6.234274,6.245507,5.998383,6.043314,4.103558,9733600
2000-01-20,6.009615,6.009615,5.695094,5.717559,3.882364,9039200
2000-01-21,5.717559,5.784957,5.706326,5.728792,3.889992,7177000
2000-01-24,5.773724,5.818655,5.582764,5.605230,3.806090,5581200
2000-01-25,5.605230,5.605230,5.324407,5.459202,3.706933,7281000
2000-01-26,5.459202,5.492901,5.391805,5.403038,3.668796,4549100
2000-01-27,5.414270,5.492901,5.391805,5.414270,3.676423,5427600
2000-01-28,5.459202,5.459202,5.167146,5.189612,3.523875,3942600
2000-01-31,5.257010,5.279475,5.122214,5.144680,3.493365,2827000
2000-02-01,5.279475,5.796190,5.279475,5.526599,3.752696,12357000
2000-02-02,5.391805,5.470435,5.066050,5.200845,3.531502,10261100
2000-02-03,5.268242,5.369339,5.234543,5.335640,3.623033,4141800
2000-02-04,5.335640,5.358106,5.268242,5.324407,3.615403,4361000
2000-02-07,5.290708,5.391805,5.212078,5.290708,3.592521,4228000
2000-02-08,5.290708,5.380571,5.279475,5.369339,3.645914,4354900
2000-02-09,5.313174,5.571531,5.223310,5.391805,3.661168,5385900
2000-02-10,5.391805,5.515367,4.841391,4.942487,3.356071,18960400
2000-02-11,4.875090,5.099749,4.830158,5.021118,3.409463,7656600
2000-02-14,5.099749,5.099749,4.942487,5.043584,3.424720,5138900
2000-02-15,5.009885,5.133447,4.863857,5.099749,3.462856,4789400
2000-02-16,5.077282,5.144680,4.976186,5.021118,3.409463,1999700
2000-02-17,5.077282,5.380571,4.987419,5.279475,3.584894,5256300
2000-02-18,5.212078,5.212078,5.021118,5.032351,3.417091,4312600
2000-02-22,5.066050,5.066050,4.717829,4.852624,3.295051,4787800
2000-02-23,4.875090,4.942487,4.818925,4.818925,3.272170,1764300
2000-02-24,4.773993,4.773993,4.639198,4.672897,3.173013,4273100
2000-02-25,4.672897,4.706596,4.627965,4.650431,3.157758,3476900
2000-02-28,4.661664,4.785226,4.538102,4.616733,3.134876,3263800
2000-02-29,4.684130,4.852624,4.672897,4.785226,3.249287,4105100
2000-03-01,4.773993,5.110981,4.773993,5.066050,3.439972,5094300
2000-03-02,5.043584,5.054817,4.908789,4.976186,3.378952,2849800
2000-03-03,5.066050,5.066050,4.672897,4.695363,3.188268,4783300
2000-03-06,4.785226,5.021118,4.695363,4.976186,3.378952,3183700
2000-03-07,4.852624,4.886323,4.717829,4.751528,3.226405,3701100
2000-03-08,4.762761,4.830158,4.672897,4.751528,3.226405,2719100
2000-03-09,4.796459,5.054817,4.762761,5.021118,3.409463,3483000
2000-03-10,5.009885,5.077282,4.942487,4.987419,3.386581,2496000
2000-03-13,4.908789,5.054817,4.897556,4.942487,3.356071,2596100
2000-03-14,4.953721,4.953721,4.729062,4.762761,3.234032,4512400
2000-03-15,4.807693,5.212078,4.740295,5.122214,3.478110,9596200
2000-03-16,4.987419,5.930985,4.953721,5.908519,4.012032,11756100
2000-03-17,5.908519,5.908519,5.616463,5.616463,3.813718,7712200
