Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,58.750000,59.750000,58.375000,59.187500,46.307369,158100
2000-01-03,59.031200,59.125000,53.437500,55.500000,43.422344,1199600
2000-01-04,54.625000,55.000000,52.500000,52.812500,41.319668,816100
2000-01-05,52.750000,53.250000,51.062500,52.750000,41.270760,1124700
2000-01-06,52.750000,54.937500,52.375000,53.500000,41.857555,1112100
2000-01-07,53.750000,54.250000,53.312500,53.625000,41.955345,782000
2000-01-10,53.687500,53.750000,51.500000,52.656200,41.197392,408800
2000-01-11,52.687500,53.000000,49.875000,49.875000,39.021404,987800
2000-01-12,50.500000,50.750000,49.000000,50.312500,39.363708,794300
2000-01-13,51.062500,55.500000,51.000000,54.687500,42.786644,458700
2000-01-14,56.000000,56.750000,54.937500,55.625000,43.520126,596500
2000-01-18,55.625000,56.125000,52.750000,52.812500,41.319668,476800
2000-01-19,52.750000,54.625000,52.625000,53.375000,41.759758,310400
2000-01-20,54.125000,54.125000,51.937500,52.437500,41.026276,368200
2000-01-21,53.125000,53.312500,50.281200,52.875000,41.368565,448900
2000-01-24,53.500000,54.250000,51.375000,52.000000,40.683971,573000
2000-01-25,51.812500,53.875000,51.375000,53.687500,42.004257,497200
2000-01-26,54.000000,54.218700,52.562500,53.562500,41.906452,541500
2000-01-27,53.750000,58.625000,53.625000,57.750000,45.428661,967300
2000-01-28,57.250000,57.250000,54.875000,56.125000,44.150349,801400
2000-01-31,56.187500,59.312500,56.125000,59.125000,46.510277,440500
2000-02-01,58.875000,60.000000,58.562500,59.750000,47.001938,730800
2000-02-02,59.500000,59.562500,58.562500,58.625000,46.116951,655400
2000-02-03,58.562500,59.500000,57.125000,57.937500,45.576153,297300
2000-02-04,57.875000,58.125000,55.000000,55.312500,43.511204,240400
2000-02-07,55.375000,55.750000,53.875000,55.250000,43.462036,384300
2000-02-08,55.062500,58.437500,55.000000,58.062500,45.674477,366000
2000-02-09,58.562500,58.687500,54.000000,55.125000,43.363708,935800
2000-02-10,55.437500,56.500000,54.750000,54.937500,43.216209,362500
2000-02-11,55.437500,56.000000,54.500000,54.687500,43.019558,448800
2000-02-14,54.687500,55.234299,54.062500,54.125000,42.577053,199400
2000-02-15,54.375000,55.500000,53.562500,54.812500,43.117889,412600
2000-02-16,54.750000,54.812500,54.250000,54.562500,42.921211,233900
2000-02-17,54.750000,55.750000,54.062500,55.031200,43.289921,439500
2000-02-18,55.000000,55.125000,49.625000,49.875000,39.233837,1174700
2000-02-22,50.062500,51.187500,48.875000,51.125000,40.217125,706100
2000-02-23,51.062500,51.250000,49.312500,50.625000,39.823811,433000
2000-02-24,50.781200,51.562500,50.437500,50.875000,40.020489,821900
2000-02-25,50.875000,50.875000,49.875000,50.000000,39.332161,338300
2000-02-28,49.968700,52.656200,49.687500,51.500000,40.512131,1029200
2000-02-29,51.750000,53.250000,51.000000,53.062500,41.741261,415700
2000-03-01,53.000000,53.187500,50.500000,50.687500,39.872993,786900
2000-03-02,50.687500,52.250000,50.687500,51.437500,40.462971,423300
2000-03-03,51.250000,51.406200,32.000000,38.812500,30.531590,14244100
2000-03-06,39.250000,42.375000,37.125000,41.562500,32.694855,3842200
2000-03-07,41.875000,41.875000,39.125000,39.812500,31.318226,1162600
2000-03-08,40.562500,40.562500,36.500000,37.437500,29.449957,1449300
2000-03-09,37.187500,37.625000,36.375000,36.875000,29.007473,862200
2000-03-10,36.937500,39.750000,36.062500,37.250000,29.302467,822100
2000-03-13,37.875000,38.937500,37.625000,37.968700,29.867817,1970600
2000-03-14,38.343700,38.625000,36.000000,36.437500,28.663315,536200
2000-03-15,36.750000,39.500000,36.687500,38.750000,30.482424,832300
2000-03-16,39.625000,41.875000,39.562500,41.375000,32.547356,1168300
2000-03-17,40.500000,42.937500,40.375000,40.937500,32.203197,1010300
2000-03-20,41.000000,41.250000,39.312500,39.312500,30.924913,542200
2000-03-21,39.250000,42.625000,38.625000,42.250000,33.235695,511800
2000-03-22,42.000000,44.343700,42.000000,42.062500,33.088161,529200
2000-03-23,41.750000,44.000000,41.500000,44.000000,34.612305,673600
2000-03-24,43.750000,44.000000,42.000000,42.562500,33.481503,579300
2000-03-27,42.593700,42.687500,38.812500,39.437500,31.023239,900300
2000-03-28,39.375000,41.312500,38.875000,39.750000,31.269085,796100
2000-03-29,39.687500,40.875000,38.875000,39.515598,31.084686,876000
2000-03-30,39.562500,41.062500,38.312500,38.312500,30.138266,1151400
2000-03-31,38.875000,43.000000,38.625000,41.625000,32.744026,1414100
2000-04-03,44.109299,44.250000,38.562500,40.000000,31.465740,3809900
2000-04-04,41.500000,43.750000,40.750000,41.625000,32.744026,2188000
2000-04-05,41.062500,41.687500,40.953098,41.125000,32.350708,668100
2000-04-06,41.562500,42.812500,41.375000,42.500000,33.432343,1571600
2000-04-07,42.500000,42.625000,40.250000,40.625000,31.957371,848400
2000-04-10,40.625000,42.875000,40.562500,42.375000,33.334011,1062400
2000-04-11,42.062500,46.000000,42.000000,45.125000,35.497265,993300
2000-04-12,45.125000,49.250000,45.000000,45.625000,35.890587,1448900
2000-04-13,46.500000,48.250000,45.750000,47.500000,37.365559,2637700
2000-04-14,47.375000,47.437500,45.125000,45.187500,35.546440,1453900
2000-04-17,45.000000,45.062500,43.562500,44.937500,35.349781,1156300
2000-04-18,45.000000,45.125000,42.250000,43.687500,34.366478,485300
2000-04-19,43.812500,43.812500,39.875000,40.875000,32.154041,588900
2000-04-20,41.125000,43.250000,40.750000,43.000000,33.825657,1204700
2000-04-24,42.687500,44.875000,41.437500,43.500000,34.218987,373600
2000-04-25,43.687500,46.500000,43.500000,44.625000,35.103962,235200
2000-04-26,45.000000,45.000000,42.375000,42.937500,33.776501,309900
2000-04-27,42.375000,42.500000,40.875000,41.437500,32.596539,308400
2000-04-28,41.875000,42.250000,40.750000,41.500000,32.645706,224700
2000-05-01,41.437500,42.437500,41.125000,41.750000,32.842354,325500
2000-05-02,41.875000,43.000000,41.125000,42.937500,33.776501,605100
2000-05-03,42.875000,43.000000,40.500000,40.687500,32.006557,336100
2000-05-04,40.875000,41.875000,39.437500,40.625000,31.957371,533600
2000-05-05,40.437500,41.000000,40.000000,40.750000,32.055702,331300
2000-05-08,40.437500,42.250000,40.000000,42.000000,33.039021,664400
2000-05-09,42.187500,43.375000,41.312500,42.000000,33.039021,553000
2000-05-10,41.500000,41.750000,39.062500,39.937500,31.416567,312300
2000-05-11,40.187500,42.000000,40.125000,41.250000,32.612343,654400
2000-05-12,41.062500,42.375000,40.562500,41.875000,33.106476,347700
2000-05-15,42.125000,42.625000,41.750000,42.375000,33.501801,415200
2000-05-16,43.000000,43.062500,41.687500,41.937500,33.155899,252800
2000-05-17,41.687500,41.812500,40.500000,41.312500,32.661770,255600
2000-05-18,40.875000,42.250000,40.812500,41.375000,32.711182,230300
2000-05-19,40.875000,42.000000,40.750000,41.406200,32.735844,433000
2000-05-22,41.687500,42.562500,40.687500,42.375000,33.501801,197400
2000-05-23,41.937500,43.750000,41.750000,43.000000,33.995907,504000
2000-05-24,42.968700,44.437500,42.812500,44.000000,34.786507,498100
2000-05-25,43.937500,44.375000,42.750000,43.875000,34.687691,430500
2000-05-26,43.812500,45.750000,43.750000,44.937500,35.527691,536600
2000-05-30,45.375000,47.000000,45.000000,46.796799,36.997669,590700
2000-05-31,46.187500,47.562500,45.500000,46.625000,36.861839,646500
2000-06-01,46.562500,48.562500,46.250000,47.437500,37.504196,389300
2000-06-02,48.218700,49.562500,47.875000,48.312500,38.195972,330000
2000-06-05,48.625000,48.625000,46.250000,47.750000,37.751274,266700
2000-06-06,47.656200,47.656200,45.750000,46.375000,36.664185,413700
2000-06-07,46.000000,47.125000,45.625000,46.875000,37.059502,287500
2000-06-08,46.812500,46.812500,44.937500,45.125000,35.675926,98300
2000-06-09,45.125000,46.125000,45.125000,45.250000,35.774750,122100
2000-06-12,45.250000,46.312500,44.937500,46.187500,36.515953,173800
2000-06-13,45.718700,46.296799,45.500000,46.000000,36.367725,181200
2000-06-14,46.375000,46.437500,45.312500,45.437500,35.923019,139200
2000-06-15,45.687500,46.187500,44.250000,46.062500,36.417130,648400
2000-06-16,46.531200,46.593700,44.187500,45.000000,35.577110,1581400
2000-06-19,45.000000,48.562500,44.875000,47.125000,37.257137,459600
2000-06-20,47.437500,48.687500,46.562500,48.625000,38.443050,540600
2000-06-21,48.187500,48.250000,46.937500,47.562500,37.603020,365300
2000-06-22,47.406200,48.000000,47.125000,47.437500,37.504196,375700
2000-06-23,47.625000,47.875000,47.312500,47.687500,37.701855,147300
2000-06-26,47.500000,47.750000,47.250000,47.625000,37.652447,893500
2000-06-27,47.718700,47.750000,47.375000,47.500000,37.553616,359100
2000-06-28,47.625000,47.625000,47.187500,47.375000,37.454800,280200
2000-06-29,47.468700,47.500000,46.250000,46.312500,36.614773,374800
2000-06-30,46.593700,46.625000,45.625000,45.890598,36.281212,653100
2000-07-03,46.000000,47.500000,45.875000,47.500000,37.553616,200700
2000-07-05,47.500000,47.875000,46.562500,47.062500,37.207726,671300
2000-07-06,47.093700,47.125000,44.125000,46.750000,36.960659,673700
2000-07-07,46.531200,48.000000,46.500000,47.375000,37.454800,765600
2000-07-10,47.437500,47.812500,46.812500,47.375000,37.454800,132300
2000-07-11,47.000000,48.375000,47.000000,47.312500,37.405388,218100
2000-07-12,47.343700,48.250000,46.687500,46.687500,36.911251,262000
2000-07-13,47.062500,47.625000,46.312500,47.625000,37.652447,328700
2000-07-14,47.312500,47.875000,47.000000,47.750000,37.751274,205900
2000-07-17,47.875000,47.875000,45.687500,45.875000,36.268894,481700
2000-07-18,45.875000,46.000000,45.187500,46.000000,36.367725,387500
2000-07-19,46.031200,46.062500,45.312500,45.437500,35.923019,181200
2000-07-20,45.437500,47.125000,45.437500,46.562500,36.812431,392100
2000-07-21,46.187500,46.500000,45.312500,46.187500,36.515953,132300
2000-07-24,46.187500,46.250000,45.250000,45.687500,36.120644,67700
2000-07-25,45.500000,45.875000,45.187500,45.500000,35.972393,81800
2000-07-26,45.531200,45.562500,43.625000,44.000000,34.786507,136900
2000-07-27,44.125000,45.375000,43.937500,44.500000,35.181820,135200
2000-07-28,44.437500,44.625000,43.750000,43.875000,34.687691,145300
2000-07-31,44.125000,44.375000,43.500000,43.750000,34.588863,232200
2000-08-01,43.906200,43.937500,43.203098,43.562500,34.440617,342600
2000-08-02,43.687500,45.875000,43.687500,44.937500,35.527691,335100
2000-08-03,44.750000,46.375000,44.500000,45.750000,36.170067,471400
2000-08-04,46.000000,47.500000,45.875000,46.437500,36.713596,454800
2000-08-07,46.468700,46.500000,45.000000,45.500000,35.972393,343300
2000-08-08,45.625000,45.625000,44.687500,45.250000,35.774750,236900
2000-08-09,45.156200,45.156200,43.687500,44.000000,34.786507,406400
2000-08-10,44.375000,45.500000,44.375000,44.875000,35.640285,635400
2000-08-11,44.718700,45.250000,44.500000,45.093700,35.813976,364600
2000-08-14,44.875000,45.000000,43.937500,44.437500,35.292824,368900
2000-08-15,44.437500,44.500000,43.937500,44.000000,34.945354,483900
2000-08-16,44.125000,44.250000,43.000000,43.250000,34.349686,350300
2000-08-17,43.250000,44.125000,43.187500,43.875000,34.846092,248600
2000-08-18,43.781200,43.781200,43.375000,43.437500,34.498596,106700
2000-08-21,43.406200,43.406200,42.187500,42.375000,33.654755,190200
2000-08-22,42.593700,43.062500,42.250000,42.562500,33.803673,680600
2000-08-23,42.500000,42.562500,40.625000,41.062500,32.612343,1212200
2000-08-24,41.218700,42.625000,41.218700,42.562500,33.803673,552000
2000-08-25,42.500000,43.125000,42.312500,42.750000,33.952579,401600
2000-08-28,42.843700,42.937500,42.375000,42.375000,33.654755,206000
2000-08-29,42.562500,42.812500,42.000000,42.250000,33.555492,343900
2000-08-30,42.062500,43.250000,42.062500,43.125000,34.250420,338800
2000-08-31,43.062500,44.750000,43.000000,44.750000,35.541008,362600
2000-09-01,44.718700,44.812500,43.375000,43.687500,34.697155,298200
2000-09-05,43.875000,44.125000,43.375000,43.625000,34.647530,400500
2000-09-06,43.437500,44.250000,43.125000,43.750000,34.746796,355800
2000-09-07,44.312500,45.562500,43.750000,45.437500,36.087017,702300
2000-09-08,45.062500,46.375000,44.875000,45.750000,36.335224,903900
2000-09-11,45.562500,46.562500,45.500000,46.250000,36.732327,690800
2000-09-12,46.343700,46.562500,45.812500,46.125000,36.633064,292800
2000-09-13,46.000000,47.000000,45.625000,46.000000,36.533775,985800
2000-09-14,46.187500,46.812500,45.687500,45.750000,36.335224,779400
2000-09-15,45.812500,46.187500,45.625000,46.000000,36.533775,919900
2000-09-18,45.937500,46.250000,44.500000,44.750000,35.541008,500900
2000-09-19,44.906200,45.562500,44.875000,45.000000,35.739555,471100
2000-09-20,45.562500,46.062500,44.687500,44.875000,35.640285,644100
2000-09-21,45.000000,45.187500,44.000000,44.250000,35.143921,193700
2000-09-22,43.968700,44.812500,43.375000,44.812500,35.590645,314100
2000-09-25,44.937500,47.000000,44.750000,45.875000,36.434498,900200
2000-09-26,45.750000,47.312500,45.750000,47.171799,37.464420,543500
2000-09-27,47.312500,49.500000,46.687500,49.437500,39.263874,744300
2000-09-28,49.375000,52.250000,49.125000,51.750000,41.100498,1814000
2000-09-29,51.125000,51.625000,50.000000,51.140598,40.616501,711100
2000-10-02,51.281200,52.375000,50.937500,51.375000,40.802673,465100
2000-10-03,51.125000,53.000000,51.000000,52.937500,42.043636,682600
2000-10-04,52.812500,53.000000,52.000000,53.000000,42.093258,627500
2000-10-05,52.937500,53.500000,52.750000,53.312500,42.341446,774800
2000-10-06,53.437500,53.500000,51.187500,53.125000,42.192558,878500
2000-10-09,53.250000,53.250000,51.375000,52.687500,41.845074,460100
2000-10-10,52.609299,52.625000,50.875000,51.437500,40.852295,570500
2000-10-11,51.000000,51.296799,46.500000,48.375000,38.420036,704900
2000-10-12,48.187500,48.500000,45.437500,46.812500,37.179081,618800
2000-10-13,46.625000,50.375000,46.312500,49.562500,39.363159,463800
2000-10-16,49.375000,51.062500,49.125000,50.750000,40.306282,304700
2000-10-17,50.781200,51.250000,49.937500,50.625000,40.207016,669700
2000-10-18,48.312500,50.500000,47.515598,48.875000,38.817142,605200
2000-10-19,49.750000,50.562500,49.562500,49.937500,39.660999,284200
2000-10-20,49.656200,51.000000,49.625000,50.562500,40.157364,992600
2000-10-23,50.562500,50.875000,50.375000,50.562500,40.157364,481500
2000-10-24,50.750000,52.500000,50.687500,52.000000,41.299038,450100
2000-10-25,51.437500,53.687500,51.437500,52.312500,41.547237,557900
2000-10-26,52.312500,53.875000,50.625000,53.500000,42.490360,481900
2000-10-27,53.562500,54.937500,53.437500,54.562500,43.334221,753300
2000-10-30,54.296799,56.937500,54.250000,56.687500,45.021912,616700
2000-10-31,56.625000,57.687500,55.875000,57.437500,45.617580,900000
2000-11-01,57.515598,57.562500,54.500000,56.062500,44.525532,373700
2000-11-02,56.125000,57.375000,56.000000,57.000000,45.270107,335500
2000-11-03,56.750000,57.500000,56.062500,57.437500,45.617580,334100
2000-11-06,57.500000,58.250000,56.390598,57.875000,45.965031,360900
2000-11-07,57.656200,58.000000,56.671799,57.375000,45.567940,342300
2000-11-08,57.250000,58.000000,56.375000,57.750000,45.865772,536800
2000-11-09,57.437500,58.562500,56.875000,56.875000,45.170849,472200
2000-11-10,57.109299,57.437500,55.875000,56.000000,44.475914,433400
2000-11-13,55.937500,55.937500,53.250000,55.062500,43.888081,567800
2000-11-14,54.968700,55.937500,54.250000,54.375000,43.340092,272100
2000-11-15,54.312500,54.500000,52.375000,54.000000,43.041187,415600
2000-11-16,53.406200,54.000000,52.625000,53.187500,42.393585,230300
2000-11-17,53.875000,53.937500,51.875000,52.937500,42.194321,284100
2000-11-20,52.984299,53.062500,50.250000,52.000000,41.447075,456100
2000-11-21,51.734299,54.562500,51.375000,53.875000,42.941563,475000
2000-11-22,53.562500,53.625000,52.625000,53.312500,42.493221,349200
2000-11-24,53.312500,53.750000,53.000000,53.250000,42.443417,79500
2000-11-27,54.000000,54.875000,53.687500,54.000000,43.041187,216500
2000-11-28,52.375000,54.000000,52.375000,53.687500,42.792099,570400
2000-11-29,53.875000,55.625000,53.375000,55.500000,44.236782,401900
2000-11-30,55.531200,56.312500,53.375000,54.625000,43.539360,726800
2000-12-01,54.562500,55.750000,54.500000,55.625000,44.336418,405300
2000-12-04,55.406200,55.562500,53.687500,55.125000,43.937881,277300
2000-12-05,55.812500,60.000000,55.312500,58.437500,46.578156,592400
2000-12-06,58.437500,60.000000,57.125000,57.687500,45.980362,539600
2000-12-07,58.000000,59.437500,57.937500,59.109299,47.113617,453600
2000-12-08,59.000000,61.000000,59.000000,60.750000,48.421349,493200
2000-12-11,60.062500,62.875000,59.375000,62.750000,50.015465,741200
2000-12-12,62.562500,62.625000,60.062500,60.062500,47.873348,465800
2000-12-13,60.281200,60.625000,58.687500,59.500000,47.425022,366600
2000-12-14,58.875000,59.187500,57.250000,58.156200,46.353928,448300
2000-12-15,56.500000,57.500000,55.812500,57.000000,45.432373,1019300
2000-12-18,57.250000,58.500000,57.000000,58.375000,46.528336,1185700
2000-12-19,58.250000,58.500000,56.562500,57.125000,45.531990,582000
2000-12-20,56.687500,57.375000,56.375000,57.187500,45.581814,444000
2000-12-21,56.718700,59.125000,56.687500,58.250000,46.428692,455400
2000-12-22,58.218700,62.250000,58.218700,61.750000,49.218399,1029700
2000-12-26,61.187500,61.687500,60.437500,61.500000,49.019138,126200
2000-12-27,61.062500,61.625000,60.500000,61.625000,49.118771,157900
2000-12-28,61.468700,62.500000,61.437500,62.062500,49.467495,381300
2000-12-29,61.625000,62.500000,61.250000,62.437500,49.766380,553600
2001-01-02,61.781200,62.000000,59.250000,59.937500,47.773739,428000
2001-01-03,59.437500,62.000000,58.625000,61.937500,49.367859,494100
2001-01-04,61.687500,64.000000,60.000000,60.687500,48.371529,747400
2001-01-05,60.750000,60.875000,58.000000,60.000000,47.823563,1019700
2001-01-08,59.656200,60.125000,59.000000,60.125000,47.923183,433200
2001-01-09,60.000000,60.375000,58.812500,59.500000,47.425022,581000
2001-01-10,59.375000,61.000000,59.062500,60.750000,48.421349,404700
2001-01-11,60.625000,60.875000,59.687500,60.375000,48.122452,486900
