Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.898438,6.984375,6.898438,6.976563,6.170747,1843200
2000-01-03,6.921875,6.976563,6.882813,6.945313,6.143106,5770400
2000-01-04,6.875000,6.882813,6.796875,6.828125,6.039453,13493600
2000-01-05,6.820313,6.921875,6.781250,6.781250,5.997991,6755200
2000-01-06,6.781250,6.835938,6.718750,6.789063,6.004903,17097600
2000-01-07,6.781250,7.273438,6.781250,7.234375,6.398780,18564000
2000-01-10,7.093750,7.117188,7.039063,7.101563,6.281309,11008000
2000-01-11,7.101563,7.328125,7.046875,7.109375,6.288219,10101600
2000-01-12,7.187500,7.289063,7.078125,7.085938,6.267487,5215200
2000-01-13,7.117188,7.250000,7.039063,7.164063,6.336589,6489600
2000-01-14,7.164063,7.179688,7.007813,7.031250,6.219116,7208000
2000-01-18,6.968750,7.109375,6.937500,7.031250,6.219116,6100000
2000-01-19,7.015625,7.117188,6.992188,7.000000,6.191476,5058400
2000-01-20,7.015625,7.031250,6.953125,6.953125,6.150016,5505600
2000-01-21,7.000000,7.000000,6.929688,6.960938,6.156926,6024800
2000-01-24,7.000000,7.000000,6.906250,6.921875,6.122375,6185600
2000-01-25,6.953125,6.953125,6.890625,6.914063,6.115466,7375200
2000-01-26,6.921875,6.937500,6.875000,6.906250,6.130720,4810400
2000-01-27,6.968750,6.992188,6.656250,6.695313,5.943471,5179200
2000-01-28,6.710938,6.765625,6.656250,6.687500,5.936536,4490400
2000-01-31,6.656250,6.687500,6.625000,6.656250,5.908795,3978400
2000-02-01,6.859375,7.234375,6.820313,7.078125,6.283297,14019200
2000-02-02,7.062500,7.093750,6.843750,6.921875,6.144594,8821600
2000-02-03,6.953125,6.984375,6.890625,6.968750,6.186204,5902400
2000-02-04,6.937500,7.062500,6.906250,7.000000,6.213945,3845600
2000-02-07,6.968750,7.140625,6.921875,6.968750,6.186204,5784000
2000-02-08,6.125000,6.234375,5.718750,5.750000,5.104310,40354400
2000-02-09,5.718750,5.718750,5.125000,5.312500,4.715940,32541600
2000-02-10,5.257813,5.304688,4.929688,5.031250,4.466272,32974400
2000-02-11,5.062500,5.148438,4.968750,5.000000,4.438531,15027200
2000-02-14,5.000000,5.117188,4.851563,4.875000,4.327569,12987200
2000-02-15,4.906250,5.031250,4.820313,5.000000,4.438531,10900000
2000-02-16,5.023438,5.351563,5.007813,5.171875,4.591107,10563200
2000-02-17,5.140625,5.234375,5.015625,5.039063,4.473208,6324800
2000-02-18,4.976563,5.015625,4.812500,4.835938,4.292893,6916000
2000-02-22,4.835938,4.968750,4.820313,4.906250,4.355311,5016000
2000-02-23,4.859375,5.093750,4.812500,5.031250,4.466272,9962400
2000-02-24,5.062500,5.140625,4.867188,5.070313,4.500948,12272800
2000-02-25,5.171875,5.375000,4.914063,5.140625,4.563366,26804800
2000-02-28,5.109375,5.156250,4.875000,4.937500,4.383051,13607200
2000-02-29,5.250000,5.250000,4.968750,5.140625,4.563366,11625600
2000-03-01,5.226563,6.875000,5.156250,6.625000,5.881054,31341600
2000-03-02,7.250000,7.734375,6.914063,6.976563,6.193139,54920800
2000-03-03,7.125000,7.218750,6.656250,6.679688,5.929603,20495200
2000-03-06,6.687500,6.687500,6.375000,6.437500,5.714609,8241600
2000-03-07,6.437500,6.492188,6.250000,6.398438,5.679935,10668000
2000-03-08,6.382813,6.875000,6.312500,6.765625,6.005888,8802400
2000-03-09,6.875000,7.226563,6.789063,7.125000,6.324908,17109600
2000-03-10,7.125000,7.335938,6.843750,7.000000,6.213945,13265600
2000-03-13,6.156250,6.539063,5.875000,6.343750,5.631387,21984800
2000-03-14,6.375000,6.734375,6.250000,6.398438,5.679935,18509600
2000-03-15,6.437500,6.484375,6.171875,6.375000,5.659127,10189600
2000-03-16,6.390625,6.703125,6.359375,6.703125,5.950408,7257600
2000-03-17,6.703125,7.031250,6.609375,6.750000,5.992020,12300000
2000-03-20,6.781250,6.804688,6.562500,6.648438,5.901861,4586400
2000-03-21,6.648438,6.648438,6.398438,6.492188,5.763156,9512800
2000-03-22,6.515625,6.734375,6.468750,6.703125,5.950408,4827200
2000-03-23,6.625000,6.898438,6.570313,6.882813,6.109917,7561600
2000-03-24,6.781250,7.125000,6.765625,7.125000,6.324908,7455200
2000-03-27,7.125000,7.125000,6.765625,6.953125,6.172332,7376000
2000-03-28,6.812500,7.046875,6.757813,6.968750,6.186204,5700800
2000-03-29,6.875000,6.937500,6.625000,6.687500,5.936536,5367200
2000-03-30,6.640625,6.742188,6.531250,6.625000,5.881054,8035200
2000-03-31,6.750000,6.992188,6.750000,6.937500,6.158463,9004800
2000-04-03,6.968750,7.226563,6.945313,7.109375,6.311038,9414400
2000-04-04,7.093750,7.210938,6.640625,7.070313,6.276361,13502400
2000-04-05,6.953125,7.242188,6.765625,7.117188,6.317973,7649600
2000-04-06,7.093750,7.281250,6.921875,7.093750,6.297166,7037600
2000-04-07,7.093750,7.171875,6.898438,7.093750,6.297166,9920000
2000-04-10,7.062500,7.375000,7.007813,7.257813,6.442807,7192000
2000-04-11,7.257813,7.500000,7.218750,7.281250,6.463612,11752000
2000-04-12,7.250000,7.367188,7.062500,7.101563,6.304102,8936800
2000-04-13,7.132813,7.234375,6.953125,7.156250,6.352647,5637600
2000-04-14,7.156250,7.156250,6.531250,6.687500,5.936536,8185600
2000-04-17,6.656250,6.718750,6.437500,6.531250,5.797832,4593600
2000-04-18,6.531250,6.656250,6.460938,6.617188,5.874119,3340800
2000-04-19,6.593750,6.796875,6.562500,6.656250,5.908795,3493600
2000-04-20,6.632813,6.898438,6.625000,6.796875,6.033629,6368000
2000-04-24,6.703125,7.062500,6.679688,7.015625,6.227813,4148800
2000-04-25,7.046875,7.234375,6.835938,6.921875,6.144594,6122400
2000-04-26,7.000000,7.085938,6.859375,6.898438,6.145983,4804800
2000-04-27,7.062500,7.492188,6.937500,7.492188,6.674970,14047200
2000-04-28,7.375000,7.437500,7.031250,7.234375,6.445279,10364800
2000-05-01,7.062500,7.296875,6.914063,7.250000,6.459201,7491200
2000-05-02,7.289063,7.328125,7.046875,7.132813,6.354795,5574400
2000-05-03,7.156250,7.156250,6.929688,6.968750,6.208628,4330400
2000-05-04,7.000000,7.023438,6.929688,6.953125,6.194707,3128000
2000-05-05,6.953125,7.093750,6.953125,7.046875,6.278231,1920000
2000-05-08,7.039063,7.296875,7.039063,7.250000,6.459201,6570400
2000-05-09,7.250000,7.335938,7.250000,7.304688,6.507923,6975200
2000-05-10,7.375000,7.453125,7.273438,7.304688,6.507923,5901600
2000-05-11,7.328125,7.335938,7.195313,7.234375,6.445279,2066400
2000-05-12,7.187500,7.375000,7.187500,7.343750,6.542724,3048000
2000-05-15,7.343750,7.742188,7.312500,7.570313,6.744573,11748800
2000-05-16,7.625000,7.679688,7.414063,7.445313,6.633210,6266400
2000-05-17,7.382813,7.492188,7.257813,7.335938,6.535765,3632800
2000-05-18,7.351563,7.421875,7.335938,7.375000,6.570565,4862400
2000-05-19,7.296875,7.710938,7.289063,7.710938,6.869860,9336000
2000-05-22,7.781250,8.359375,7.718750,8.281250,7.377967,18458400
2000-05-23,8.273438,8.320313,7.984375,8.031250,7.155234,9775200
2000-05-24,8.140625,8.328125,7.953125,8.062500,7.183077,8581600
2000-05-25,8.070313,8.156250,7.984375,8.125000,7.238759,7384000
2000-05-26,8.156250,8.250000,8.000000,8.007813,7.134355,5619200
2000-05-30,8.039063,8.250000,7.796875,7.835938,6.981225,11553600
2000-05-31,7.804688,8.625000,7.718750,8.343750,7.433649,23416800
2000-06-01,8.687500,8.742188,8.507813,8.570313,7.635499,10478400
2000-06-02,8.437500,8.687500,8.414063,8.617188,7.677261,13075200
2000-06-05,8.500000,8.640625,8.250000,8.289063,7.384925,5834400
2000-06-06,8.312500,8.531250,8.312500,8.515625,7.586775,8495200
2000-06-07,8.484375,8.484375,8.312500,8.437500,7.517170,7046400
2000-06-08,8.437500,8.437500,8.125000,8.250000,7.350126,4220800
2000-06-09,8.437500,8.460938,8.359375,8.421875,7.503253,2836800
2000-06-12,8.671875,9.203125,8.656250,9.195313,8.192328,20341600
2000-06-13,9.203125,9.210938,8.906250,8.984375,8.004398,9996000
2000-06-14,8.992188,9.140625,8.984375,9.078125,8.087920,4309600
2000-06-15,9.046875,9.195313,9.007813,9.171875,8.171447,3928800
2000-06-16,9.031250,9.109375,8.531250,8.687500,7.739902,13109600
2000-06-19,8.343750,8.593750,8.156250,8.492188,7.565895,13356000
2000-06-20,8.500000,8.609375,8.500000,8.546875,7.614615,5168000
2000-06-21,8.554688,8.554688,8.375000,8.429688,7.510211,5843200
2000-06-22,8.359375,8.367188,8.125000,8.273438,7.371006,5752000
2000-06-23,8.250000,8.406250,8.195313,8.210938,7.315322,3349600
2000-06-26,8.218750,8.242188,7.750000,8.015625,7.141315,5688800
2000-06-27,8.015625,8.109375,7.710938,7.890625,7.029948,6176800
2000-06-28,7.890625,8.000000,7.578125,7.873037,7.014280,7937600
2000-06-29,7.875000,8.125000,7.750000,8.070313,7.190035,5418400
2000-06-30,8.078125,8.289063,8.021475,8.023438,7.148275,6514400
2000-07-03,7.992188,8.148438,7.765625,8.148438,7.259639,1632000
2000-07-05,8.125000,8.437500,8.117188,8.164063,7.273561,2925600
2000-07-06,8.359375,8.429688,8.195313,8.351563,7.440609,6663200
2000-07-07,8.421875,8.601563,8.359375,8.476563,7.551976,4669600
2000-07-10,8.429688,8.531250,8.351563,8.476563,7.551976,3978400
2000-07-11,8.468750,8.796875,8.429688,8.742188,7.788625,5147200
2000-07-12,8.843750,8.843750,8.718750,8.812500,7.851270,6373600
2000-07-13,8.937500,9.000000,8.640625,8.687500,7.739902,8128800
2000-07-14,8.750000,8.937500,8.664063,8.890625,7.920873,6455200
2000-07-17,8.890625,8.890625,8.257813,8.328125,7.419728,14168800
2000-07-18,7.328125,7.476563,7.101563,7.460938,6.647130,42586400
2000-07-19,7.375000,7.460938,7.085938,7.375000,6.570565,19193600
2000-07-20,7.375000,7.562500,7.156250,7.382813,6.577527,31739200
2000-07-21,7.390625,7.390625,7.000000,7.156250,6.375674,15340800
2000-07-24,7.062500,7.179688,6.882813,6.914063,6.159904,13829600
2000-07-25,7.031250,7.031250,6.882813,6.898438,6.145983,6287200
2000-07-26,6.875000,6.937500,6.750000,6.859375,6.133411,10597600
2000-07-27,6.859375,6.984375,6.765625,6.921875,6.189296,5317600
2000-07-28,6.906250,6.953125,6.843750,6.929688,6.196280,4697600
2000-07-31,6.953125,7.093750,6.882813,6.937500,6.203267,4522400
2000-08-01,6.968750,7.132813,6.898438,7.109375,6.356952,3344000
2000-08-02,7.078125,7.242188,6.960938,7.164063,6.405851,4400800
2000-08-03,7.031250,7.289063,7.015625,7.289063,6.517622,7037600
2000-08-04,7.218750,7.484375,7.078125,7.437500,6.650348,10500000
2000-08-07,7.437500,7.539063,7.390625,7.421875,6.636378,5542400
2000-08-08,7.421875,7.476563,7.289063,7.289063,6.517622,4051200
2000-08-09,7.328125,7.375000,7.203125,7.328125,6.552551,2556800
2000-08-10,7.250000,7.289063,7.085938,7.156250,6.398867,4824000
2000-08-11,7.179688,7.335938,7.164063,7.289063,6.517622,8087200
2000-08-14,7.289063,7.398438,7.218750,7.382813,6.601450,3485600
2000-08-15,7.351563,7.351563,7.203125,7.203125,6.440779,2871200
2000-08-16,7.203125,7.359375,7.203125,7.289063,6.517622,2323200
2000-08-17,7.312500,7.312500,7.226563,7.234375,6.468723,2624000
2000-08-18,7.203125,7.250000,7.031250,7.117188,6.363938,3761600
2000-08-21,7.093750,7.273438,7.070313,7.203125,6.440779,4217600
2000-08-22,7.210938,7.250000,7.156250,7.195313,6.433794,1904800
2000-08-23,7.187500,7.226563,7.039063,7.070313,6.322024,2430400
2000-08-24,7.000000,7.007813,6.906250,6.906250,6.175324,6764800
2000-08-25,6.875000,6.984375,6.851563,6.937500,6.203267,4435200
2000-08-28,6.921875,7.039063,6.890625,7.015625,6.273123,3944000
2000-08-29,7.015625,7.093750,6.976563,7.070313,6.322024,4332000
2000-08-30,7.015625,7.054688,6.968750,6.992188,6.252166,3149600
2000-08-31,7.000000,7.093750,6.992188,6.994137,6.253911,4376000
2000-09-01,7.015625,7.015625,6.875000,6.976563,6.238195,3103200
2000-09-05,6.953125,6.953125,6.812500,6.921875,6.189296,11106400
2000-09-06,6.906250,6.992188,6.859375,6.937500,6.203267,12631200
2000-09-07,6.945313,6.945313,6.742188,6.789063,6.070539,6401600
2000-09-08,6.820313,6.820313,6.718750,6.757813,6.042595,7668800
2000-09-11,6.742188,6.750000,6.695313,6.703125,5.993697,4392800
2000-09-12,6.734375,6.742188,6.710938,6.718750,6.007669,4374400
2000-09-13,6.734375,6.789063,6.734375,6.757813,6.042595,5397600
2000-09-14,6.781250,6.960938,6.765625,6.898438,6.168338,5420000
2000-09-15,6.875000,6.945313,6.812500,6.835938,6.112454,4702400
2000-09-18,6.859375,6.875000,6.695313,6.695313,5.986713,6243200
2000-09-19,6.703125,6.843750,6.656250,6.828125,6.105466,3569600
2000-09-20,6.796875,6.875000,6.726563,6.835938,6.112454,2870400
2000-09-21,6.835938,7.054688,6.835938,7.015625,6.273123,6841600
2000-09-22,7.093750,7.367188,7.078125,7.250000,6.482693,10824000
2000-09-25,7.257813,7.257813,7.101563,7.132813,6.377909,4837600
2000-09-26,7.062500,7.117188,6.960938,6.992188,6.252166,3669600
2000-09-27,7.000000,7.062500,6.953125,7.000000,6.259153,6916000
2000-09-28,6.984375,7.218750,6.984375,7.101563,6.349965,9516000
2000-09-29,7.156250,7.273438,7.109375,7.257813,6.489678,6584800
2000-10-02,7.164063,7.484375,7.125000,7.476563,6.685278,5257600
2000-10-03,7.562500,7.687500,7.421875,7.453125,6.664321,8495200
2000-10-04,7.445313,7.609375,7.421875,7.593750,6.790062,9844000
2000-10-05,7.609375,7.757813,7.585938,7.757813,6.936761,7581600
2000-10-06,7.726563,7.796875,7.515625,7.578125,6.776090,7772000
2000-10-09,7.546875,7.617188,7.500000,7.617188,6.811019,5420800
2000-10-10,7.664063,7.726563,7.484375,7.546875,6.748147,5033600
2000-10-11,7.375000,7.382813,7.148438,7.257813,6.489678,8309600
2000-10-12,7.312500,7.312500,6.890625,6.953125,6.217238,9713600
2000-10-13,7.031250,7.140625,6.976563,7.085938,6.335994,4621600
2000-10-16,7.109375,7.421875,7.101563,7.343750,6.566521,5264800
2000-10-17,7.375000,7.445313,7.335938,7.367188,6.587478,5468000
2000-10-18,7.328125,7.437500,7.203125,7.375000,6.594463,4240000
2000-10-19,7.406250,7.531250,7.406250,7.492188,6.699249,4228000
2000-10-20,7.500000,7.640625,7.460938,7.492188,6.699249,6056000
2000-10-23,7.468750,7.476563,7.164063,7.242188,6.475708,7265600
2000-10-24,7.242188,7.429688,7.187500,7.382813,6.601450,5072800
2000-10-25,7.265625,7.304688,7.171875,7.242188,6.497711,5847200
2000-10-26,7.343750,7.515625,7.312500,7.414063,6.651917,7293600
2000-10-27,7.531250,7.789063,6.968750,7.101563,6.371542,17006400
2000-10-30,7.125000,7.382813,7.070313,7.117188,6.385560,9832800
2000-10-31,7.125000,7.289063,7.125000,7.226563,6.483690,5676000
2000-11-01,7.062500,7.937500,6.875000,7.843750,7.037434,30545600
2000-11-02,7.898438,8.054688,7.703125,7.968750,7.149585,19569600
2000-11-03,7.968750,7.968750,7.695313,7.906250,7.093510,4649600
2000-11-06,7.953125,8.054688,7.812500,8.046875,7.219679,7768800
2000-11-07,8.046875,8.093750,7.898438,8.007813,7.184631,3828800
2000-11-08,7.937500,8.164063,7.875000,7.929688,7.114538,4935200
2000-11-09,8.007813,8.054688,7.710938,8.000000,7.177622,6304800
2000-11-10,8.023438,8.078125,7.921875,7.960938,7.142576,5644800
2000-11-13,7.968750,7.992188,7.804688,7.835938,7.030425,7538400
2000-11-14,7.789063,8.070313,7.789063,8.007813,7.184631,11291200
2000-11-15,8.054688,8.296875,8.046875,8.257813,7.408931,8650400
2000-11-16,8.218750,8.429688,8.187500,8.265625,7.415942,6610400
2000-11-17,8.296875,8.437500,8.117188,8.265625,7.415942,5746400
2000-11-20,8.046875,8.093750,7.875000,7.953125,7.135566,8379200
2000-11-21,7.945313,8.039063,7.820313,7.843750,7.037434,4198400
2000-11-22,7.812500,7.875000,7.554688,7.710938,6.918273,3582400
2000-11-24,7.679688,7.984375,7.664063,7.937500,7.121547,1245600
2000-11-27,7.953125,8.109375,7.851563,8.007813,7.184631,6530400
2000-11-28,8.039063,8.359375,7.992188,8.304688,7.450988,5682400
2000-11-29,8.265625,8.429688,8.265625,8.390625,7.528093,7696800
2000-11-30,8.375000,8.585938,8.343750,8.414063,7.549123,6670400
2000-12-01,8.421875,8.570313,8.351563,8.414063,7.549123,4807200
2000-12-04,8.445313,8.515625,8.351563,8.421875,7.556129,4607200
2000-12-05,8.460938,8.593750,8.460938,8.570313,7.689309,4184800
2000-12-06,8.578125,8.750000,8.500000,8.656250,7.766411,7487200
2000-12-07,8.656250,8.718750,8.523438,8.679688,7.787439,4667200
2000-12-08,8.648438,8.656250,8.484375,8.562500,7.682301,5291200
2000-12-11,8.531250,8.578125,8.460938,8.492188,7.619216,4365600
2000-12-12,8.562500,8.617188,8.492188,8.515625,7.640242,5257600
2000-12-13,8.515625,8.687500,8.484375,8.515625,7.640242,6993600
2000-12-14,8.609375,8.609375,8.609375,8.609375,7.724356,0
2000-12-15,8.718750,8.718750,8.234375,8.250000,7.401923,4398000
2000-12-18,8.375000,9.843750,8.375000,9.203125,8.257071,10353200
2000-12-19,9.125000,9.187500,8.750000,8.750000,7.850526,7015600
2000-12-20,8.687500,9.046875,8.437500,8.812500,7.906603,7476400
2000-12-21,9.031250,9.109375,8.718750,8.765625,7.864542,8647600
2000-12-22,8.921875,9.359375,8.875000,9.093750,8.158939,4051600
2000-12-26,9.125000,9.656250,9.125000,9.500000,8.523426,2427600
2000-12-27,9.390625,10.468750,9.390625,10.281250,9.224367,3007200
2000-12-28,10.171875,10.312500,9.968750,10.234375,9.182309,2075600
2000-12-29,10.046875,10.593750,10.046875,10.265625,9.210350,2970800
2001-01-02,10.390625,10.562500,10.015625,10.140625,9.098197,4068000
2001-01-03,10.078125,10.671875,10.062500,10.375000,9.308481,3610800
2001-01-04,10.437500,10.531250,9.265625,9.781250,8.775763,5532000
2001-01-05,9.500000,9.828125,9.218750,9.578125,8.593520,4714000
2001-01-08,9.625000,9.687500,9.421875,9.500000,8.523426,2510800
2001-01-09,9.281250,9.578125,9.187500,9.421875,8.453332,3337600
2001-01-10,9.437500,9.671875,9.296875,9.500000,8.523426,2371600
2001-01-11,9.375000,9.562500,8.843750,8.968750,8.046787,3643200
2001-01-12,8.781250,9.343750,8.781250,9.234375,8.285106,2619200
2001-01-16,9.234375,9.703125,9.218750,9.640625,8.649594,2391200
2001-01-17,9.796875,9.859375,9.125000,9.187500,8.243050,3386400
2001-01-18,9.187500,9.187500,8.843750,8.984375,8.060808,2545200
2001-01-19,8.968750,9.078125,8.875000,8.890625,7.976694,1903600
2001-01-22,8.953125,9.343750,8.875000,9.281250,8.327163,2077200
2001-01-23,9.156250,9.953125,9.156250,9.687500,8.691653,2852400
2001-01-24,9.734375,9.937500,9.437500,9.921875,8.901931,1988000
2001-01-25,9.968750,9.968750,9.593750,9.734375,8.733708,1692400
2001-01-26,9.593750,9.796875,9.453125,9.796875,8.789783,2576800
2001-01-29,9.750000,10.000000,9.725000,10.000000,8.972028,3757600
2001-01-30,9.875000,9.877500,9.512500,9.737500,8.736512,4893600
2001-01-31,9.625000,9.737500,9.150000,9.557500,8.575015,5220800
2001-02-01,9.337500,9.612500,9.295000,9.375000,8.411274,2104000
2001-02-02,9.325000,9.912500,9.325000,9.645000,8.653522,2710400
2001-02-05,9.750000,9.927500,9.650000,9.750000,8.747727,4001200
2001-02-06,9.850000,9.935000,9.375000,9.437500,8.467350,2200000
2001-02-07,9.575000,9.750000,9.252500,9.370000,8.406789,2530800
2001-02-08,9.350000,9.450000,9.147500,9.290000,8.335014,3603200
