Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.812500,8.843750,8.671875,8.781250,8.144507,660800
2000-01-03,8.875000,9.000000,8.750000,8.750000,8.115524,900400
2000-01-04,8.796875,8.843750,8.625000,8.640625,8.014080,892000
2000-01-05,8.703125,8.750000,8.515625,8.687500,8.057555,1016800
2000-01-06,8.687500,8.765625,8.531250,8.695300,8.064790,1045200
2000-01-07,8.765625,9.078125,8.687500,9.015625,8.361889,1304800
2000-01-10,9.078125,9.218750,8.812500,8.859375,8.216969,1474800
2000-01-11,8.968750,9.109375,8.859375,8.859375,8.216969,1962800
2000-01-12,8.921875,9.000000,8.593750,8.609375,7.985096,1040400
2000-01-13,8.515625,8.703125,8.468750,8.593750,7.970602,1389600
2000-01-14,8.625000,8.703125,8.500000,8.546875,7.927126,1209200
2000-01-18,8.578125,8.609375,8.531250,8.531250,7.912635,765600
2000-01-19,8.515625,8.562500,8.312500,8.328125,7.724238,941200
2000-01-20,8.343750,8.421875,8.078125,8.125000,7.535843,1241600
2000-01-21,8.000000,8.140625,7.796875,7.953125,7.376431,1471600
2000-01-24,7.968750,8.000000,7.531250,7.531250,6.985147,1567200
2000-01-25,7.593750,7.734375,7.578125,7.625000,7.072100,938000
2000-01-26,7.625000,8.187500,7.578125,8.062500,7.477876,1780000
2000-01-27,8.093750,8.093750,7.937500,7.968750,7.390923,959200
2000-01-28,8.015625,8.218750,8.000000,8.156250,7.564828,824000
2000-01-31,8.125000,8.171875,7.968750,7.968750,7.390923,1047200
2000-02-01,7.468750,8.171875,7.375000,7.937500,7.361939,3467600
2000-02-02,7.906250,8.031250,7.734375,7.953125,7.376431,1629600
2000-02-03,7.843750,7.890625,7.718750,7.781250,7.217020,1693200
2000-02-04,7.765625,7.796875,7.671875,7.671875,7.115575,942400
2000-02-07,7.609375,7.750000,7.546875,7.593750,7.043116,1138800
2000-02-08,7.593750,7.593750,7.453125,7.515625,6.970655,1420400
2000-02-09,7.500000,7.500000,7.390625,7.390625,6.854719,782800
2000-02-10,7.484375,7.546875,7.296875,7.453125,6.912687,1642800
2000-02-11,7.406250,7.453125,7.296875,7.296875,6.767767,482400
2000-02-14,7.281250,7.296875,6.765625,6.828125,6.333006,1692000
2000-02-15,6.875000,7.000000,6.750000,6.921875,6.419959,1457200
2000-02-16,6.921875,7.046875,6.859375,6.953125,6.448943,1769200
2000-02-17,6.984375,7.140625,6.953125,7.093750,6.579370,1376800
2000-02-18,7.140625,7.171875,6.937500,7.031250,6.521403,898000
2000-02-22,7.031250,7.031250,6.812500,6.859375,6.361990,1195200
2000-02-23,6.890625,6.890625,6.765625,6.781250,6.289532,1871600
2000-02-24,6.796875,6.828125,6.656250,6.812500,6.318515,713200
2000-02-25,6.750000,6.765625,6.625000,6.656250,6.173595,616000
2000-02-28,6.625000,6.890625,6.625000,6.765625,6.275039,621600
2000-02-29,6.828125,6.828125,6.531250,6.625000,6.144610,987600
2000-03-01,6.687500,6.843750,6.656250,6.671875,6.188087,907200
2000-03-02,6.640625,6.671875,6.500000,6.531250,6.057658,638800
2000-03-03,6.546875,6.828125,6.468750,6.796875,6.304023,1117600
2000-03-06,6.734375,6.750000,6.406250,6.515625,6.043167,1013200
2000-03-07,6.546875,6.546875,6.312500,6.375000,5.912738,880000
2000-03-08,6.437500,6.750000,6.437500,6.687500,6.202579,1961600
2000-03-09,6.562500,6.781250,6.375000,6.500000,6.028675,1833200
2000-03-10,6.593750,6.859375,6.546875,6.718750,6.231563,888400
2000-03-13,6.718750,6.812500,6.500000,6.765625,6.275039,730400
2000-03-14,6.781250,6.843750,6.406250,6.484375,6.014183,1840400
2000-03-15,6.531250,7.578125,6.531250,7.515625,6.970655,2609600
2000-03-16,7.578125,8.312500,7.468750,8.125000,7.535843,2004800
2000-03-17,8.062500,8.156250,7.609375,7.671875,7.115575,1437600
2000-03-20,7.250000,7.656250,7.218750,7.500000,6.956163,2272000
2000-03-21,7.500000,8.046875,7.468750,7.906250,7.332955,1236400
2000-03-22,7.921875,7.921875,7.218750,7.234375,6.709799,3377200
2000-03-23,7.234375,7.593750,7.140625,7.593750,7.043116,1602000
2000-03-24,7.546875,7.765625,7.250000,7.265625,6.738783,2410000
2000-03-27,7.281250,7.453125,7.171875,7.234375,6.709799,701600
2000-03-28,7.281250,7.500000,7.281250,7.437500,6.898195,1496800
2000-03-29,7.468750,7.609375,7.250000,7.312500,6.782259,1274800
2000-03-30,7.375000,7.375000,7.187500,7.203125,6.680816,1140000
2000-03-31,7.187500,7.546875,7.171875,7.515625,6.970655,1852000
2000-04-03,7.500000,7.531250,7.187500,7.250000,6.724291,1118800
2000-04-04,7.312500,7.453125,7.015625,7.250000,6.724291,1284000
2000-04-05,7.265625,7.875000,7.250000,7.750000,7.188036,1430000
2000-04-06,7.718750,7.843750,7.687500,7.718750,7.159052,573200
2000-04-07,7.656250,7.734375,7.406250,7.484375,6.941671,562800
2000-04-10,7.500000,7.687500,7.500000,7.593750,7.043116,758800
2000-04-11,7.656250,7.875000,7.625000,7.843750,7.274987,862400
2000-04-12,7.906250,7.968750,7.750000,7.843750,7.274987,886000
2000-04-13,7.906250,7.906250,7.781250,7.796875,7.231512,1628400
2000-04-14,7.750000,7.765625,7.234375,7.406250,6.869211,1247600
2000-04-17,7.312500,7.359375,7.125000,7.234375,6.709799,1144000
2000-04-18,7.234375,7.500000,7.218750,7.437500,6.898195,961600
2000-04-19,7.343750,7.734375,7.234375,7.609375,7.057608,1197200
2000-04-20,7.609375,7.609375,7.281250,7.437500,6.898195,699200
2000-04-24,7.437500,7.437500,7.031250,7.109375,6.593863,994800
2000-04-25,7.156250,7.437500,7.156250,7.437500,6.898195,583600
2000-04-26,7.437500,7.437500,7.156250,7.234375,6.709799,1038000
2000-04-27,7.187500,7.234375,7.062500,7.187500,6.666324,564000
2000-04-28,7.187500,7.250000,7.046875,7.187500,6.666324,638000
2000-05-01,7.171875,7.562500,7.156250,7.468750,6.927179,820400
2000-05-02,7.437500,7.515625,7.203125,7.312500,6.782259,627200
2000-05-03,7.328125,7.328125,7.203125,7.218750,6.695307,570000
2000-05-04,7.375000,7.453125,7.343750,7.421875,6.883703,692800
2000-05-05,7.421875,7.687500,7.406250,7.531250,6.985147,741200
2000-05-08,7.593750,7.812500,7.515625,7.750000,7.188036,778800
2000-05-09,7.765625,7.796875,7.359375,7.562500,7.014132,903200
2000-05-10,7.515625,7.640625,7.312500,7.375000,6.840227,670400
2000-05-11,7.375000,7.531250,7.375000,7.453125,6.912687,817200
2000-05-12,7.437500,7.484375,7.125000,7.187500,6.666324,1062400
2000-05-15,7.203125,7.375000,7.125000,7.296875,6.767767,599600
2000-05-16,7.250000,7.453125,7.187500,7.453125,6.912687,1046400
2000-05-17,7.390625,7.718750,7.375000,7.531250,6.985147,688000
2000-05-18,7.500000,7.515625,7.187500,7.265625,6.738783,513600
2000-05-19,7.250000,7.250000,7.156250,7.156250,6.637340,407600
2000-05-22,7.156250,7.203125,6.984375,6.984375,6.477927,772400
2000-05-23,6.984375,7.171875,6.984375,7.140625,6.622847,624400
2000-05-24,8.000000,8.015625,7.375000,7.500000,6.956163,3803600
2000-05-25,7.531250,7.687500,7.531250,7.609375,7.057608,1075200
2000-05-26,7.609375,7.609375,7.515625,7.515625,6.970655,584000
2000-05-30,7.531250,7.828125,7.531250,7.781250,7.217020,850800
2000-05-31,7.781250,7.812500,7.765625,7.781250,7.217020,764400
2000-06-01,7.812500,7.984375,7.796875,7.984375,7.405415,485200
2000-06-02,8.281250,8.296875,7.031250,7.687500,7.130066,4353200
2000-06-05,7.625000,7.718750,7.406250,7.500000,6.956163,1676000
2000-06-06,7.562500,7.609375,7.265625,7.437500,6.898195,1103200
2000-06-07,7.468750,7.625000,7.312500,7.593750,7.043116,1778400
2000-06-08,7.562500,7.734375,7.500000,7.734375,7.173543,639600
2000-06-09,7.703125,7.906250,7.687500,7.859375,7.289480,936400
2000-06-12,7.875000,7.875000,7.343750,7.468750,6.927179,969600
2000-06-13,7.468750,7.468750,7.203125,7.343750,6.811244,886400
2000-06-14,7.312500,7.437500,7.125000,7.437500,6.898195,984400
2000-06-15,7.312500,7.375000,7.187500,7.250000,6.724291,1137200
2000-06-16,7.218750,7.234375,7.109375,7.203125,6.680816,883600
2000-06-19,7.234375,7.296875,7.234375,7.250000,6.724291,531600
2000-06-20,7.312500,7.328125,7.203125,7.218750,6.695307,1123600
2000-06-21,7.218750,7.218750,7.156250,7.171875,6.651831,576000
2000-06-22,7.171875,7.171875,6.937500,6.953125,6.448943,1477600
2000-06-23,6.968750,6.984375,6.828125,6.968750,6.463434,666400
2000-06-26,6.984375,6.984375,6.781250,6.812500,6.318515,499200
2000-06-27,6.812500,7.046875,6.812500,6.937500,6.434450,1252800
2000-06-28,6.984375,7.062500,6.890625,7.046875,6.535895,979600
2000-06-29,6.687500,6.906250,6.609375,6.640625,6.159103,2548000
2000-06-30,6.703125,7.125000,6.640625,6.781250,6.289532,1870400
2000-07-03,6.796875,6.828125,6.718750,6.765625,6.275039,238000
2000-07-05,6.937500,7.046875,6.765625,6.984375,6.477927,1492800
2000-07-06,7.000000,7.000000,6.656250,6.953125,6.448943,1957600
2000-07-07,7.000000,7.062500,6.968750,7.000000,6.492418,513600
2000-07-10,7.015625,7.015625,6.812500,6.890625,6.390976,1211200
2000-07-11,6.937500,6.953125,6.781250,6.781250,6.289532,523600
2000-07-12,6.828125,7.234375,6.828125,7.171875,6.651831,1070400
2000-07-13,7.187500,7.234375,7.046875,7.109375,6.593863,405200
2000-07-14,6.625000,7.031250,6.562500,6.875000,6.376483,2677200
2000-07-17,6.937500,7.156250,6.906250,7.078125,6.564879,669200
2000-07-18,7.078125,7.109375,6.875000,7.015625,6.506911,696000
2000-07-19,6.937500,6.937500,6.703125,6.734375,6.246055,1103200
2000-07-20,6.781250,6.828125,6.687500,6.781250,6.289532,596800
2000-07-21,6.734375,6.906250,6.656250,6.875000,6.376483,931200
2000-07-24,6.859375,7.062500,6.859375,6.921875,6.419959,841600
2000-07-25,6.953125,7.046875,6.875000,6.875000,6.376483,626800
2000-07-26,6.875000,7.187500,6.812500,7.140625,6.622847,1017200
2000-07-27,7.171875,7.218750,6.937500,6.937500,6.434450,551600
2000-07-28,6.890625,6.921875,6.640625,6.703125,6.217072,897600
2000-07-31,6.734375,6.906250,6.734375,6.859375,6.361990,744400
2000-08-01,6.906250,6.968750,6.875000,6.921875,6.419959,622000
2000-08-02,6.968750,7.031250,6.953125,6.953125,6.448943,857200
2000-08-03,7.000000,7.093750,6.984375,6.984375,6.477927,767200
2000-08-04,6.796875,6.984375,6.796875,6.984375,6.477927,687600
2000-08-07,6.968750,7.031250,6.953125,7.015625,6.506911,353600
2000-08-08,7.078125,7.125000,6.984375,7.062500,6.550386,1265600
2000-08-09,7.031250,7.078125,6.890625,6.921875,6.419959,898000
2000-08-10,6.937500,6.968750,6.828125,6.921875,6.419959,802800
2000-08-11,6.890625,6.937500,6.796875,6.937500,6.434450,819200
2000-08-14,6.937500,6.937500,6.843750,6.859375,6.361990,234800
2000-08-15,6.828125,6.828125,6.656250,6.812500,6.318515,687600
2000-08-16,6.687500,6.750000,6.578125,6.750000,6.260547,370000
2000-08-17,6.734375,6.734375,6.468750,6.609375,6.130119,849600
2000-08-18,6.656250,6.656250,6.515625,6.609375,6.130119,552000
2000-08-21,6.625000,6.671875,6.562500,6.578125,6.101135,371200
2000-08-22,6.562500,6.578125,6.468750,6.562500,6.086643,507200
2000-08-23,6.531250,6.531250,6.421875,6.468750,5.999691,550000
2000-08-24,6.406250,6.515625,6.359375,6.484375,6.014183,670400
2000-08-25,6.531250,6.671875,6.468750,6.609375,6.130119,822400
2000-08-28,6.546875,6.640625,6.437500,6.453125,5.985198,342000
2000-08-29,6.390625,6.453125,6.375000,6.453125,5.985198,373600
2000-08-30,6.437500,6.437500,6.359375,6.406250,5.941722,409200
2000-08-31,6.421875,6.546875,6.406250,6.500000,6.028675,384800
2000-09-01,6.515625,6.531250,6.453125,6.453125,5.985198,451200
2000-09-05,6.468750,6.593750,6.453125,6.593750,6.115627,338000
2000-09-06,6.593750,6.703125,6.593750,6.640625,6.159103,396000
2000-09-07,6.593750,6.609375,6.437500,6.500000,6.028675,284000
2000-09-08,6.515625,6.578125,6.453125,6.500000,6.028675,661200
2000-09-11,6.500000,6.562500,6.328125,6.359375,5.898247,2989600
2000-09-12,6.375000,6.390625,6.265625,6.343750,5.883755,542000
2000-09-13,6.312500,6.453125,6.312500,6.421875,5.956214,517200
2000-09-14,6.453125,6.468750,6.281250,6.343750,5.883755,279600
