Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.937500,31.000000,30.500000,30.562500,27.430895,206100
2000-01-03,30.500000,30.625000,29.000000,29.312500,26.308973,433900
2000-01-04,29.000000,30.125000,28.750000,29.000000,26.028502,522300
2000-01-05,29.000000,29.875000,28.562500,29.875000,26.813837,674000
2000-01-06,29.437500,29.875000,28.750000,29.562500,26.533360,911700
2000-01-07,29.750000,31.250000,29.500000,31.187500,27.991846,606000
2000-01-10,32.000000,34.125000,32.000000,33.937500,30.460066,1012300
2000-01-11,33.937500,37.562500,33.812500,36.500000,32.759995,2893100
2000-01-12,36.812500,38.250000,36.625000,38.000000,34.106304,1479400
2000-01-13,38.250000,38.937500,37.000000,37.000000,33.208767,1507000
2000-01-14,37.750000,38.500000,37.500000,38.125000,34.218502,609200
2000-01-18,39.500000,40.000000,38.125000,38.437500,34.498978,2728900
2000-01-19,39.000000,39.375000,38.500000,39.000000,35.003841,469400
2000-01-20,39.500000,41.312500,39.500000,40.500000,36.350151,1205200
2000-01-21,41.437500,43.250000,41.312500,43.125000,38.706165,2353300
2000-01-24,43.125000,44.625000,41.812500,42.000000,37.696453,2161100
2000-01-25,42.750000,42.750000,40.750000,41.312500,37.079391,788000
2000-01-26,41.312500,42.250000,39.500000,39.750000,35.676983,578600
2000-01-27,39.750000,40.437500,38.125000,38.375000,34.442886,975700
2000-01-28,38.750000,39.375000,37.250000,37.812500,33.938015,601300
2000-01-31,37.750000,37.812500,35.687500,35.875000,32.199043,617700
2000-02-01,36.000000,38.875000,34.312500,38.750000,34.779457,1191800
2000-02-02,39.000000,39.750000,38.437500,39.250000,35.228222,1714200
2000-02-03,39.500000,40.375000,38.500000,40.000000,35.901367,433200
2000-02-04,40.250000,42.000000,39.812500,40.437500,36.294041,754100
2000-02-07,39.250000,39.312500,38.000000,38.625000,34.667263,2011700
2000-02-08,38.750000,42.125000,38.750000,42.000000,37.696453,2194900
2000-02-09,42.500000,42.500000,41.218700,41.875000,37.584251,1885100
2000-02-10,41.875000,44.750000,41.750000,43.937500,39.435413,2589300
2000-02-11,44.500000,45.000000,44.062500,44.250000,39.715893,1212700
2000-02-14,44.437500,44.875000,43.812500,44.875000,40.276855,1778700
2000-02-15,45.000000,47.250000,45.000000,45.625000,40.950005,1119500
2000-02-16,45.875000,46.750000,45.000000,46.000000,41.286579,479400
2000-02-17,45.875000,46.125000,43.750000,45.000000,40.389050,1402200
2000-02-18,44.250000,44.750000,42.375000,42.750000,38.369583,749700
2000-02-22,43.250000,43.312500,40.125000,41.000000,36.798901,710700
2000-02-23,41.750000,43.625000,41.562500,43.312500,38.874462,992100
2000-02-24,43.562500,45.625000,42.625000,43.000000,38.593971,764300
2000-02-25,43.062500,43.500000,41.875000,42.500000,38.145206,709800
2000-02-28,42.500000,45.750000,41.062500,45.187500,40.557339,855700
2000-02-29,46.500000,49.750000,46.500000,49.250000,44.203564,1093600
2000-03-01,49.250000,50.500000,47.500000,48.875000,43.867004,1480500
2000-03-02,49.000000,49.062500,47.000000,48.500000,43.530418,1208600
2000-03-03,48.750000,51.125000,48.750000,50.875000,45.662060,1843200
2000-03-06,50.437500,51.000000,49.437500,51.000000,45.774246,1335100
2000-03-07,51.500000,51.750000,47.875000,49.625000,44.540138,1100300
2000-03-08,50.000000,55.500000,49.625000,53.937500,48.410755,2308000
2000-03-09,52.062500,53.625000,50.500000,53.625000,48.130276,3095000
2000-03-10,53.500000,55.500000,53.000000,54.812500,49.196098,1502800
2000-03-13,53.500000,54.375000,52.000000,53.750000,48.242477,466900
2000-03-14,54.062500,54.312500,48.250000,49.500000,44.427956,1008300
2000-03-15,49.312500,49.312500,43.750000,44.625000,40.052467,1186700
2000-03-16,46.000000,46.125000,41.125000,45.000000,40.389050,1505500
2000-03-17,45.500000,51.875000,45.500000,50.750000,45.549873,1159800
2000-03-20,52.875000,52.875000,47.375000,48.000000,43.081657,943700
2000-03-21,48.062500,48.500000,45.750000,47.875000,42.969452,889100
2000-03-22,48.125000,53.000000,48.125000,53.000000,47.569313,1099900
2000-03-23,53.125000,53.750000,50.500000,52.187500,46.840080,440900
2000-03-24,53.500000,54.250000,50.750000,52.000000,46.671787,1646100
2000-03-27,52.000000,52.000000,49.562500,50.312500,45.157188,550500
2000-03-28,50.500000,51.500000,49.500000,50.937500,45.718159,643400
2000-03-29,51.312500,51.937500,49.500000,49.875000,44.764519,487800
2000-03-30,49.750000,50.000000,48.250000,50.000000,44.876709,673700
2000-03-31,50.000000,51.437500,48.375000,49.375000,44.315754,529400
2000-04-03,49.000000,49.000000,44.437500,45.125000,40.501247,1132800
2000-04-04,46.000000,46.625000,40.375000,43.937500,39.435413,1090900
2000-04-05,44.000000,47.000000,42.500000,46.687500,41.903633,519600
2000-04-06,48.750000,50.187500,48.437500,50.000000,44.876709,1355700
2000-04-07,50.000000,50.437500,49.187500,49.812500,44.708431,339700
2000-04-10,49.000000,49.062500,46.375000,46.750000,41.959732,428200
2000-04-11,46.125000,46.250000,44.687500,45.625000,40.950005,448100
2000-04-12,45.500000,45.562500,42.000000,43.250000,38.818356,578800
2000-04-13,42.500000,42.750000,40.625000,41.750000,37.472057,1471400
2000-04-14,40.500000,40.937500,39.500000,40.187500,36.069660,630700
2000-04-17,40.437500,41.750000,38.250000,41.500000,37.247673,966300
2000-04-18,41.750000,44.500000,41.312500,43.750000,39.267132,1459800
2000-04-19,43.812500,45.687500,42.625000,45.062500,40.445141,704500
2000-04-20,45.187500,45.625000,44.000000,45.250000,40.613430,1051000
2000-04-24,44.750000,44.750000,41.250000,42.937500,38.537876,536300
2000-04-25,43.187500,43.625000,42.875000,43.000000,38.593971,429800
2000-04-26,42.937500,45.000000,42.437500,44.750000,40.164658,1088400
2000-04-27,44.250000,44.562500,43.000000,44.312500,39.771988,302500
2000-04-28,45.000000,47.000000,44.500000,46.562500,41.791443,1161900
2000-05-01,46.875000,47.125000,46.125000,46.375000,41.623158,708200
2000-05-02,46.312500,46.312500,45.375000,45.687500,41.006100,464700
2000-05-03,45.500000,45.500000,42.000000,42.687500,38.313496,559000
2000-05-04,44.000000,44.937500,42.687500,43.312500,38.874462,1560500
2000-05-05,43.375000,45.937500,43.375000,45.250000,40.613430,416000
2000-05-08,45.750000,46.125000,44.687500,45.125000,40.501247,360600
2000-05-09,45.000000,45.375000,41.500000,43.750000,39.267132,430800
2000-05-10,43.500000,43.500000,37.500000,40.937500,36.742817,1433100
2000-05-11,41.500000,41.875000,39.750000,40.437500,36.294041,977700
2000-05-12,41.000000,42.000000,40.625000,41.812500,37.528156,731000
2000-05-15,41.562500,41.562500,40.375000,41.000000,36.798901,411800
2000-05-16,42.250000,44.875000,42.250000,43.812500,39.323223,1010700
2000-05-17,43.750000,45.250000,43.125000,44.812500,40.220757,3788400
2000-05-18,44.687500,45.125000,43.750000,44.250000,39.715893,626900
2000-05-19,43.750000,43.875000,42.750000,43.000000,38.593971,705600
2000-05-22,43.250000,43.250000,40.937500,41.062500,36.855000,482400
2000-05-23,41.437500,42.250000,38.687500,39.250000,35.228222,1174500
2000-05-24,38.875000,38.937500,37.250000,38.562500,34.611172,892700
2000-05-25,39.000000,40.500000,39.000000,39.812500,35.733082,796600
2000-05-26,40.062500,40.062500,38.625000,39.187500,35.172127,155800
2000-05-30,39.250000,39.625000,37.000000,37.687500,33.825825,1278800
2000-05-31,38.125000,38.125000,36.312500,37.125000,33.320957,959800
2000-06-01,38.125000,39.375000,37.500000,38.625000,34.667263,779200
2000-06-02,40.000000,41.500000,40.000000,41.375000,37.135490,1217200
