Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.500000,5.781250,5.500000,5.781250,4.817845,132200
2000-01-03,5.781250,5.781250,5.250000,5.375000,4.479293,218200
2000-01-04,5.406250,5.406250,5.156250,5.218750,4.349082,188200
2000-01-05,5.218750,5.218750,5.031250,5.156250,4.296998,118800
2000-01-06,5.218750,5.218750,5.031250,5.062500,4.218870,344800
2000-01-07,5.062500,5.062500,4.968750,5.000000,4.166785,326600
2000-01-10,5.000000,5.000000,4.875000,4.937500,4.114699,380600
2000-01-11,5.000000,5.218750,4.968750,5.218750,4.349082,929200
2000-01-12,5.187500,5.187500,4.968750,5.062500,4.218870,917400
2000-01-13,5.031250,5.250000,5.031250,5.218750,4.349082,393000
2000-01-14,5.250000,5.250000,4.906250,5.000000,4.166785,1046400
2000-01-18,5.062500,5.218750,5.000000,5.218750,4.349082,398400
2000-01-19,5.281250,5.281250,5.062500,5.250000,4.375124,697600
2000-01-20,5.281250,5.531250,5.156250,5.500000,4.583464,654800
2000-01-21,5.531250,5.750000,5.437500,5.656250,4.713675,713000
2000-01-24,5.718750,5.718750,5.500000,5.531250,4.609508,747600
2000-01-25,5.750000,6.218750,5.750000,6.187500,5.156397,760800
2000-01-26,6.250000,6.500000,6.250000,6.375000,5.312651,462400
2000-01-27,6.375000,6.375000,5.968750,5.968750,4.974099,252400
2000-01-28,5.906250,6.031250,5.656250,5.781250,4.817845,628200
2000-01-31,5.781250,5.781250,5.500000,5.500000,4.583464,245200
2000-02-01,5.468750,5.562500,5.375000,5.500000,4.583464,361200
2000-02-02,5.468750,5.718750,5.437500,5.468750,4.557420,544600
2000-02-03,5.500000,5.562500,5.375000,5.437500,4.531379,162800
2000-02-04,5.468750,5.468750,5.281250,5.375000,4.479293,249600
2000-02-07,5.437500,5.437500,5.250000,5.406250,4.505336,161800
2000-02-08,5.406250,5.500000,5.281250,5.343750,4.453251,128600
2000-02-09,5.375000,5.375000,5.156250,5.218750,4.349082,279800
2000-02-10,5.218750,5.218750,5.125000,5.156250,4.296998,248800
2000-02-11,5.156250,5.156250,4.968750,5.031250,4.192827,500600
2000-02-14,5.062500,5.093750,4.937500,5.000000,4.166785,1221200
2000-02-15,5.000000,5.000000,4.875000,4.875000,4.062616,468800
2000-02-16,4.875000,4.906250,4.687500,4.875000,4.062616,595400
2000-02-17,5.000000,5.000000,4.875000,4.968750,4.140742,321400
2000-02-18,4.906250,4.937500,4.750000,4.781250,3.984486,189800
2000-02-22,4.781250,4.781250,4.625000,4.656250,3.880320,188200
2000-02-23,4.625000,4.718750,4.500000,4.500000,3.750107,431000
2000-02-24,4.500000,4.812500,4.500000,4.625000,3.854277,155800
2000-02-25,4.593750,4.656250,4.500000,4.625000,3.854277,165000
2000-02-28,4.625000,4.781250,4.562500,4.656250,3.880320,182200
2000-02-29,4.687500,4.812500,4.625000,4.625000,3.854277,419800
2000-03-01,4.656250,4.750000,4.593750,4.718750,3.932402,676400
