Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.812500,10.812500,10.666667,10.687500,6.918243,459300
2000-01-03,10.666667,10.812500,10.375000,10.562500,6.837330,1188000
2000-01-04,10.541667,10.583333,10.187500,10.375000,6.715957,1565700
2000-01-05,10.354167,10.562500,10.145833,10.541667,6.823843,2461800
2000-01-06,10.520833,11.458333,10.520833,11.187500,7.241906,3629700
2000-01-07,11.520833,11.520833,11.000000,11.270833,7.295846,1439700
2000-01-10,11.354167,11.416667,11.208333,11.333333,7.336305,748800
2000-01-11,11.187500,11.312500,11.083333,11.145833,7.214931,826200
2000-01-12,11.020833,11.270833,11.020833,11.187500,7.241906,864600
2000-01-13,11.312500,11.395833,11.125000,11.187500,7.241906,2897700
2000-01-14,11.187500,11.229167,10.937500,11.125000,7.201445,5083800
2000-01-18,11.062500,11.229167,10.958333,11.104167,7.187961,1296600
2000-01-19,11.083333,11.187500,11.020833,11.104167,7.187961,1097400
2000-01-20,11.083333,11.479167,11.041667,11.416667,7.390250,2076900
2000-01-21,11.875000,12.062500,11.666667,11.791667,7.632997,2886000
2000-01-24,11.812500,12.104167,11.812500,11.937500,7.727398,1769100
2000-01-25,12.020833,13.062500,11.979167,12.833333,8.307283,4832100
2000-01-26,12.250000,12.833333,12.041667,12.666667,8.199401,2701500
2000-01-27,12.625000,12.625000,12.187500,12.291667,7.956653,1982100
2000-01-28,12.250000,12.250000,11.854167,11.916667,7.713907,1404900
2000-01-31,11.916667,11.958333,11.750000,11.895833,7.700422,1673700
2000-02-01,11.895833,11.895833,11.604167,11.666667,7.552082,1577700
2000-02-02,11.666667,12.062500,11.416667,11.854167,7.673450,7222500
2000-02-03,11.937500,12.020833,11.708333,11.791667,7.632997,800700
2000-02-04,11.770833,12.187500,11.770833,12.104167,7.835284,2298600
2000-02-07,12.000000,12.145833,11.854167,11.854167,7.673450,1297500
2000-02-08,11.916667,11.937500,11.666667,11.708333,7.579051,1023900
2000-02-09,11.708333,11.708333,11.166667,11.187500,7.241906,1068300
2000-02-10,11.229167,11.562500,11.020833,11.062500,7.160989,976500
2000-02-11,10.979167,11.312500,10.833333,11.000000,7.120533,959700
2000-02-14,11.000000,11.000000,10.541667,10.625000,6.877788,1509300
2000-02-15,10.625000,10.791667,10.541667,10.729167,6.945215,2182500
2000-02-16,10.708333,11.291667,10.333333,10.750000,6.958703,2101800
2000-02-17,10.687500,10.687500,10.270833,10.312500,6.675500,1389900
2000-02-18,10.291667,10.395833,9.833333,9.937500,6.432753,2033100
2000-02-22,10.000000,10.104167,9.770833,9.895833,6.405784,5856000
