Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.166666,16.166666,15.708333,15.958333,11.387508,785600
2000-01-03,16.145834,16.333334,15.062500,15.583333,11.119920,2333600
2000-01-04,15.208333,15.708333,14.000000,14.416667,10.287412,1063400
2000-01-05,14.250000,14.333333,13.625000,14.041667,10.019820,828800
2000-01-06,13.916667,15.041667,13.791667,14.583333,10.406343,1103000
2000-01-07,14.625000,14.625000,13.875000,14.125000,10.079284,738600
2000-01-10,15.229167,16.416666,14.958333,15.937500,11.372645,2340200
2000-01-11,16.166666,16.250000,14.333333,14.479167,10.332008,2114000
2000-01-12,14.625000,15.625000,14.291667,15.062500,10.748260,1530000
2000-01-13,15.312500,15.979167,15.270833,15.916667,11.357780,723600
2000-01-14,16.187500,16.541666,16.000000,16.270834,11.610502,985800
2000-01-18,16.041666,16.458334,15.645833,16.166666,11.536171,1712600
2000-01-19,16.333334,17.333334,16.291666,17.145834,12.234884,1823000
2000-01-20,17.343733,17.458334,16.458334,16.625000,11.863225,841200
2000-01-21,16.791666,16.916666,16.270834,16.541666,11.803761,815400
2000-01-24,16.666666,16.812500,16.062500,16.166666,11.536171,607400
2000-01-25,15.916667,16.000000,14.875000,15.229167,10.867194,748800
2000-01-26,15.187500,15.666667,14.958333,15.520833,11.075319,525000
2000-01-27,15.625000,16.578100,15.437500,15.520833,11.075319,489000
2000-01-28,15.437500,15.437500,14.291667,14.333333,10.227945,538400
2000-01-31,14.510400,14.520833,13.583333,14.375000,10.257680,901800
2000-02-01,14.354167,14.854167,13.958333,14.750000,10.525270,470400
2000-02-02,15.208333,16.000000,14.958333,15.625000,11.149650,592200
2000-02-03,16.114567,16.166666,15.250000,16.104166,11.491573,537600
2000-02-04,16.135401,16.458334,15.895833,16.166666,11.536171,561600
2000-02-07,16.479166,16.500000,15.666667,15.875000,11.328047,570800
2000-02-08,16.125000,16.125000,15.708333,15.937500,11.372645,324200
2000-02-09,16.000000,16.020834,15.125000,15.125000,10.792864,300600
2000-02-10,15.166667,15.541667,15.000000,15.541667,11.090187,316400
2000-02-11,15.541667,15.666667,15.354167,15.500000,11.060454,427800
2000-02-14,15.458333,15.541667,14.687500,14.812500,10.569867,360200
2000-02-15,14.822900,15.572900,14.651033,15.250000,10.882058,260400
2000-02-16,15.125000,15.125000,14.333333,14.416667,10.287412,394800
2000-02-17,14.625000,14.729167,13.770833,14.354167,10.242813,504000
2000-02-18,14.354167,14.375000,13.166667,13.166667,9.395438,390800
2000-02-22,13.281234,13.666667,13.125000,13.333333,9.514369,1121000
2000-02-23,13.458333,14.291667,13.250000,14.104167,10.064419,564000
2000-02-24,14.270833,14.270833,12.958333,13.208333,9.425171,366600
2000-02-25,13.208333,14.125000,13.166667,13.916667,9.930622,602600
2000-02-28,14.083333,14.270833,13.625000,13.791667,9.841425,1067000
2000-02-29,14.020833,14.020833,13.062500,13.333333,9.514369,819000
2000-03-01,13.322900,13.770833,12.416667,13.541667,9.663030,1668600
2000-03-02,13.645833,13.833333,12.666667,12.791667,9.127847,827000
2000-03-03,12.916667,13.291667,12.500000,13.104167,9.350842,1003200
2000-03-06,13.270833,13.333333,12.916667,13.041667,9.306242,695000
2000-03-07,13.218734,13.250000,12.750000,12.812500,9.142715,472400
2000-03-08,12.833333,13.166667,12.770833,13.083333,9.335974,387800
2000-03-09,13.083333,13.270833,12.687500,13.270833,9.469768,1018400
2000-03-10,13.187500,13.437500,12.687500,12.708333,9.068379,1361000
2000-03-13,12.770833,12.770833,11.833333,12.083333,8.622396,2302200
2000-03-14,12.270833,12.437500,11.520833,12.166667,8.681863,1299600
2000-03-15,12.583333,12.916667,12.333333,12.687500,9.053517,1045200
2000-03-16,12.916667,13.562500,12.750000,13.562500,9.677896,879600
2000-03-17,13.291667,13.427067,13.000000,13.104167,9.350842,249200
2000-03-20,13.291667,13.562500,12.875000,12.895833,9.202179,705600
2000-03-21,13.000000,13.166667,12.520833,12.770833,9.112982,865200
2000-03-22,12.750000,12.770833,12.270833,12.500000,8.919722,1946000
2000-03-23,12.312500,12.729167,12.125000,12.645833,9.023785,1341800
2000-03-24,12.750000,12.812500,12.291667,12.604167,8.994052,1740600
2000-03-27,12.541667,12.937500,12.041667,12.729167,9.083249,1173600
2000-03-28,12.750000,12.750000,12.125000,12.187500,8.696724,797600
2000-03-29,12.166667,12.395833,12.000000,12.291667,8.771059,779000
2000-03-30,12.250000,12.791667,12.208333,12.458333,8.889986,635000
2000-03-31,12.541667,13.750000,12.541667,13.750000,9.811690,699800
2000-04-03,13.375000,14.250000,13.333333,13.916667,9.930622,861600
2000-04-04,13.833333,14.416667,12.750000,13.645833,9.737362,966000
2000-04-05,13.250000,13.812500,12.958333,12.979167,9.261642,703200
2000-04-06,13.145833,13.270833,12.708333,13.072900,9.328532,423600
2000-04-07,13.125000,13.229167,12.875000,13.104167,9.350842,152400
2000-04-10,12.854167,13.104167,12.583333,12.583333,8.979186,295200
2000-04-11,12.635400,12.666667,12.000000,12.041667,8.592666,915800
2000-04-12,12.083333,13.437500,12.020833,13.187500,9.410305,1201800
2000-04-13,13.187500,13.500000,12.312500,12.312500,8.785925,348000
2000-04-14,12.166667,12.375000,11.666667,11.687500,8.339939,1183800
2000-04-17,11.750000,12.145833,11.166667,12.145833,8.666994,1301600
2000-04-18,12.000000,12.083333,11.583333,11.937500,8.518334,1161200
2000-04-19,12.041667,12.166667,11.812500,12.041667,8.592666,882600
2000-04-20,11.958333,12.166667,11.541667,12.104167,8.637262,456800
2000-04-24,11.937500,12.666667,11.583333,12.583333,8.979186,754200
2000-04-25,12.625000,13.562500,12.312500,13.500000,9.633301,759600
2000-04-26,13.354167,13.562500,13.020833,13.104167,9.350842,392000
2000-04-27,12.854167,13.437500,12.666667,13.291667,9.484636,631200
2000-04-28,13.229167,13.250000,12.583333,13.000000,9.276509,284000
2000-05-01,13.062500,13.062500,12.666667,12.791667,9.127847,204200
2000-05-02,12.625000,12.687500,11.875000,11.916667,8.503469,712400
2000-05-03,11.833333,11.833333,10.750000,10.979167,7.834489,1968000
2000-05-04,11.104167,12.041667,10.708333,11.750000,8.384539,808200
2000-05-05,11.687500,11.916667,11.458333,11.458333,8.176412,1178400
2000-05-08,11.416667,11.541667,11.229167,11.250000,8.027745,1358600
2000-05-09,11.343734,11.375000,10.833333,11.020833,7.864222,1941200
2000-05-10,10.770833,10.895833,10.437500,10.500000,7.492567,2166200
2000-05-11,10.750000,10.833333,10.437500,10.833333,7.730425,1006200
2000-05-12,11.041667,11.062500,10.708333,10.708333,7.641229,353400
2000-05-15,11.031234,11.041667,10.604167,10.875000,7.760158,839000
2000-05-16,11.000000,11.041667,10.854167,10.958333,7.819623,302600
2000-05-17,10.875000,10.875000,10.208333,10.333333,7.373636,643200
2000-05-18,10.333333,10.666667,10.166667,10.208333,7.284440,532800
2000-05-19,10.166667,10.187500,9.875000,9.916667,7.076311,247200
2000-05-22,10.020833,10.041667,9.312500,9.979167,7.120911,876000
2000-05-23,9.958333,10.375000,9.895833,10.041667,7.165510,491600
2000-05-24,10.041667,10.541667,9.916667,10.458333,7.462830,369600
2000-05-25,10.541667,11.020833,10.479167,10.500000,7.492567,517400
2000-05-26,10.500000,10.645833,10.416667,10.416667,7.433099,105800
2000-05-30,11.062500,11.541667,11.062500,11.375000,8.116945,689600
2000-05-31,11.322900,12.812500,11.125000,12.520833,8.934587,1110800
2000-06-01,12.541667,12.604167,12.114567,12.291667,8.771059,431400
2000-06-02,12.458333,13.083333,12.416667,12.729167,9.083249,288600
2000-06-05,12.729167,13.000000,12.333333,12.333333,8.800791,269000
2000-06-06,11.541667,12.000000,11.541667,11.687500,8.339939,293600
2000-06-07,11.750000,11.895833,11.604167,11.729167,8.369670,601400
2000-06-08,11.812500,11.833333,11.500000,11.500000,8.206143,262800
2000-06-09,11.770833,12.062500,11.666667,12.041667,8.592666,168800
