Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,47.625000,48.437500,47.562500,48.187500,39.898624,296200
2000-01-03,48.125000,48.187500,45.125000,46.187500,38.242630,886900
2000-01-04,45.250000,45.312500,42.875000,43.312500,35.862175,1221700
2000-01-05,43.312500,43.375000,41.750000,42.312500,35.034203,1361900
2000-01-06,42.312500,44.437500,42.062500,44.250000,36.638420,2482300
2000-01-07,44.250000,46.187500,43.125000,45.500000,37.673389,1206500
2000-01-10,45.500000,46.062500,44.875000,44.937500,37.207645,855800
2000-01-11,44.750000,45.500000,43.250000,43.500000,36.017429,1511400
2000-01-12,43.500000,44.500000,43.375000,44.062500,36.483170,1151400
2000-01-13,44.375000,45.437500,43.937500,45.187500,37.414642,417700
2000-01-14,46.187500,48.000000,45.875000,46.812500,38.760136,1260600
2000-01-18,44.000000,45.312500,42.000000,42.500000,35.189430,2612600
2000-01-19,43.750000,43.812500,42.750000,43.375000,35.913929,1942600
2000-01-20,43.187500,43.500000,42.000000,42.375000,35.085938,1163600
2000-01-21,43.187500,43.250000,40.812500,41.375000,34.257950,1324500
2000-01-24,41.312500,41.500000,40.875000,41.125000,34.050949,1058900
2000-01-25,41.000000,41.062500,40.000000,40.062500,33.171204,986100
2000-01-26,40.125000,42.625000,40.125000,41.937500,34.723690,1009300
2000-01-27,42.000000,43.125000,40.687500,41.500000,34.361454,1583200
2000-01-28,41.250000,41.250000,39.812500,40.062500,33.171204,539500
2000-01-31,39.250000,41.187500,39.187500,41.000000,33.947433,500800
2000-02-01,41.500000,41.562500,40.000000,40.187500,33.274715,628200
2000-02-02,40.750000,40.812500,39.250000,39.812500,32.964230,534400
2000-02-03,40.500000,40.812500,38.625000,39.125000,32.394978,865700
2000-02-04,40.125000,40.125000,38.500000,38.562500,31.929239,611000
2000-02-07,38.437500,39.312500,37.375000,37.937500,31.433496,910600
2000-02-08,38.375000,38.750000,36.937500,37.375000,30.967440,1017700
2000-02-09,37.000000,37.062500,34.812500,35.000000,28.999603,1668300
2000-02-10,35.000000,35.437500,33.000000,33.500000,27.756775,2143700
2000-02-11,33.500000,34.062500,32.500000,33.625000,27.860340,1962100
2000-02-14,33.375000,34.250000,33.000000,34.187500,28.326414,1369200
2000-02-15,34.437500,37.312500,34.062500,37.062500,30.708513,1852600
2000-02-16,38.250000,39.187500,37.000000,37.500000,31.071009,2593200
2000-02-17,37.750000,37.937500,36.625000,36.750000,30.449587,1183700
2000-02-18,36.000000,36.187500,33.250000,34.500000,28.585331,1183400
2000-02-22,35.437500,36.000000,32.812500,33.937500,28.119276,1872400
2000-02-23,35.000000,35.000000,32.750000,33.062500,27.394276,1563500
2000-02-24,33.250000,34.937500,32.062500,34.625000,28.688911,2271300
2000-02-25,34.687500,35.937500,34.312500,35.562500,29.465673,1607900
2000-02-28,35.437500,38.187500,35.437500,37.875000,31.381720,2347300
2000-02-29,38.000000,38.125000,36.375000,36.812500,30.501368,1971000
2000-03-01,36.875000,38.187500,36.750000,37.687500,31.226374,1075000
2000-03-02,37.750000,38.187500,36.500000,36.812500,30.501368,1184200
2000-03-03,38.500000,39.312500,37.437500,37.937500,31.433496,979700
2000-03-06,38.125000,39.000000,36.750000,37.062500,30.708513,667000
2000-03-07,36.875000,36.875000,34.500000,34.687500,28.740688,1258900
2000-03-08,34.437500,35.437500,33.875000,35.187500,29.154976,1093200
2000-03-09,35.375000,38.000000,34.750000,36.687500,30.397808,1716000
2000-03-10,36.000000,36.937500,35.875000,36.812500,30.501368,870500
2000-03-13,36.562500,37.750000,36.250000,37.750000,31.278154,1098000
2000-03-14,37.750000,38.625000,37.750000,38.125000,31.588860,1104400
2000-03-15,38.125000,41.750000,37.812500,40.875000,33.867397,2730900
2000-03-16,42.250000,46.625000,42.125000,46.562500,38.579842,3991800
2000-03-17,46.937500,48.375000,45.750000,45.812500,37.958427,2357800
2000-03-20,44.750000,44.937500,41.250000,41.562500,34.437038,1647800
2000-03-21,41.750000,44.437500,41.500000,44.000000,36.456650,1541000
2000-03-22,44.187500,46.625000,44.062500,46.250000,38.320915,1022200
2000-03-23,46.125000,46.625000,45.125000,45.812500,37.958427,1154500
2000-03-24,46.000000,46.812500,44.625000,45.062500,37.337002,855300
2000-03-27,45.062500,45.062500,43.312500,44.500000,36.870930,753100
2000-03-28,44.562500,46.375000,44.437500,45.375000,37.595924,849000
2000-03-29,45.625000,46.062500,44.000000,45.250000,37.492367,799300
2000-03-30,45.375000,46.937500,45.125000,46.375000,38.424488,932400
2000-03-31,46.437500,48.812500,45.687500,47.937500,39.719109,973000
2000-04-03,47.687500,49.687500,47.687500,49.000000,40.599457,1323700
2000-04-04,49.000000,49.375000,44.125000,46.562500,38.579842,1281100
2000-04-05,46.750000,47.562500,46.250000,46.312500,38.372711,811700
2000-04-06,46.437500,48.062500,46.437500,46.875000,38.838768,821800
2000-04-07,47.500000,47.687500,46.812500,47.250000,39.149487,532900
2000-04-10,47.500000,49.062500,47.187500,48.125000,39.874454,556300
2000-04-11,48.625000,49.875000,48.562500,49.250000,40.806602,1010500
2000-04-12,49.000000,53.000000,48.875000,50.250000,41.635166,2209200
2000-04-13,50.250000,50.250000,45.500000,46.687500,38.683407,1712800
2000-04-14,44.187500,45.125000,42.250000,42.875000,35.524529,2165100
2000-04-17,42.687500,43.875000,42.312500,43.000000,35.628101,1487300
2000-04-18,43.000000,45.375000,42.625000,45.062500,37.337002,1073600
2000-04-19,45.500000,45.812500,44.875000,45.500000,37.699490,622800
2000-04-20,45.500000,47.437500,44.875000,47.312500,39.201263,651100
2000-04-24,47.312500,48.875000,46.437500,47.125000,39.045898,866700
2000-04-25,47.187500,49.187500,46.500000,48.875000,40.495880,980400
2000-04-26,49.000000,49.250000,47.687500,47.875000,39.667324,662600
2000-04-27,47.187500,47.187500,45.250000,46.125000,38.217342,1184100
2000-04-28,44.500000,44.937500,42.812500,43.750000,36.249504,1348100
2000-05-01,42.500000,45.875000,42.250000,45.000000,37.285221,772400
2000-05-02,44.812500,45.875000,44.312500,45.375000,37.595924,647700
2000-05-03,45.125000,45.125000,42.125000,42.437500,35.162029,878200
2000-05-04,42.437500,42.437500,40.250000,40.812500,33.815620,1004200
2000-05-05,40.625000,40.625000,39.687500,39.875000,33.038841,1329100
2000-05-08,39.500000,43.125000,39.375000,42.125000,34.926403,1293300
2000-05-09,42.437500,43.687500,41.312500,41.875000,34.719120,718400
2000-05-10,41.937500,42.250000,41.000000,41.062500,34.045471,667300
2000-05-11,42.750000,44.062500,42.125000,43.375000,35.962780,894200
2000-05-12,44.000000,44.812500,42.812500,43.625000,36.170074,743200
2000-05-15,43.750000,45.406200,43.375000,44.718700,37.076870,752100
2000-05-16,45.750000,46.312500,45.187500,45.500000,37.724651,702500
2000-05-17,44.375000,44.625000,43.687500,44.000000,36.480976,398700
2000-05-18,44.000000,46.000000,43.937500,45.750000,37.931950,732500
2000-05-19,44.875000,45.062500,42.750000,44.000000,36.480976,688900
2000-05-22,44.125000,44.187500,42.875000,43.875000,36.377331,448600
2000-05-23,44.375000,45.312500,44.000000,44.812500,37.154640,477100
2000-05-24,45.437500,46.937500,44.500000,44.875000,37.206474,966300
2000-05-25,44.875000,45.750000,44.625000,45.250000,37.517384,912200
2000-05-26,45.000000,45.625000,44.812500,44.937500,37.258301,635600
2000-05-30,45.500000,47.500000,45.250000,46.187500,38.294682,1045900
2000-05-31,46.750000,47.437500,46.375000,47.250000,39.175621,1799800
2000-06-01,47.000000,49.000000,47.000000,48.656200,40.341515,2195100
2000-06-02,50.375000,52.375000,50.312500,51.250000,42.492058,1517000
2000-06-05,50.375000,50.687500,49.562500,50.375000,41.766582,1329000
2000-06-06,50.500000,50.500000,49.437500,49.687500,41.196575,1304300
