Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.218750,5.250000,5.093750,5.229167,1.634437,2184000
2000-01-03,5.229167,5.322917,5.041667,5.156250,1.611646,3039600
2000-01-04,5.010417,5.125000,4.927083,5.000000,1.562807,2536200
2000-01-05,5.031250,5.145833,4.958333,5.104167,1.595366,3399000
2000-01-06,5.104167,5.572917,5.031250,5.333333,1.666995,5304600
2000-01-07,5.333333,5.343750,5.270833,5.333333,1.666995,3403200
2000-01-10,5.312500,5.343750,5.291667,5.333333,1.666995,2851800
2000-01-11,5.333333,5.447917,5.333333,5.333333,1.666995,3345600
2000-01-12,5.333333,5.406250,5.322917,5.354167,1.673507,3196200
2000-01-13,5.333333,5.510417,5.312500,5.427083,1.696298,3115200
2000-01-14,5.354167,5.437500,5.333333,5.375000,1.680018,2815200
2000-01-18,5.333333,5.385417,5.291667,5.291667,1.653972,2487600
2000-01-19,5.291667,5.333333,5.229167,5.291667,1.653972,11016000
2000-01-20,5.239583,5.270833,5.000000,5.052083,1.579087,5173200
2000-01-21,5.270833,5.270833,5.093750,5.114583,1.598622,3034200
2000-01-24,5.218750,5.218750,5.020833,5.093750,1.592111,2826000
2000-01-25,5.093750,5.218750,4.989583,5.010417,1.566064,5508000
2000-01-26,5.104167,5.125000,4.937500,4.989583,1.559552,14192400
2000-01-27,4.989583,5.104167,4.968750,5.062500,1.582343,4808400
2000-01-28,5.000000,5.000000,4.760417,4.854167,1.517226,5104200
2000-01-31,4.895833,4.947917,4.843750,4.875000,1.523737,3303600
2000-02-01,4.875000,4.885417,4.802083,4.822917,1.507458,1580400
2000-02-02,4.822917,4.822917,4.666667,4.708333,1.471644,2608200
2000-02-03,4.729167,4.760417,4.625000,4.645833,1.452109,2348400
2000-02-04,4.687500,4.729167,4.593750,4.614583,1.442342,8008800
2000-02-07,4.614583,4.645833,4.354167,4.354167,1.360945,3981000
2000-02-08,4.250000,4.333333,4.125000,4.125000,1.289317,11040000
2000-02-09,4.239583,4.302083,4.125000,4.166667,1.302340,9291000
2000-02-10,3.958333,4.031250,3.812500,3.833333,1.198153,10611600
2000-02-11,3.833333,3.843750,3.520833,3.604167,1.126524,6285000
2000-02-14,3.583333,3.718750,3.500000,3.645833,1.139548,17692800
2000-02-15,3.708333,3.770833,3.645833,3.666667,1.146059,5235000
2000-02-16,3.687500,3.760417,3.625000,3.656250,1.142803,6755400
2000-02-17,3.666667,3.791667,3.572917,3.750000,1.172106,6585600
2000-02-18,3.729167,3.729167,3.593750,3.635417,1.136292,4262400
2000-02-22,3.593750,3.791667,3.593750,3.739583,1.168850,4395600
