Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.578125,7.671875,7.546875,7.640625,6.299066,60000
2000-01-03,7.703125,7.734375,7.437500,7.500000,6.183130,394800
2000-01-04,7.453125,7.515625,7.406250,7.484375,6.170250,924400
2000-01-05,7.500000,7.500000,7.375000,7.421875,6.118722,624000
2000-01-06,7.390625,7.453125,7.281250,7.453125,6.144485,450400
2000-01-07,7.453125,7.765625,7.421875,7.750000,6.389236,1608400
2000-01-10,7.765625,8.109375,7.765625,7.890625,6.505169,620800
2000-01-11,7.843750,7.968750,7.796875,7.875000,6.492290,575600
2000-01-12,7.859375,7.859375,7.750000,7.843750,6.466527,676800
2000-01-13,7.890625,8.203125,7.890625,8.140625,6.711275,700000
2000-01-14,8.156250,8.156250,7.781250,7.781250,6.414997,244800
2000-01-18,7.750000,7.937500,7.734375,7.921875,6.530932,485200
2000-01-19,7.890625,8.000000,7.875000,7.875000,6.492290,741600
2000-01-20,7.921875,7.937500,7.859375,7.921875,6.530932,332000
2000-01-21,7.843750,7.953125,7.843750,7.921875,6.530932,960000
2000-01-24,7.906250,7.968750,7.906250,7.937500,6.543815,371200
2000-01-25,7.937500,8.078125,7.906250,8.015625,6.608222,1643200
2000-01-26,8.015625,9.218750,8.015625,9.000000,7.419758,1582000
2000-01-27,9.015625,9.093750,8.250000,8.250000,6.801445,1392000
2000-01-28,8.312500,8.609375,8.312500,8.406250,6.930261,1078000
2000-01-31,8.453125,8.531250,8.453125,8.500000,7.007548,600000
2000-02-01,8.500000,8.500000,8.296875,8.375000,6.904497,214000
2000-02-02,8.406250,8.531250,8.343750,8.390625,6.917379,456000
2000-02-03,8.500000,8.718750,8.484375,8.609375,7.097716,496800
2000-02-04,8.625000,8.906250,8.625000,8.796875,7.252300,462000
2000-02-07,8.765625,8.890625,8.765625,8.859375,7.303823,767600
2000-02-08,8.859375,8.937500,8.859375,8.937500,7.368230,434400
2000-02-09,9.000000,9.140625,8.875000,9.031250,7.445524,886400
2000-02-10,9.125000,9.156250,9.046875,9.093750,7.497050,394400
2000-02-11,9.109375,9.109375,8.828125,8.828125,7.278063,336800
