Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.281250,8.359375,8.218750,8.343750,5.077292,40000
2000-01-03,8.625000,8.640625,8.140625,8.390625,5.105816,938400
2000-01-04,8.359375,8.828125,8.359375,8.671875,5.276962,1219600
2000-01-05,8.750000,8.921875,8.718750,8.921875,5.429090,1157600
2000-01-06,8.890625,9.125000,8.843750,9.031250,5.495648,744800
2000-01-07,9.031250,9.265625,9.031250,9.171875,5.581218,261600
2000-01-10,9.187500,9.234375,8.906250,8.906250,5.419579,238800
2000-01-11,8.875000,9.000000,8.796875,8.796875,5.353025,237600
2000-01-12,8.781250,8.812500,8.718750,8.781250,5.343519,148000
2000-01-13,8.765625,8.906250,8.687500,8.890625,5.410074,604800
2000-01-14,8.859375,8.906250,8.765625,8.859375,5.391058,347600
2000-01-18,8.890625,8.921875,8.843750,8.906250,5.419579,147600
2000-01-19,8.906250,8.937500,8.750000,8.937500,5.438598,311200
2000-01-20,8.937500,8.937500,8.781250,8.875000,5.400567,364000
2000-01-21,8.859375,9.125000,8.859375,9.062500,5.514662,538800
2000-01-24,9.125000,9.156250,8.890625,8.953125,5.448104,203200
2000-01-25,8.937500,9.000000,8.625000,8.656250,5.267452,251200
2000-01-26,8.703125,8.796875,8.687500,8.796875,5.353025,305200
2000-01-27,8.765625,8.796875,8.703125,8.750000,5.324499,237600
2000-01-28,8.718750,8.812500,8.687500,8.781250,5.343519,323200
2000-01-31,8.812500,8.843750,8.625000,8.625000,5.248438,256400
2000-02-01,8.578125,8.640625,8.500000,8.640625,5.257946,200000
2000-02-02,8.593750,8.796875,8.593750,8.718750,5.305485,307600
2000-02-03,8.687500,8.843750,8.687500,8.718750,5.305485,183600
2000-02-04,8.734375,8.765625,8.515625,8.593750,5.229424,144800
2000-02-07,8.609375,8.656250,8.437500,8.468750,5.153356,103600
2000-02-08,8.468750,8.484375,8.343750,8.390625,5.105816,161200
2000-02-09,8.343750,8.390625,8.187500,8.234375,5.193452,392400
2000-02-10,8.296875,8.578125,8.218750,8.531250,5.380695,272400
2000-02-11,8.484375,8.562500,8.234375,8.234375,5.193452,218400
2000-02-14,8.250000,8.468750,8.062500,8.390625,5.292002,459600
2000-02-15,8.406250,8.671875,8.406250,8.625000,5.439821,145600
2000-02-16,8.562500,8.687500,8.453125,8.640625,5.449676,349200
2000-02-17,8.593750,8.937500,8.593750,8.921875,5.627060,475600
