Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.902344,4.136719,3.898438,4.000000,0.317102,1428800
2000-01-03,4.140625,4.187500,3.812500,4.000000,0.317102,4611200
2000-01-04,3.894531,3.957031,3.828125,3.882813,0.307812,3345600
2000-01-05,3.832031,3.898438,3.781250,3.890625,0.308432,3344000
2000-01-06,3.890625,3.984375,3.781250,3.882813,0.307812,2800000
2000-01-07,3.867188,3.968750,3.867188,3.929688,0.311528,3344000
2000-01-10,3.937500,3.957031,3.812500,3.878906,0.307502,2424000
2000-01-11,3.871094,3.871094,3.781250,3.804688,0.301619,3732800
2000-01-12,3.781250,3.820313,3.625000,3.666013,0.290625,2040000
2000-01-13,3.675781,3.679688,3.562500,3.574219,0.283348,4278400
2000-01-14,3.613281,3.984375,3.601563,3.843750,0.304715,7300800
2000-01-18,3.812500,4.000000,3.773438,3.953125,0.313386,3508800
2000-01-19,3.984375,4.023438,3.906250,3.953125,0.313386,2809600
2000-01-20,3.992188,3.992188,3.777344,3.847656,0.305025,3091200
2000-01-21,3.867188,3.875000,3.679688,3.687500,0.292329,3425600
2000-01-24,3.687500,3.851563,3.687500,3.710938,0.294187,1844800
2000-01-25,3.730469,3.730469,3.437500,3.527344,0.279632,3860800
2000-01-26,3.523438,3.546875,3.335938,3.371094,0.267245,5576000
2000-01-27,3.335938,3.386719,3.226563,3.250000,0.257646,4000000
2000-01-28,3.250000,3.253906,3.125000,3.179688,0.252072,3641600
2000-01-31,3.187500,3.304688,3.187500,3.230469,0.256097,3481600
2000-02-01,3.226563,3.234375,3.156250,3.210938,0.254549,2369600
2000-02-02,3.250000,3.296875,3.187500,3.271481,0.259349,6097600
2000-02-03,3.265625,3.304688,3.250000,3.281250,0.260123,2665600
2000-02-04,3.261719,3.359375,3.257813,3.320313,0.263220,6334400
2000-02-07,3.261719,3.281250,3.109375,3.164063,0.250833,5083200
2000-02-08,3.140625,3.187500,2.882813,2.972656,0.235659,8692800
2000-02-09,2.964844,3.015625,2.847656,2.847656,0.225750,12411200
2000-02-10,2.976563,3.074219,2.945313,3.058594,0.242472,55315200
2000-02-11,3.054688,3.054688,2.921875,3.015625,0.239065,13448000
2000-02-14,3.023438,3.054688,2.875000,2.937500,0.232872,7678400
2000-02-15,2.949219,3.007813,2.875000,2.988281,0.236898,1961600
2000-02-16,3.000000,3.015625,2.906250,2.906250,0.230395,3569600
2000-02-17,2.910156,2.910156,2.492188,2.656250,0.210576,8571200
2000-02-18,2.718750,2.757813,2.628906,2.628906,0.208408,8936000
2000-02-22,2.687500,2.699219,2.597656,2.597656,0.205931,4782400
2000-02-23,2.585938,2.781250,2.554688,2.730469,0.216459,9812800
2000-02-24,2.726563,2.804688,2.683594,2.742188,0.217388,5931200
2000-02-25,2.750000,2.765625,2.718750,2.718750,0.215530,3854400
2000-02-28,2.773438,2.820313,2.718750,2.785156,0.220795,6132800
2000-02-29,2.789063,2.890625,2.789063,2.878906,0.228227,3006400
2000-03-01,2.921875,3.023438,2.812500,2.968750,0.235349,2232000
2000-03-02,2.984375,3.015625,2.863281,2.906250,0.230395,11209600
2000-03-03,2.894531,2.898438,2.410156,2.453125,0.194473,75937600
2000-03-06,2.562500,2.562500,2.164063,2.292969,0.181776,18784000
