Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.542891,10.816731,10.320395,10.765387,6.450928,139600
2000-01-03,10.765387,10.765387,9.738482,9.772712,5.856089,666000
2000-01-04,9.772712,9.960978,9.173684,9.464641,5.671484,354400
2000-01-05,9.413295,9.464641,9.156569,9.156569,5.486880,669600
2000-01-06,9.225029,9.225029,8.985418,9.070993,5.435600,662600
2000-01-07,9.105224,9.173684,8.968303,9.036763,5.415088,626100
2000-01-10,9.053878,9.584446,9.036763,9.498871,5.691997,1627800
2000-01-11,9.498871,9.721367,9.498871,9.601561,5.753531,243800
2000-01-12,9.584446,9.584446,9.105224,9.225029,5.527903,320000
2000-01-13,9.293489,9.310604,9.019649,9.310604,5.579181,463600
2000-01-14,9.310604,9.379065,9.276375,9.293489,5.568926,156800
2000-01-18,9.225029,9.225029,8.899842,8.951188,5.363809,440200
2000-01-19,9.002533,9.053878,8.934072,8.951188,5.363809,117500
2000-01-20,8.934072,9.207914,8.934072,9.173684,5.497135,207500
2000-01-21,9.173684,9.584446,9.105224,9.447525,5.661229,749200
2000-01-24,9.464641,9.772712,9.464641,9.550216,5.722764,1513300
2000-01-25,9.550216,9.550216,9.207914,9.207914,5.517647,441100
2000-01-26,9.207914,9.567330,9.173684,9.173684,5.497135,471300
2000-01-27,9.207914,9.379065,9.173684,9.173684,5.497135,914300
2000-01-28,9.207914,9.413295,9.036763,9.310604,5.579181,367500
2000-01-31,9.379065,9.515985,9.002533,9.036763,5.415088,466800
2000-02-01,9.002533,9.002533,8.780037,8.934072,5.353552,503400
2000-02-02,8.865612,9.310604,8.728692,9.139454,5.476623,284000
2000-02-03,9.070993,9.379065,9.070993,9.207914,5.517647,398900
2000-02-04,9.105224,9.550216,9.105224,9.533100,5.712507,162000
2000-02-07,9.481755,9.481755,8.968303,9.036763,5.415088,595100
2000-02-08,9.105224,9.413295,9.036763,9.344834,5.599692,520100
2000-02-09,9.310604,9.310604,8.797153,8.797153,5.271507,298600
2000-02-10,8.797153,8.797153,8.369275,8.608886,5.158692,534000
2000-02-11,8.608886,8.899842,8.454850,8.591771,5.148436,657300
2000-02-14,8.574656,8.574656,7.941398,8.215240,4.922807,1189100
2000-02-15,8.283700,8.591771,8.283700,8.506196,5.097156,708300
2000-02-16,8.471966,8.523311,8.471966,8.506196,5.097156,279100
2000-02-17,8.506196,9.293489,8.506196,9.156569,5.486880,445600
2000-02-18,9.156569,9.207914,8.882728,8.968303,5.374064,273000
2000-02-22,8.865612,8.865612,8.762922,8.780037,5.261249,93500
2000-02-23,8.762922,8.762922,7.941398,8.574656,5.138179,767700
2000-02-24,8.574656,8.574656,8.249470,8.352160,5.004853,342400
2000-02-25,8.352160,8.352160,7.599096,8.009858,4.799738,1035500
2000-02-28,7.941398,8.146779,7.667557,7.992743,4.789482,598000
2000-02-29,7.975628,8.591771,7.941398,8.352160,5.004853,1394100
2000-03-01,8.215240,8.489080,8.215240,8.335045,4.994597,523000
2000-03-02,8.369275,8.489080,8.283700,8.420620,5.045878,296600
2000-03-03,8.454850,8.591771,8.437736,8.574656,5.138179,217100
2000-03-06,8.557541,9.105224,8.557541,9.105224,5.456112,774100
2000-03-07,9.105224,9.139454,8.780037,8.780037,5.261249,888200
2000-03-08,8.780037,8.882728,8.626001,8.711576,5.220227,375900
2000-03-09,8.677346,8.899842,8.591771,8.814267,5.281763,189800
2000-03-10,8.677346,8.694462,8.591771,8.591771,5.148436,280500
2000-03-13,8.523311,9.002533,8.523311,8.831382,5.292017,709000
2000-03-14,8.831382,9.242145,8.677346,8.882728,5.322786,1001400
2000-03-15,8.814267,9.190799,8.643116,9.019649,5.404831,514100
2000-03-16,8.985418,9.173684,8.934072,9.036763,5.415088,1146500
2000-03-17,8.951188,9.036763,8.865612,8.865612,5.312530,482600
2000-03-20,8.831382,8.865612,8.454850,8.762922,5.250996,809800
2000-03-21,8.660232,8.951188,8.591771,8.951188,5.363809,445000
2000-03-22,8.916958,9.515985,8.916958,9.259259,5.548414,576100
2000-03-23,9.207914,9.379065,9.139454,9.276375,5.558670,360300
2000-03-24,9.207914,9.447525,9.173684,9.207914,5.517647,717700
2000-03-27,9.173684,9.207914,9.156569,9.190799,5.507390,225000
2000-03-28,9.190799,9.310604,9.105224,9.173684,5.497135,576400
2000-03-29,9.173684,9.344834,9.173684,9.259259,5.548414,503100
2000-03-30,9.310604,9.515985,9.139454,9.225029,5.527903,546400
2000-03-31,9.190799,9.515985,9.190799,9.327720,5.589438,606700
2000-04-03,9.344834,9.396180,9.225029,9.225029,5.527903,325800
2000-04-04,9.225029,9.396180,8.985418,9.122338,5.466366,433900
2000-04-05,9.002533,9.310604,9.002533,9.310604,5.579181,509700
2000-04-06,9.242145,9.310604,9.122338,9.156569,5.486880,393800
2000-04-07,9.207914,9.207914,8.780037,8.831382,5.292017,253200
2000-04-10,8.557541,8.728692,8.420620,8.420620,5.045878,400300
2000-04-11,8.557541,8.557541,8.163894,8.232354,4.933062,323400
2000-04-12,8.283700,8.865612,8.283700,8.865612,5.312530,465900
2000-04-13,8.848497,9.105224,8.848497,9.036763,5.415088,499600
2000-04-14,8.968303,9.379065,8.660232,8.660232,5.189459,1090600
2000-04-17,8.591771,8.728692,8.112549,8.489080,5.086901,405500
2000-04-18,8.694462,9.019649,8.557541,9.019649,5.404831,680700
2000-04-19,8.968303,9.139454,8.916958,9.070993,5.435600,281400
2000-04-20,9.088108,9.327720,8.968303,9.276375,5.558670,275200
2000-04-24,9.207914,9.379065,9.122338,9.379065,5.620206,360300
2000-04-25,9.379065,9.567330,9.233573,9.447525,5.661229,826200
2000-04-26,9.430410,9.430410,9.310604,9.396180,5.630461,135000
2000-04-27,9.344834,9.567330,9.310604,9.550216,5.722764,701200
2000-04-28,9.481755,9.738482,9.447525,9.601561,5.753531,340500
2000-05-01,9.550216,9.704251,9.515985,9.704251,5.815066,324200
2000-05-02,9.670021,10.063668,9.498871,9.755596,5.845833,755700
2000-05-03,9.721367,9.789826,9.481755,9.652906,5.784299,644100
2000-05-04,9.652906,9.858287,9.584446,9.601561,5.753531,352900
2000-05-05,9.584446,9.755596,9.584446,9.721367,5.825321,233700
2000-05-08,9.652906,9.824057,9.498871,9.755596,5.845833,315600
2000-05-09,9.755596,9.755596,9.515985,9.515985,5.702251,1224000
2000-05-10,9.550216,9.550216,9.173684,9.225029,5.527903,567400
2000-05-11,9.293489,9.755596,9.293489,9.721367,5.825321,382100
2000-05-12,9.687137,9.687137,9.447525,9.481755,5.681742,245300
2000-05-15,9.481755,9.481755,9.242145,9.259259,5.548414,82700
2000-05-16,9.327720,9.789826,9.327720,9.498871,5.691997,306800
2000-05-17,9.498871,9.498871,9.242145,9.242145,5.538158,110100
2000-05-18,9.207914,9.584446,9.190799,9.533100,5.712507,384100
2000-05-19,9.550216,9.550216,9.310604,9.310604,5.579181,84100
2000-05-22,9.379065,9.447525,9.105224,9.396180,5.630461,268200
2000-05-23,9.430410,9.618676,9.430410,9.618676,5.763787,561800
2000-05-24,9.618676,9.806942,9.601561,9.704251,5.815066,641400
2000-05-25,9.738482,9.824057,9.652906,9.670021,5.794554,320800
2000-05-26,9.721367,9.721367,9.652906,9.687137,5.804811,133000
2000-05-30,9.687137,9.858287,9.687137,9.806942,5.876601,309600
2000-05-31,9.772712,10.046553,9.772712,9.995208,5.989415,464500
2000-06-01,9.978093,10.029438,9.858287,10.029438,6.009926,362200
2000-06-02,10.029438,10.080783,9.960978,9.978093,5.979160,276200
2000-06-05,9.995208,10.012322,9.379065,9.396180,5.630461,270100
2000-06-06,9.447525,9.584446,9.413295,9.447525,5.661229,204600
2000-06-07,9.447525,9.447525,9.105224,9.310604,5.579181,556400
2000-06-08,9.344834,9.515985,9.327720,9.515985,5.702251,301000
2000-06-09,9.515985,9.824057,9.515985,9.789826,5.866345,209700
2000-06-12,9.806942,9.858287,9.772712,9.772712,5.856089,265900
2000-06-13,9.789826,9.789826,9.276375,9.310604,5.579181,94800
2000-06-14,9.344834,9.601561,9.344834,9.447525,5.661229,281800
2000-06-15,9.413295,9.430410,9.259259,9.361950,5.609948,347700
2000-06-16,9.361950,9.430410,8.985418,9.070993,5.435600,528200
2000-06-19,9.105224,9.139454,8.762922,8.934072,5.353552,627500
2000-06-20,8.968303,9.070993,8.865612,8.951188,5.363809,735300
2000-06-21,8.968303,9.019649,8.591771,8.660232,5.189459,385600
2000-06-22,8.694462,8.831382,8.685890,8.762922,5.250996,663100
2000-06-23,8.694462,8.745807,8.557541,8.745807,5.240737,420700
2000-06-26,8.728692,8.865612,8.489080,8.865612,5.312530,596900
2000-06-27,8.797153,8.916958,8.574656,8.660232,5.189459,822500
2000-06-28,8.694462,9.036763,8.677346,9.036763,5.415088,484400
2000-06-29,9.036763,9.036763,8.608886,8.694462,5.209970,1286000
2000-06-30,8.694462,9.310604,8.660232,9.284918,5.563789,2045600
2000-07-03,9.190799,9.413295,9.139454,9.413295,5.640715,416400
2000-07-05,9.413295,9.618676,9.259259,9.259259,5.548414,302500
2000-07-06,9.156569,9.156569,8.797153,9.036763,5.415088,396700
2000-07-07,9.036763,9.379065,9.036763,9.259259,5.548414,304700
2000-07-10,9.070993,9.070993,9.002533,9.019649,5.404831,55600
2000-07-11,8.968303,8.985418,8.814267,8.968303,5.374064,323400
2000-07-12,9.036763,9.190799,8.968303,9.190799,5.507390,232400
2000-07-13,9.293489,9.293489,9.156569,9.276375,5.558670,276600
2000-07-14,9.207914,9.413295,9.207914,9.276375,5.558670,235100
2000-07-17,9.293489,9.344834,9.036763,9.105224,5.456112,290600
2000-07-18,9.156569,9.515985,9.156569,9.396180,5.630461,755300
2000-07-19,9.361950,9.481755,9.361950,9.413295,5.640715,232800
2000-07-20,9.430410,9.430410,9.242145,9.413295,5.640715,158700
2000-07-21,9.413295,9.413295,9.070993,9.070993,5.435600,189800
2000-07-24,9.105224,9.379065,9.105224,9.379065,5.620206,287900
2000-07-25,9.327720,9.464641,9.190799,9.207914,5.517647,208800
2000-07-26,9.173684,9.259259,8.797153,9.105224,5.456112,394300
2000-07-27,9.139454,9.447525,9.139454,9.259259,5.548414,755300
2000-07-28,9.276375,9.344834,9.190799,9.207914,5.517647,402200
