Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.375000,21.500000,21.062500,21.437500,11.328541,124800
2000-01-03,21.250000,21.375000,20.062500,20.562500,10.866158,361300
2000-01-04,20.312500,20.312500,19.437500,19.500000,10.304676,560900
2000-01-05,19.625000,19.750000,19.000000,19.500000,10.304676,870300
2000-01-06,19.312500,19.625000,19.062500,19.437500,10.271654,776400
2000-01-07,19.500000,19.750000,19.062500,19.750000,10.436790,485400
2000-01-10,19.875000,19.937500,19.062500,19.687500,10.403764,435400
2000-01-11,19.500000,20.187500,19.500000,19.812500,10.469817,402200
2000-01-12,19.812500,19.875000,19.187500,19.187500,10.139541,421100
2000-01-13,19.187500,19.250000,18.687500,19.187500,10.139541,472200
2000-01-14,19.250000,19.437500,18.875000,19.312500,10.205602,341500
2000-01-18,19.125000,19.312500,18.937500,19.312500,10.205602,368600
2000-01-19,19.250000,19.312500,18.937500,19.000000,10.040461,332300
2000-01-20,18.937500,19.062500,18.375000,18.500000,9.776237,494300
2000-01-21,19.000000,19.125000,18.500000,19.062500,10.073485,661100
2000-01-24,19.125000,19.312500,18.500000,18.687500,9.875320,293400
2000-01-25,18.562500,18.687500,17.812500,18.062500,9.545040,467600
2000-01-26,18.250000,18.437500,17.625000,18.187500,9.611099,528700
2000-01-27,18.000000,18.562500,17.750000,18.125000,9.578072,358100
2000-01-28,18.125000,18.250000,17.750000,17.937500,9.478987,355600
2000-01-31,17.812500,18.000000,17.562500,18.000000,9.512011,498000
2000-02-01,17.875000,18.500000,17.375000,18.250000,9.644124,699600
2000-02-02,18.000000,18.000000,17.562500,17.687500,9.346874,467900
2000-02-03,17.750000,18.500000,17.687500,18.187500,9.611099,595600
2000-02-04,17.937500,18.375000,17.562500,17.625000,9.313850,582900
2000-02-07,17.562500,17.625000,17.000000,17.312500,9.148709,520400
2000-02-08,17.562500,17.750000,17.250000,17.500000,9.247787,304400
2000-02-09,17.250000,18.000000,17.062500,17.312500,9.148709,548700
2000-02-10,17.437500,17.437500,16.937500,17.062500,9.016599,431800
2000-02-11,16.937500,17.250000,16.687500,16.750000,8.851459,384500
2000-02-14,17.000000,17.312500,16.687500,16.750000,8.851459,461900
2000-02-15,16.750000,16.812500,16.312500,16.500000,8.719346,907300
2000-02-16,16.562500,17.000000,16.562500,16.812500,8.884489,443400
2000-02-17,16.875000,17.062500,16.625000,16.812500,8.884489,312400
2000-02-18,16.562500,16.812500,16.062500,16.250000,8.587230,551900
2000-02-22,16.500000,16.687500,16.187500,16.312500,8.620263,335200
2000-02-23,16.187500,16.437500,16.000000,16.312500,8.673430,388700
2000-02-24,16.312500,16.562500,16.062500,16.062500,8.540505,906800
2000-02-25,16.125000,16.437500,15.937500,16.062500,8.540505,694800
2000-02-28,16.312500,16.312500,15.875000,16.062500,8.540505,620400
2000-02-29,16.125000,16.937500,15.937500,16.812500,8.939285,716600
2000-03-01,16.750000,16.750000,16.187500,16.312500,8.673430,1226700
2000-03-02,16.375000,16.812500,16.000000,16.187500,8.606972,1154700
2000-03-03,16.187500,16.500000,15.875000,16.000000,8.507276,489000
2000-03-06,16.000000,16.062500,15.375000,15.562500,8.274654,514400
2000-03-07,15.562500,15.812500,15.250000,15.437500,8.208188,324900
2000-03-08,15.312500,15.875000,15.312500,15.812500,8.407579,418000
2000-03-09,15.750000,16.937500,15.437500,16.875000,8.972519,871300
2000-03-10,17.000000,17.375000,16.937500,17.000000,9.038980,629600
2000-03-13,17.062500,17.062500,16.500000,16.812500,8.939285,306600
2000-03-14,16.812500,17.750000,16.312500,16.687500,8.872822,640100
2000-03-15,16.750000,18.312500,16.250000,18.250000,9.703610,802100
2000-03-16,18.187500,19.812500,18.062500,19.812500,10.534401,837100
2000-03-17,21.687500,21.812500,19.625000,20.000000,10.634090,1116900
2000-03-20,20.000000,20.125000,19.125000,19.125000,10.168850,364500
2000-03-21,20.125000,20.125000,19.437500,20.000000,10.634090,286300
2000-03-22,19.750000,19.750000,18.875000,19.312500,10.268544,349200
2000-03-23,19.125000,19.687500,18.625000,19.687500,10.467937,485000
2000-03-24,19.625000,20.125000,19.187500,19.312500,10.268544,385700
2000-03-27,19.562500,19.750000,19.187500,19.312500,10.268544,216100
2000-03-28,19.312500,19.312500,18.750000,19.125000,10.168850,589000
2000-03-29,19.312500,20.250000,19.062500,20.125000,10.700561,656700
2000-03-30,20.312500,20.625000,19.875000,19.875000,10.567630,706100
2000-03-31,19.937500,21.562500,19.937500,21.500000,11.431646,814200
2000-04-03,21.500000,21.687500,20.687500,20.937500,11.132567,358700
2000-04-04,21.125000,21.937500,20.062500,21.062500,11.199031,449700
2000-04-05,20.812500,20.937500,20.312500,20.812500,11.066102,561700
2000-04-06,21.000000,21.750000,21.000000,21.375000,11.365190,433300
2000-04-07,21.250000,21.687500,21.000000,21.250000,11.298722,488700
2000-04-10,21.250000,21.750000,21.187500,21.562500,11.464884,414100
2000-04-11,21.375000,21.937500,21.375000,21.750000,11.564577,281700
2000-04-12,21.875000,22.187500,21.750000,22.000000,11.697503,557100
2000-04-13,22.500000,22.562500,21.750000,22.000000,11.697503,789400
2000-04-14,22.125000,22.125000,21.062500,21.062500,11.199031,684700
2000-04-17,21.187500,21.437500,20.500000,21.250000,11.298722,544300
2000-04-18,21.250000,22.000000,20.937500,21.437500,11.398417,578500
2000-04-19,21.562500,21.562500,20.937500,21.250000,11.298722,209400
2000-04-20,21.000000,21.937500,20.875000,21.500000,11.431646,382500
2000-04-24,21.687500,21.937500,21.125000,21.687500,11.531347,408100
2000-04-25,21.750000,22.375000,21.687500,22.250000,11.830432,611200
2000-04-26,22.375000,22.375000,21.687500,21.750000,11.564577,540100
2000-04-27,21.750000,21.750000,21.062500,21.375000,11.365190,549100
2000-04-28,21.312500,21.437500,20.687500,21.375000,11.365190,423500
2000-05-01,21.125000,22.000000,20.937500,21.750000,11.564577,344800
2000-05-02,21.875000,21.875000,20.750000,20.937500,11.132567,264800
2000-05-03,21.000000,21.000000,20.437500,20.812500,11.066102,303200
2000-05-04,20.812500,21.187500,20.187500,20.937500,11.132567,307500
2000-05-05,20.875000,20.875000,20.062500,20.500000,10.899946,281900
2000-05-08,20.562500,20.562500,19.625000,19.937500,10.600860,165100
2000-05-09,19.937500,20.312500,19.625000,20.000000,10.634090,359800
2000-05-10,20.000000,20.312500,19.687500,20.062500,10.667326,221700
2000-05-11,20.125000,21.000000,20.000000,20.562500,10.933182,263000
2000-05-12,20.375000,20.375000,19.625000,19.750000,10.501167,450800
2000-05-15,19.750000,20.187500,19.625000,19.750000,10.501167,329500
2000-05-16,19.812500,20.625000,19.812500,20.312500,10.800253,395800
2000-05-17,20.187500,20.312500,19.937500,20.250000,10.820289,346000
2000-05-18,20.375000,20.437500,19.812500,20.312500,10.853686,246100
2000-05-19,20.062500,20.187500,18.750000,19.312500,10.319353,501800
2000-05-22,19.875000,20.000000,19.125000,19.625000,10.486330,493700
2000-05-23,19.812500,19.875000,19.500000,19.687500,10.519723,284100
2000-05-24,19.750000,19.812500,19.000000,19.312500,10.319353,357600
2000-05-25,19.250000,19.875000,19.250000,19.562500,10.452929,363400
2000-05-26,19.812500,19.937500,19.312500,19.437500,10.386142,343100
2000-05-30,19.375000,19.875000,19.000000,19.281200,10.302625,748800
2000-05-31,19.500000,20.500000,19.375000,20.031200,10.703377,746200
2000-06-01,20.000000,20.562500,20.000000,20.281200,10.836961,535200
2000-06-02,20.875000,21.312500,20.750000,21.156200,11.304503,572100
2000-06-05,21.125000,21.187500,20.500000,20.781200,11.104126,245500
2000-06-06,20.750000,20.750000,19.750000,19.781200,10.569796,388400
2000-06-07,19.750000,19.750000,19.250000,19.531200,10.436208,611600
2000-06-08,19.562500,19.562500,19.250000,19.281200,10.302625,436000
2000-06-09,19.062500,19.375000,19.000000,19.218700,10.269230,461500
2000-06-12,19.250000,19.750000,19.125000,19.281200,10.302625,334900
2000-06-13,19.187500,19.437500,19.125000,19.125000,10.219163,626100
2000-06-14,19.312500,19.750000,19.312500,19.375000,10.352743,331700
2000-06-15,19.625000,19.875000,19.500000,19.562500,10.452929,240900
2000-06-16,19.562500,19.625000,19.062500,19.187500,10.252557,435400
2000-06-19,19.125000,19.312500,18.750000,19.062500,10.185762,500200
2000-06-20,18.937500,19.125000,18.812500,19.000000,10.152369,267100
2000-06-21,17.250000,17.250000,15.062500,15.312500,8.182011,4036500
2000-06-22,15.375000,16.250000,15.375000,16.187500,8.649550,1352000
2000-06-23,16.437500,16.500000,15.875000,15.937500,8.515971,1209800
2000-06-26,16.187500,16.500000,15.937500,16.062500,8.582760,741700
2000-06-27,16.187500,16.250000,15.937500,16.125000,8.616156,1247100
2000-06-28,16.875000,17.062500,16.000000,16.078100,8.591095,1096300
2000-06-29,16.312500,17.000000,16.125000,17.000000,9.083699,484700
2000-06-30,16.750000,16.812500,16.250000,16.500000,8.816532,999700
2000-07-03,16.312500,17.062500,16.312500,17.062500,9.117096,221800
2000-07-05,17.000000,17.062500,16.750000,16.937500,9.050303,394300
2000-07-06,17.062500,17.250000,16.875000,17.125000,9.150495,457600
2000-07-07,17.250000,17.750000,16.843700,17.062500,9.117096,726200
2000-07-10,16.937500,18.125000,16.937500,17.875000,9.551239,563400
2000-07-11,19.125000,19.125000,18.062500,18.437500,9.851807,842400
