Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,36.812500,37.187500,36.375000,36.437500,27.716808,697200
2000-01-03,33.000000,35.250000,32.750000,34.250000,26.052841,9266900
2000-01-04,34.312500,35.500000,34.250000,34.500000,26.243006,5109300
2000-01-05,35.000000,36.937500,34.625000,36.625000,27.891773,5841200
2000-01-06,36.562500,38.312500,36.312500,38.000000,28.938900,6130500
2000-01-07,39.750000,43.000000,39.312500,42.250000,32.175491,11537600
2000-01-10,41.625000,43.250000,41.437500,41.937500,31.937494,6966700
2000-01-11,41.562500,43.062500,41.437500,42.125000,32.080296,4413700
2000-01-12,41.625000,42.062500,41.312500,42.062500,32.032703,3243300
2000-01-13,42.000000,44.125000,41.937500,43.500000,33.127415,5029300
2000-01-14,44.750000,44.937500,43.625000,43.875000,33.413006,5759600
2000-01-18,44.500000,44.875000,43.875000,44.375000,33.793793,5947800
2000-01-19,44.625000,45.625000,44.250000,44.937500,34.222160,4288100
2000-01-20,45.750000,46.125000,44.000000,44.000000,33.508190,6083200
2000-01-21,45.000000,45.000000,43.312500,43.562500,33.175011,6105200
2000-01-24,44.250000,44.937500,42.375000,43.062500,32.794239,5749800
2000-01-25,43.750000,45.000000,43.625000,44.562500,33.936573,3742800
2000-01-26,44.750000,46.312500,44.500000,46.125000,35.126480,6589300
2000-01-27,46.875000,47.500000,45.312500,46.437500,35.364479,4539700
2000-01-28,46.187500,46.187500,44.312500,44.812500,34.126965,3981200
2000-01-31,44.812500,45.750000,43.250000,45.750000,34.840904,3717100
2000-02-01,45.500000,46.500000,44.968700,46.375000,35.316860,2960700
2000-02-02,46.125000,46.562500,44.750000,45.000000,34.269741,3099000
2000-02-03,45.375000,45.812500,44.000000,45.750000,34.840904,3275900
2000-02-04,46.000000,49.625000,45.937500,48.062500,36.601986,5717100
2000-02-07,47.875000,49.250000,47.500000,49.250000,37.506336,4373700
2000-02-08,49.000000,49.687500,48.687500,49.625000,37.791901,3328600
2000-02-09,49.500000,49.687500,48.750000,48.875000,37.220745,3685400
2000-02-10,49.000000,49.187500,48.000000,48.000000,36.554386,2088800
2000-02-11,48.750000,48.750000,45.000000,46.000000,35.031311,6163300
2000-02-14,46.375000,48.062500,46.187500,46.375000,35.316860,4625300
2000-02-15,46.625000,46.625000,44.875000,45.437500,34.602917,4631000
2000-02-16,45.437500,46.000000,44.062500,44.250000,33.698593,4768700
2000-02-17,46.250000,47.250000,46.187500,46.562500,35.459667,5653400
2000-02-18,47.500000,48.375000,47.375000,47.687500,36.316410,5579200
2000-02-22,48.000000,49.875000,47.687500,49.187500,37.458729,4152000
2000-02-23,49.187500,49.250000,47.562500,48.500000,36.935165,3148900
2000-02-24,49.000000,49.937500,48.125000,49.500000,37.696716,6309100
2000-02-25,49.750000,49.812500,46.375000,47.437500,36.126022,3017400
2000-02-28,47.437500,49.562500,45.562500,48.000000,36.554386,5692500
2000-02-29,48.125000,49.000000,47.187500,48.437500,36.887569,3287800
2000-03-01,48.375000,49.312500,47.437500,49.125000,37.411144,2397400
2000-03-02,49.000000,50.500000,48.687500,49.000000,37.315952,3221400
2000-03-03,49.250000,51.500000,49.125000,51.375000,39.124634,3125600
2000-03-06,52.250000,52.937500,49.062500,49.500000,37.696716,6101200
2000-03-07,50.500000,50.500000,49.062500,49.500000,37.696716,3503100
2000-03-08,49.000000,49.375000,48.187500,48.937500,37.268349,3249500
2000-03-09,48.500000,50.187500,48.500000,50.000000,38.077503,3474500
2000-03-10,50.000000,52.187500,49.750000,51.250000,39.029427,2983400
2000-03-13,50.250000,51.937500,49.812500,50.187500,38.220299,2100300
2000-03-14,50.375000,50.562500,46.000000,46.875000,35.697632,5478100
2000-03-15,47.500000,49.750000,46.562500,49.000000,37.315952,4447500
2000-03-16,49.750000,53.750000,49.312500,52.625000,40.076550,4219900
2000-03-17,52.750000,54.812500,52.187500,52.687500,40.124161,5073000
2000-03-20,52.875000,53.875000,52.562500,53.375000,40.647709,2401600
2000-03-21,53.500000,53.500000,50.500000,53.250000,40.552528,6058300
2000-03-22,53.000000,55.000000,52.437500,54.750000,41.694859,3023100
2000-03-23,54.500000,56.437500,53.000000,56.062500,42.694397,4397100
2000-03-24,55.812500,56.562500,54.875000,55.000000,41.885239,3598900
2000-03-27,54.500000,57.375000,53.500000,57.000000,43.408352,3683200
2000-03-28,56.000000,57.875000,55.062500,55.812500,42.504002,4724700
2000-03-29,56.375000,57.125000,54.750000,55.437500,42.218437,4548100
2000-03-30,54.500000,54.625000,49.750000,51.000000,38.839043,7870600
2000-03-31,51.750000,53.125000,50.875000,51.437500,39.172237,4488300
2000-04-03,53.000000,55.750000,52.875000,55.125000,41.980450,3844500
2000-04-04,55.375000,56.750000,52.250000,55.875000,42.551598,6795500
2000-04-05,55.000000,56.625000,54.500000,55.875000,42.582077,4359400
2000-04-06,55.750000,57.187500,55.500000,55.937500,42.629723,2629200
2000-04-07,56.500000,57.375000,55.812500,56.062500,42.724976,2438000
2000-04-10,56.250000,57.687500,55.937500,57.687500,43.963379,2500800
2000-04-11,57.000000,57.062500,55.562500,55.750000,42.486820,2408100
2000-04-12,55.937500,56.312500,53.937500,54.062500,41.200790,2716700
2000-04-13,54.000000,54.437500,50.500000,51.125000,38.962132,5164500
2000-04-14,50.000000,50.625000,47.750000,48.562500,37.009266,4857000
2000-04-17,47.750000,48.437500,45.250000,48.250000,36.771133,6556200
2000-04-18,48.937500,52.875000,48.812500,52.312500,39.867119,3817300
2000-04-19,52.250000,52.750000,51.187500,52.500000,40.010017,2380100
2000-04-20,52.062500,52.625000,51.375000,52.437500,39.962383,1713900
2000-04-24,52.437500,54.250000,52.000000,53.875000,41.057880,2058400
2000-04-25,53.875000,53.875000,52.687500,53.000000,40.391068,2588200
2000-04-26,53.000000,53.750000,52.375000,53.000000,40.391068,1983000
2000-04-27,53.000000,55.000000,53.000000,54.875000,41.819984,2852300
2000-04-28,54.500000,54.687500,51.750000,51.937500,39.581333,3701400
2000-05-01,53.000000,53.375000,50.125000,52.250000,39.819492,2814600
2000-05-02,52.250000,54.750000,51.375000,54.125000,41.248425,2654400
2000-05-03,54.125000,54.937500,53.250000,53.937500,41.105553,2425400
2000-05-04,55.000000,55.187500,54.000000,54.500000,41.534195,2438900
2000-05-05,53.750000,56.187500,53.687500,55.937500,42.629723,1898600
2000-05-08,55.000000,56.062500,54.500000,55.875000,42.582077,1885500
2000-05-09,56.000000,56.812500,54.000000,54.375000,41.438942,2307500
2000-05-10,54.437500,55.000000,54.000000,54.562500,41.581841,1946400
2000-05-11,55.500000,55.750000,54.562500,55.312500,42.153408,1911900
2000-05-12,55.000000,55.062500,53.500000,53.906200,41.081673,1544500
2000-05-15,54.000000,56.500000,54.000000,56.125000,42.772621,2483200
2000-05-16,56.875000,57.250000,55.750000,57.000000,43.439430,2118300
2000-05-17,56.500000,56.875000,55.812500,56.625000,43.153671,1853200
2000-05-18,56.875000,56.875000,54.750000,55.312500,42.153408,2900800
2000-05-19,54.625000,54.750000,52.687500,52.875000,40.295799,3977600
2000-05-22,52.000000,52.062500,49.125000,50.312500,38.342918,3925800
2000-05-23,49.500000,49.500000,46.062500,47.875000,36.485317,6881200
2000-05-24,48.500000,50.250000,46.937500,49.312500,37.580833,6183000
2000-05-25,49.875000,51.875000,49.625000,50.062500,38.152397,5287100
2000-05-26,51.000000,51.062500,48.500000,49.375000,37.628468,1852700
2000-05-30,49.625000,51.875000,49.562500,51.562500,39.295551,2891900
2000-05-31,51.875000,52.875000,51.500000,51.625000,39.343174,3231600
2000-06-01,51.625000,51.625000,50.187500,50.500000,38.485817,2753400
2000-06-02,51.000000,51.187500,48.562500,49.125000,37.437950,4364700
2000-06-05,49.125000,50.812500,48.937500,49.750000,37.914253,3075800
2000-06-06,50.000000,51.000000,49.250000,50.312500,38.342918,2884500
2000-06-07,49.812500,49.875000,48.125000,48.375000,36.866383,4156200
2000-06-08,47.625000,48.000000,46.625000,47.250000,36.009018,5832500
2000-06-09,47.500000,49.250000,47.500000,48.500000,36.961643,2059600
2000-06-12,48.250000,48.500000,47.000000,48.281200,36.794891,3449800
2000-06-13,48.312500,49.437500,48.062500,49.156200,37.461720,1926900
2000-06-14,49.500000,50.812500,49.375000,50.406200,38.414349,2450300
2000-06-15,50.500000,51.750000,49.625000,50.562500,38.533463,2805100
2000-06-16,50.375000,50.500000,49.125000,49.937500,38.057144,3137200
2000-06-19,49.250000,51.000000,48.062500,50.718700,38.652489,2346700
2000-06-20,50.750000,51.125000,50.250000,50.656200,38.604866,2947400
2000-06-21,50.875000,51.000000,49.750000,50.406200,38.414349,2482800
2000-06-22,50.000000,50.062500,47.875000,48.000000,36.580578,3596100
2000-06-23,48.000000,48.500000,47.250000,47.562500,36.247169,2615100
2000-06-26,47.562500,48.312500,47.125000,47.812500,36.437683,3115900
2000-06-27,48.250000,48.437500,47.000000,47.000000,35.818501,2928600
2000-06-28,46.875000,47.937500,46.000000,47.546799,36.235199,2719000
2000-06-29,47.375000,48.250000,46.000000,47.937500,36.532951,4387000
2000-06-30,48.125000,50.875000,46.812500,49.812500,37.961887,4473400
2000-07-03,49.812500,49.812500,47.562500,48.812500,37.199795,1538600
2000-07-05,49.000000,49.000000,47.687500,48.000000,36.618092,2704300
2000-07-06,47.875000,49.375000,47.500000,48.750000,37.190247,2352100
2000-07-07,49.000000,50.312500,48.875000,50.062500,38.191532,3311100
2000-07-10,49.750000,50.687500,49.750000,50.500000,38.525284,2819100
2000-07-11,50.625000,51.250000,50.000000,51.250000,39.097450,2295400
2000-07-12,52.000000,52.000000,49.562500,50.187500,38.286884,2426200
2000-07-13,50.187500,51.625000,50.062500,50.750000,38.716003,3739500
2000-07-14,50.750000,51.250000,49.562500,50.250000,38.334579,2031800
2000-07-17,49.750000,51.312500,49.625000,50.875000,38.811375,1959000
2000-07-18,50.812500,52.312500,50.000000,52.062500,39.717281,1959500
2000-07-19,51.875000,51.937500,49.562500,50.500000,38.525284,2226700
2000-07-20,50.937500,51.875000,50.875000,51.437500,39.240475,1739000
2000-07-21,51.500000,51.750000,50.312500,50.500000,38.525284,1769600
2000-07-24,50.250000,52.437500,50.250000,52.312500,39.908001,1622100
2000-07-25,52.500000,53.000000,52.125000,52.562500,40.098724,2312400
2000-07-26,52.125000,52.500000,51.187500,51.750000,39.478878,2296500
2000-07-27,52.250000,54.625000,51.906200,54.000000,41.195362,2254000
2000-07-28,54.625000,55.000000,51.562500,52.000000,39.669605,2741400
2000-07-31,52.625000,53.250000,51.062500,51.062500,38.954414,2054600
2000-08-01,52.500000,54.937500,52.125000,54.687500,41.719822,2819900
2000-08-02,54.562500,55.312500,54.125000,54.562500,41.624466,2097000
2000-08-03,54.250000,55.437500,54.000000,55.000000,41.958237,2116200
2000-08-04,54.937500,56.187500,54.125000,55.750000,42.530380,1848300
2000-08-07,56.000000,56.187500,55.500000,55.875000,42.625740,1913100
2000-08-08,56.125000,56.187500,54.312500,55.437500,42.291988,2433600
2000-08-09,55.187500,57.125000,54.812500,56.250000,42.911831,3238900
2000-08-10,56.437500,56.875000,56.000000,56.250000,42.911831,2212200
2000-08-11,56.250000,56.562500,54.375000,55.000000,41.958237,2269800
2000-08-14,54.750000,54.812500,53.500000,54.312500,41.433769,2072800
2000-08-15,53.750000,54.187500,53.375000,53.750000,41.004639,2478300
2000-08-16,54.000000,55.875000,54.000000,54.500000,41.576786,1610500
2000-08-17,54.875000,56.625000,51.500000,52.500000,40.051029,6918000
2000-08-18,52.000000,52.125000,50.000000,50.812500,38.763676,5189200
2000-08-21,51.250000,53.187500,49.000000,51.000000,38.906715,2981700
