Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.072691,7.072691,6.999018,7.023576,0.992953,330000
2000-01-03,6.999018,7.023576,6.827112,6.925344,0.979066,1051800
2000-01-04,6.876228,7.072691,6.851670,6.999018,0.989482,875200
2000-01-05,7.072691,7.367387,7.023576,7.293713,1.031144,1086200
2000-01-06,7.269155,7.293713,7.072691,7.244597,1.024200,479200
2000-01-07,7.220039,7.367387,7.146366,7.220039,1.020729,623700
2000-01-10,7.293713,7.416503,7.293713,7.391945,1.045032,853500
2000-01-11,7.342829,7.367387,7.121808,7.170923,1.013784,1031900
2000-01-12,7.121808,7.293713,7.072691,7.293713,1.031144,503100
2000-01-13,7.220039,7.269155,7.072691,7.220039,1.020729,439500
2000-01-14,7.220039,7.244597,7.072691,7.097250,1.003369,424500
2000-01-18,6.999018,7.023576,6.876228,6.876228,0.972122,907000
2000-01-19,6.851670,7.097250,6.827112,7.072691,0.999897,517100
2000-01-20,7.048133,7.269155,6.974460,7.269155,1.027672,795500
2000-01-21,7.170923,7.833988,7.146366,7.833988,1.107525,1663900
2000-01-24,7.858546,8.521611,7.858546,8.374263,1.183906,2353800
2000-01-25,8.374263,8.497053,7.711198,7.760314,1.097109,1591100
2000-01-26,7.760314,7.784873,7.539293,7.612967,1.076278,1899800
2000-01-27,7.588408,7.637525,7.391945,7.514735,1.101455,1927000
2000-01-28,7.490177,7.612967,7.146366,7.220039,1.058261,4582200
2000-01-31,7.220039,7.293713,7.195481,7.220039,1.058261,1388800
2000-02-01,7.293713,7.391945,7.220039,7.391945,1.083457,2404500
2000-02-02,7.391945,7.490177,7.269155,7.293713,1.069059,468500
2000-02-03,7.318271,7.833988,7.318271,7.465619,1.094256,823500
2000-02-04,7.563851,7.662083,7.318271,7.391945,1.083457,806000
2000-02-07,7.465619,7.465619,7.048133,7.072691,1.036663,381400
2000-02-08,7.146366,7.220039,6.974460,6.999018,1.025865,587600
2000-02-09,7.072691,7.269155,6.999018,6.999018,1.025865,427000
2000-02-10,6.925344,7.146366,6.827112,6.900786,1.011467,453700
2000-02-11,6.949902,6.949902,6.827112,6.851670,1.004267,432100
2000-02-14,6.851670,7.048133,6.802554,6.851670,1.004267,383200
2000-02-15,6.949902,6.999018,6.851670,6.900786,1.011467,544100
2000-02-16,6.851670,6.925344,6.827112,6.876228,1.007868,318300
2000-02-17,6.802554,6.851670,6.606091,6.704322,0.982671,748200
2000-02-18,6.802554,6.802554,6.556974,6.581532,0.964673,1678900
2000-02-22,6.728880,6.728880,6.483301,6.581532,0.964673,911800
2000-02-23,6.606091,6.606091,6.409626,6.458743,0.946675,609000
2000-02-24,6.483301,6.483301,6.164047,6.311395,0.925078,818900
2000-02-25,6.262279,6.286837,6.090374,6.114931,0.896282,400500
2000-02-28,5.697446,5.722004,5.009823,5.108055,0.748702,7257000
2000-02-29,5.353634,5.451867,5.009823,5.083497,0.745102,3340800
2000-03-01,5.108055,5.132613,5.034381,5.058939,0.741502,1337900
2000-03-02,5.157171,5.157171,5.034381,5.108055,0.748702,1819600
2000-03-03,5.108055,5.304519,5.083497,5.230845,0.766699,7889500
2000-03-06,5.500982,5.525540,5.230845,5.255403,0.770298,2863800
2000-03-07,5.255403,5.378192,5.255403,5.378192,0.788296,2221700
2000-03-08,5.500982,5.599214,5.451867,5.500982,0.806294,1765400
2000-03-09,5.550098,5.672888,5.500982,5.648330,0.827891,2834800
2000-03-10,5.672888,5.795678,5.648330,5.771120,0.845889,3997900
2000-03-13,5.722004,5.820236,5.697446,5.795678,0.849488,1957800
2000-03-14,5.795678,6.090374,5.771120,5.869352,0.860287,2977900
2000-03-15,5.893909,6.286837,5.893909,6.188605,0.907081,1661800
2000-03-16,6.139489,6.532416,6.139489,6.360511,0.932277,1575800
2000-03-17,6.237721,6.385069,6.188605,6.286837,0.921479,1198400
2000-03-20,6.360511,6.385069,6.188605,6.262279,0.917879,857600
2000-03-21,6.360511,6.385069,6.237721,6.237721,0.914280,801400
2000-03-22,6.188605,6.262279,6.139489,6.213163,0.910680,747900
2000-03-23,6.188605,6.385069,6.139489,6.188605,0.907081,1432300
2000-03-24,6.139489,6.335953,6.139489,6.286837,0.921479,736000
2000-03-27,6.335953,6.385069,6.286837,6.286837,0.921479,508400
2000-03-28,6.286837,6.311395,6.164047,6.188605,0.907081,668800
2000-03-29,6.164047,6.458743,6.164047,6.409626,0.939476,2040000
2000-03-30,6.458743,6.581532,6.434185,6.483301,0.950275,654300
2000-03-31,6.483301,6.630648,6.458743,6.630648,0.971872,1062700
2000-04-03,6.679764,6.679764,6.360511,6.458743,0.946675,1685000
2000-04-04,6.385069,6.753438,6.385069,6.458743,0.946675,1204500
2000-04-05,6.434185,6.827112,6.434185,6.679764,0.979071,2283100
2000-04-06,6.728880,6.753438,6.630648,6.655206,0.975472,2536300
2000-04-07,6.655206,6.655206,6.483301,6.556974,0.961074,2238000
