Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.437500,20.500000,20.000000,20.500000,13.562558,367100
2000-01-03,20.250000,20.375000,19.812500,20.125000,13.314459,694200
2000-01-04,20.125000,20.375000,19.875000,20.250000,13.397157,859600
2000-01-05,20.250000,20.375000,19.750000,20.125000,13.314459,969300
2000-01-06,20.187500,21.562500,19.687500,21.312500,14.100095,1390700
2000-01-07,21.250000,21.375000,20.500000,20.687500,13.686599,730800
2000-01-10,20.812500,21.312500,20.375000,21.312500,14.100095,700400
2000-01-11,21.125000,21.687500,21.062500,21.375000,14.141438,749700
2000-01-12,21.625000,21.812500,20.937500,21.187500,14.017399,666400
2000-01-13,21.437500,22.750000,21.312500,21.750000,14.389539,1058900
2000-01-14,21.750000,21.875000,21.250000,21.437500,14.182784,871300
2000-01-18,21.000000,21.000000,20.125000,20.375000,13.479857,1251300
2000-01-19,20.250000,20.437500,20.000000,20.062500,13.273108,1144700
2000-01-20,20.062500,20.250000,19.187500,19.750000,13.066361,2308200
2000-01-21,20.000000,20.000000,19.437500,19.687500,13.025014,728400
2000-01-24,19.937500,19.937500,18.937500,18.937500,12.528820,743800
2000-01-25,19.000000,19.812500,18.312500,18.812500,12.446120,848000
2000-01-26,18.437500,18.750000,17.312500,17.750000,11.743187,1686100
2000-01-27,18.125000,18.437500,17.312500,17.500000,11.577785,1854000
2000-01-28,17.250000,17.687500,17.062500,17.250000,11.412395,1595000
2000-01-31,17.250000,17.312500,16.562500,17.000000,11.246994,1309500
2000-02-01,16.750000,17.250000,16.750000,16.750000,11.081597,1023700
2000-02-02,16.562500,16.750000,16.250000,16.312500,10.922573,1065900
2000-02-03,16.375000,16.500000,16.000000,16.062500,10.755177,1025200
2000-02-04,16.062500,16.187500,15.500000,15.750000,10.545930,1264800
2000-02-07,16.000000,16.437500,15.750000,16.250000,10.880723,1249800
2000-02-08,16.000000,16.250000,15.312500,15.375000,10.294840,1128600
