Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.218750,10.343750,10.187500,10.312500,2.432215,101800
2000-01-03,10.437500,10.437500,10.187500,10.375000,2.446955,98800
2000-01-04,10.281250,10.406250,10.093750,10.250000,2.417475,119800
2000-01-05,10.187500,10.312500,10.093750,10.187500,2.402733,96400
2000-01-06,10.250000,10.312500,10.125000,10.312500,2.432215,64600
2000-01-07,10.375000,10.500000,10.187500,10.500000,2.476438,137600
2000-01-10,10.500000,10.718750,10.500000,10.687500,2.520656,116000
2000-01-11,10.656250,10.875000,10.656250,10.718750,2.528028,145000
2000-01-12,10.781250,10.937500,10.687500,10.781250,2.542769,99800
2000-01-13,10.843750,10.843750,10.625000,10.781250,2.542769,71200
2000-01-14,10.781250,11.000000,10.750000,10.843750,2.557509,114600
2000-01-18,10.843750,11.000000,10.750000,11.000000,2.594362,82400
2000-01-19,10.875000,10.968750,10.781250,10.906250,2.572252,119000
2000-01-20,10.937500,10.937500,10.812500,10.875000,2.564881,66400
2000-01-21,10.812500,10.968750,10.750000,10.843750,2.557509,96800
2000-01-24,10.906250,11.000000,10.843750,10.875000,2.564881,93000
2000-01-25,10.875000,10.968750,10.875000,10.968750,2.586992,65400
2000-01-26,11.000000,11.000000,10.656250,10.750000,2.535397,85600
2000-01-27,10.687500,10.937500,10.687500,10.937500,2.579621,78600
2000-01-28,10.781250,10.875000,10.781250,10.843750,2.600304,72200
2000-01-31,10.812500,10.812500,10.625000,10.625000,2.547846,94400
2000-02-01,10.625000,10.812500,10.593750,10.812500,2.592810,51200
2000-02-02,10.750000,10.812500,10.687500,10.781250,2.585315,51600
2000-02-03,10.593750,10.968750,10.593750,10.812500,2.592810,118800
2000-02-04,10.875000,10.875000,10.750000,10.781250,2.585315,66800
2000-02-07,10.750000,10.812500,10.687500,10.750000,2.577824,63400
2000-02-08,10.875000,10.875000,10.625000,10.687500,2.562834,71200
2000-02-09,10.750000,10.812500,10.687500,10.750000,2.577824,71200
2000-02-10,10.687500,10.750000,10.562500,10.656250,2.555341,138800
2000-02-11,10.625000,10.687500,10.531250,10.656250,2.555341,101400
2000-02-14,10.781250,10.781250,10.500000,10.531250,2.525366,117200
2000-02-15,10.593750,10.656250,10.500000,10.625000,2.547846,65200
2000-02-16,10.531250,10.718750,10.531250,10.531250,2.525366,102800
2000-02-17,10.562500,10.750000,10.500000,10.750000,2.577824,86000
2000-02-18,10.687500,10.750000,10.500000,10.687500,2.562834,86600
2000-02-22,10.500000,10.625000,10.437500,10.625000,2.547846,153600
2000-02-23,10.687500,10.687500,10.500000,10.593750,2.540355,42200
2000-02-24,10.562500,10.625000,10.468750,10.562500,2.532861,53000
2000-02-25,10.531250,10.656250,10.468750,10.531250,2.525366,67800
2000-02-28,10.406250,10.468750,10.312500,10.406250,2.538786,77600
2000-02-29,10.468750,10.468750,10.312500,10.406250,2.538786,74200
2000-03-01,10.343750,10.500000,10.312500,10.375000,2.531162,67800
2000-03-02,10.312500,10.437500,10.281250,10.437500,2.546411,61800
2000-03-03,10.375000,10.468750,10.375000,10.375000,2.531162,75000
2000-03-06,10.437500,10.625000,10.312500,10.562500,2.576903,96000
2000-03-07,10.500000,10.500000,10.281250,10.312500,2.515913,90600
2000-03-08,10.375000,10.468750,10.125000,10.468750,2.554034,119800
2000-03-09,10.406250,10.406250,10.250000,10.312500,2.515913,83800
2000-03-10,10.343750,10.468750,10.312500,10.343750,2.523537,57200
2000-03-13,10.343750,10.343750,10.187500,10.250000,2.500665,57400
2000-03-14,10.343750,10.343750,10.125000,10.125000,2.470166,91600
2000-03-15,10.093750,10.187500,10.062500,10.093750,2.462544,103600
2000-03-16,10.093750,10.468750,10.031250,10.437500,2.546411,114200
2000-03-17,10.312500,10.625000,10.312500,10.625000,2.592153,79800
2000-03-20,10.625000,10.625000,10.437500,10.500000,2.561658,74000
2000-03-21,10.500000,10.500000,10.312500,10.406250,2.538786,105400
2000-03-22,10.375000,10.468750,10.312500,10.375000,2.531162,57000
2000-03-23,10.312500,10.500000,10.250000,10.437500,2.546411,91200
2000-03-24,10.437500,10.468750,10.312500,10.312500,2.515913,75800
2000-03-27,10.281250,10.531250,10.281250,10.406250,2.538786,100600
2000-03-28,10.531250,10.531250,10.312500,10.312500,2.515913,99400
2000-03-29,10.437500,10.437500,10.343750,10.343750,2.523537,89800
2000-03-30,10.375000,10.375000,10.125000,10.125000,2.514559,105800
2000-03-31,10.250000,10.250000,9.625000,9.625000,2.390383,417200
2000-04-03,9.750000,10.000000,9.687500,9.937500,2.467993,223400
2000-04-04,9.937500,10.000000,9.781250,10.000000,2.483517,129600
2000-04-05,9.937500,10.218750,9.875000,10.093750,2.506799,123800
2000-04-06,10.093750,10.218750,10.062500,10.125000,2.514559,107200
2000-04-07,10.187500,10.250000,10.093750,10.218750,2.537839,56800
2000-04-10,10.218750,10.500000,10.125000,10.281250,2.553363,150600
2000-04-11,10.281250,10.281250,10.000000,10.093750,2.506799,113600
2000-04-12,10.156250,10.437500,10.125000,10.312500,2.561126,112800
2000-04-13,10.250000,10.406250,10.187500,10.281250,2.553363,96600
2000-04-14,10.406250,10.468750,10.281250,10.468750,2.599929,157600
2000-04-17,10.375000,10.437500,10.250000,10.312500,2.561126,71000
2000-04-18,10.375000,10.375000,10.312500,10.375000,2.576648,71800
2000-04-19,10.375000,10.500000,10.312500,10.468750,2.599929,52800
2000-04-20,10.468750,10.531250,10.406250,10.500000,2.607691,61200
2000-04-24,10.500000,10.625000,10.312500,10.625000,2.638736,89400
2000-04-25,10.562500,10.687500,10.531250,10.656250,2.646495,110800
2000-04-26,10.750000,10.843750,10.656250,10.750000,2.669779,85000
2000-04-27,10.656250,10.812500,10.500000,10.718750,2.707657,61400
2000-04-28,10.843750,10.906250,10.500000,10.906250,2.755021,104600
2000-05-01,10.937500,10.968750,10.843750,10.968750,2.770809,61200
2000-05-02,10.906250,10.968750,10.812500,10.937500,2.762916,63000
2000-05-03,10.968750,10.968750,10.656250,10.687500,2.699762,111000
2000-05-04,10.812500,10.875000,10.656250,10.781250,2.723444,105800
2000-05-05,10.812500,11.000000,10.750000,10.968750,2.770809,84200
2000-05-08,11.000000,11.000000,10.843750,10.875000,2.747126,82400
2000-05-09,11.000000,11.125000,10.875000,11.000000,2.778703,90200
2000-05-10,11.031250,11.156250,11.000000,11.125000,2.810280,57000
2000-05-11,11.187500,11.250000,11.156250,11.250000,2.841858,80600
2000-05-12,11.312500,11.437500,11.250000,11.437500,2.889220,84200
2000-05-15,11.500000,11.500000,11.281250,11.468750,2.897116,84200
2000-05-16,11.468750,11.687500,11.281250,11.468750,2.897116,104000
2000-05-17,11.343750,11.437500,11.156250,11.281250,2.849749,104000
2000-05-18,11.250000,11.468750,11.250000,11.281250,2.849749,100800
2000-05-19,11.343750,11.375000,11.156250,11.250000,2.841858,60400
2000-05-22,11.250000,11.468750,11.062500,11.437500,2.889220,74800
2000-05-23,11.468750,11.500000,11.343750,11.437500,2.889220,61200
2000-05-24,11.500000,11.812500,11.375000,11.718750,2.960265,114000
2000-05-25,11.750000,11.875000,11.500000,11.718750,2.960265,106200
2000-05-26,11.718750,12.125000,11.656250,12.031250,3.039208,132800
2000-05-30,12.000000,12.000000,11.625000,11.812500,3.029629,66000
2000-05-31,11.750000,11.875000,11.687500,11.812500,3.029629,129400
2000-06-01,11.875000,11.968750,11.625000,11.687500,2.997567,38400
2000-06-02,11.750000,11.875000,11.625000,11.843750,3.037642,87800
2000-06-05,11.843750,11.968750,11.687500,11.812500,3.029629,71400
2000-06-06,11.750000,11.812500,11.656250,11.812500,3.029629,78400
2000-06-07,11.750000,11.781250,11.625000,11.750000,3.013599,55400
2000-06-08,11.687500,11.781250,11.531250,11.656250,2.989553,79600
2000-06-09,11.656250,11.781250,11.656250,11.750000,3.013599,81000
2000-06-12,11.781250,11.875000,11.718750,11.750000,3.013599,57800
2000-06-13,11.812500,11.843750,11.593750,11.843750,3.037642,62800
2000-06-14,11.843750,11.968750,11.781250,11.968750,3.069702,73400
2000-06-15,12.000000,12.000000,11.812500,12.000000,3.077716,68000
2000-06-16,12.000000,12.093750,11.937500,12.000000,3.077716,113000
2000-06-19,11.812500,12.062500,11.812500,11.968750,3.069702,114600
2000-06-20,12.031250,12.062500,11.906250,11.906250,3.053674,37800
2000-06-21,11.875000,12.000000,11.781250,11.875000,3.045658,68400
2000-06-22,11.875000,12.312500,11.812500,12.312500,3.157866,118400
2000-06-23,12.218750,12.218750,11.812500,11.875000,3.045658,118000
2000-06-26,11.937500,12.031250,11.812500,12.000000,3.077716,51600
2000-06-27,11.937500,12.031250,11.906250,11.937500,3.061688,53200
2000-06-28,12.000000,12.062500,11.906250,12.000000,3.077716,64200
2000-06-29,12.000000,12.218750,11.906250,12.156250,3.165968,75600
2000-06-30,12.218750,12.218750,11.750000,11.789050,3.070333,129000
