Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.512936,5.512936,5.471896,5.499256,1.276730,361800
2000-01-03,5.526615,5.526615,5.389818,5.430857,1.260850,921500
2000-01-04,5.403498,5.471896,5.335099,5.362458,1.244970,403400
2000-01-05,5.403498,5.444537,5.362458,5.417177,1.257674,1007800
2000-01-06,5.430857,5.499256,5.376138,5.417177,1.257674,570600
2000-01-07,5.444537,5.622374,5.444537,5.622374,1.305314,468700
2000-01-10,5.608694,5.649733,5.581334,5.608694,1.302137,385100
2000-01-11,5.595014,5.636053,5.540295,5.540295,1.286258,394200
2000-01-12,5.581334,5.690772,5.581334,5.677093,1.318017,704500
2000-01-13,5.677093,5.813890,5.677093,5.800210,1.346601,490600
2000-01-14,5.786530,5.854929,5.663413,5.745491,1.333897,418000
2000-01-18,5.690772,5.745491,5.636053,5.649733,1.311666,262700
2000-01-19,5.690772,5.786530,5.690772,5.718132,1.327545,287300
2000-01-20,5.745491,5.772851,5.690772,5.759171,1.337072,224300
2000-01-21,5.759171,6.060125,5.718132,6.032766,1.400591,425300
2000-01-24,6.032766,6.183243,5.978047,6.032766,1.400591,572900
2000-01-25,6.032766,6.128524,5.923328,5.923328,1.375184,339400
2000-01-26,5.978047,6.060125,5.895968,5.909648,1.372009,319800
2000-01-27,5.841249,5.854929,5.704452,5.704452,1.397687,243000
2000-01-28,5.704452,5.772851,5.677093,5.704452,1.397687,263100
2000-01-31,5.718132,5.813890,5.581334,5.718132,1.401039,344000
2000-02-01,5.690772,5.800210,5.526615,5.745491,1.407742,258500
2000-02-02,5.800210,5.841249,5.718132,5.800210,1.421149,294200
2000-02-03,5.772851,5.841249,5.608694,5.800210,1.421149,270900
2000-02-04,5.800210,5.800210,5.581334,5.649733,1.384280,270400
2000-02-07,5.649733,5.649733,5.512936,5.526615,1.354114,506200
2000-02-08,5.526615,5.526615,5.266700,5.444537,1.334003,938400
2000-02-09,5.389818,5.444537,5.294060,5.348779,1.310541,564200
2000-02-10,5.321419,5.444537,5.321419,5.403498,1.323948,214200
2000-02-11,5.362458,5.417177,5.143582,5.198301,1.273672,421200
2000-02-14,5.253020,5.389818,5.129903,5.321419,1.303837,276400
