Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.187500,17.187500,16.937500,17.062500,14.870807,84700
2000-01-03,17.312500,17.875000,17.312500,17.437500,15.197636,217000
2000-01-04,17.187500,17.250000,16.625000,16.750000,14.598448,92700
2000-01-05,16.687500,17.125000,16.500000,17.062500,14.870807,237600
2000-01-06,17.062500,17.125000,17.000000,17.062500,14.870807,238100
2000-01-07,17.062500,17.500000,16.812500,17.500000,15.252111,368400
2000-01-10,18.312500,18.437500,17.625000,18.250000,15.905774,241100
2000-01-11,18.125000,18.187500,17.437500,17.625000,15.361059,196500
2000-01-12,17.000000,17.500000,16.625000,16.750000,14.598448,135600
2000-01-13,16.000000,16.437500,15.312500,16.437500,14.326093,909000
2000-01-14,16.625000,16.812500,16.250000,16.312500,14.217144,266300
2000-01-18,16.125000,16.125000,15.875000,16.000000,13.944782,137200
2000-01-19,15.750000,16.250000,15.750000,16.250000,14.162670,165200
2000-01-20,16.375000,16.437500,15.750000,15.750000,13.726899,301600
2000-01-21,15.875000,15.875000,15.500000,15.500000,13.509013,285000
2000-01-24,15.625000,15.750000,14.937500,15.062500,13.127707,268600
2000-01-25,14.937500,15.125000,14.562500,14.750000,12.855350,80200
2000-01-26,14.812500,15.500000,14.750000,15.125000,13.182180,211200
2000-01-27,15.250000,15.687500,15.125000,15.500000,13.509013,170200
2000-01-28,15.875000,16.125000,15.375000,15.375000,13.400065,283000
2000-01-31,15.250000,15.500000,14.750000,14.875000,12.964296,131800
2000-02-01,14.812500,15.187500,14.250000,14.625000,12.746406,237500
2000-02-02,15.125000,15.125000,14.437500,14.562500,12.691934,389800
2000-02-03,14.625000,14.750000,14.312500,14.375000,12.528519,377500
2000-02-04,14.437500,14.750000,14.125000,14.125000,12.310634,298300
2000-02-07,14.875000,16.437500,14.750000,16.250000,14.162670,723000
2000-02-08,16.750000,17.437500,16.375000,16.437500,14.326093,612000
2000-02-09,16.437500,16.437500,15.375000,16.000000,13.944782,255300
2000-02-10,16.000000,16.000000,15.000000,15.062500,13.127707,263400
2000-02-11,15.062500,15.375000,14.437500,15.125000,13.182180,398800
2000-02-14,15.500000,15.750000,15.437500,15.500000,13.509013,240100
2000-02-15,15.625000,15.687500,15.500000,15.562500,13.563484,285500
2000-02-16,15.562500,15.625000,15.437500,15.562500,13.563484,178300
2000-02-17,15.500000,15.500000,15.000000,15.187500,13.236653,206000
2000-02-18,15.062500,15.375000,15.000000,15.000000,13.073234,133600
2000-02-22,15.000000,15.062500,14.500000,14.937500,13.018766,118800
2000-02-23,14.937500,14.937500,14.500000,14.875000,12.964296,101000
2000-02-24,14.812500,15.000000,14.625000,14.687500,12.800875,74000
2000-02-25,15.000000,15.062500,14.812500,14.875000,12.964296,149400
2000-02-28,14.750000,15.687500,14.750000,15.687500,13.672422,173200
2000-02-29,15.625000,16.750000,15.625000,16.750000,14.598448,336500
2000-03-01,16.562500,17.062500,16.437500,17.000000,14.816338,249600
2000-03-02,17.500000,17.500000,17.000000,17.250000,15.034218,308200
2000-03-03,16.875000,16.937500,16.312500,16.437500,14.326093,211500
2000-03-06,16.375000,16.437500,15.812500,15.937500,13.890313,156700
2000-03-07,16.125000,16.625000,15.812500,15.875000,13.835839,297500
2000-03-08,15.687500,15.750000,15.500000,15.562500,13.563484,114800
