Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.708330,2.125000,1.708330,2.125000,2.025180,521800
2000-01-03,2.208330,2.250000,1.833330,1.875000,1.786923,162100
2000-01-04,1.833330,1.916670,1.750000,1.833330,1.747211,110200
2000-01-05,1.791670,1.833330,1.750000,1.791670,1.707507,74100
2000-01-06,1.791670,1.875000,1.750000,1.833330,1.747211,138000
2000-01-07,1.875000,1.875000,1.791670,1.833330,1.747211,111400
2000-01-10,1.833330,1.875000,1.791670,1.791670,1.707507,67600
2000-01-11,1.791670,1.791670,1.750000,1.750000,1.667795,82600
2000-01-12,1.750000,1.750000,1.708330,1.708330,1.628082,179500
2000-01-13,1.708330,1.833330,1.708330,1.833330,1.747211,203700
2000-01-14,1.833330,1.958330,1.791670,1.958330,1.866339,199600
2000-01-18,2.000000,2.208330,2.000000,2.125000,2.025180,288000
2000-01-19,2.083330,2.291670,2.083330,2.166670,2.064892,265000
2000-01-20,2.208330,2.208330,2.041670,2.083330,1.985467,189000
2000-01-21,2.041670,2.041670,1.875000,1.958330,1.866339,244800
2000-01-24,1.958330,2.000000,1.875000,1.875000,1.786923,175000
2000-01-25,1.875000,2.000000,1.875000,1.958330,1.866339,105400
2000-01-26,1.958330,1.958330,1.833330,1.916670,1.826635,172900
2000-01-27,1.833330,1.875000,1.791670,1.833330,1.747211,135900
2000-01-28,1.791670,1.833330,1.750000,1.791670,1.707507,85900
2000-01-31,1.791670,1.833330,1.750000,1.791670,1.707507,72400
2000-02-01,1.833330,1.916670,1.791670,1.875000,1.786923,112200
2000-02-02,1.875000,1.916670,1.833330,1.833330,1.747211,144900
2000-02-03,1.833330,1.875000,1.791670,1.833330,1.747211,205000
2000-02-04,1.875000,1.875000,1.791670,1.833330,1.747211,177100
2000-02-07,1.833330,1.833330,1.791670,1.833330,1.747211,59700
2000-02-08,1.791670,1.791670,1.708330,1.791670,1.707507,149400
2000-02-09,1.750000,1.750000,1.708330,1.750000,1.667795,105000
2000-02-10,1.750000,1.750000,1.666670,1.708330,1.628082,232800
