Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.015625,3.101563,2.968750,3.031250,2.486510,13036800
2000-01-03,2.984375,3.085938,2.906250,3.082025,2.528160,24232000
2000-01-04,3.007813,3.109375,2.968750,2.984375,2.448059,21564800
2000-01-05,2.992188,3.078125,2.960938,3.023438,2.480102,28206400
2000-01-06,3.000000,3.203125,3.000000,3.132813,2.569821,30825600
2000-01-07,3.093750,3.125000,3.031250,3.117188,2.557004,26044800
2000-01-10,3.234375,3.343750,3.226563,3.250000,2.665949,29031200
2000-01-11,3.242188,3.257813,3.148438,3.156250,2.589047,19623200
2000-01-12,3.171875,3.218750,3.093750,3.164063,2.595455,17745600
2000-01-13,3.171875,3.406250,3.171875,3.390625,2.781301,21556000
2000-01-14,3.398438,3.445313,3.289063,3.304688,2.710808,22196800
2000-01-18,3.273438,3.328125,3.164063,3.257813,2.672357,10513600
2000-01-19,3.257813,3.328125,3.179688,3.187500,2.614681,15800800
2000-01-20,3.195313,3.218750,3.070313,3.132813,2.569821,18167200
2000-01-21,3.164063,3.171875,3.093750,3.121088,2.560203,11176000
2000-01-24,3.125000,3.195313,2.890625,3.070313,2.518553,31140000
2000-01-25,3.039063,3.375000,2.976563,3.250000,2.665949,47650400
2000-01-26,3.367188,3.671875,3.343750,3.625000,2.973558,75863200
2000-01-27,3.609375,3.640625,3.539063,3.609375,2.960741,37517600
2000-01-28,3.625000,3.773438,3.617188,3.726563,3.056869,60170400
2000-01-31,3.742188,4.000000,3.734375,4.000000,3.281168,51054400
2000-02-01,3.968750,4.046875,3.929688,4.039063,3.313210,30592000
2000-02-02,4.031250,4.062500,3.859375,3.976563,3.261942,20413600
2000-02-03,3.984375,4.000000,3.796875,3.929688,3.223491,20513600
2000-02-04,4.062500,4.343750,3.937500,4.296875,3.524692,51308800
2000-02-07,4.289063,4.312500,4.171875,4.281250,3.511875,19449600
2000-02-08,4.281250,4.375000,4.257813,4.375000,3.588777,21536000
2000-02-09,4.351563,4.359375,4.257813,4.312500,3.537509,17676000
2000-02-10,4.312500,4.335938,3.945313,4.000000,3.281168,24207200
2000-02-11,3.984375,4.187500,3.984375,4.109375,3.370887,19193600
2000-02-14,4.171875,4.351563,4.109375,4.242188,3.479832,20843200
2000-02-15,4.242188,4.359375,4.046875,4.328125,3.550326,16425600
2000-02-16,4.328125,4.335938,4.265625,4.273438,3.505467,16617600
2000-02-17,4.296875,4.343750,4.250000,4.328125,3.550326,11840800
2000-02-18,4.320313,4.375000,4.062500,4.140625,3.396522,17745600
2000-02-22,4.109375,4.210938,4.039063,4.148438,3.402930,13170400
2000-02-23,4.117188,4.382813,4.093750,4.359375,3.575961,18372800
2000-02-24,4.359375,4.523438,4.210938,4.382813,3.595186,24721600
2000-02-25,4.351563,4.375000,4.187500,4.218750,3.460607,9384000
2000-02-28,4.187500,4.265625,4.093750,4.257813,3.492649,13456000
2000-02-29,4.218750,4.429688,4.203125,4.390625,3.601596,13168000
2000-03-01,4.390625,4.476563,4.312500,4.343750,3.563144,10548000
2000-03-02,4.320313,4.320313,4.078125,4.156250,3.409338,13367200
2000-03-03,4.203125,4.718750,4.203125,4.648438,3.813077,28210400
2000-03-06,4.615225,4.617188,4.460938,4.484375,3.678497,11278400
2000-03-07,4.492188,4.515625,4.250000,4.265625,3.499058,12872000
2000-03-08,4.257813,4.343750,4.140625,4.234375,3.473424,15707200
2000-03-09,4.218750,4.531250,4.125000,4.515625,3.704132,13624800
2000-03-10,4.460938,4.500000,4.328125,4.453125,3.652863,9488000
2000-03-13,4.320313,4.437500,4.281250,4.343750,3.563144,14124800
2000-03-14,4.373037,4.429688,4.171875,4.179688,3.428563,9474400
2000-03-15,4.156250,4.492188,4.156250,4.398438,3.608003,14703200
2000-03-16,4.398438,4.867188,4.398438,4.796875,3.934838,35879200
2000-03-17,4.687500,4.773438,4.546875,4.632813,3.800258,19867200
2000-03-20,4.562500,4.593750,4.375000,4.398438,3.608003,10842400
2000-03-21,4.421875,4.878900,4.398438,4.875000,3.998923,21850400
2000-03-22,4.796875,4.976563,4.687500,4.890625,4.011740,24861600
2000-03-23,4.828125,5.000000,4.812500,4.921875,4.037374,18564800
2000-03-24,4.953125,5.000000,4.695313,4.828125,3.960471,13520000
2000-03-27,4.851563,5.054688,4.843750,4.890625,4.011740,17021600
2000-03-28,4.906250,4.984375,4.687500,4.742188,3.889978,9432000
2000-03-29,4.765625,5.000000,4.710938,4.960938,4.069417,12658400
2000-03-30,4.906250,5.210938,4.906250,4.968750,4.075825,25609600
2000-03-31,4.976563,5.656250,4.914063,5.601563,4.594916,36625600
2000-04-03,5.023438,5.281250,4.906250,5.179688,4.248855,35332000
2000-04-04,5.140625,5.437500,4.937500,5.429688,4.453928,39746400
2000-04-05,5.328125,5.328125,4.906250,4.945313,4.056600,25903200
2000-04-06,4.992188,5.031250,4.562500,4.695313,3.851528,19013600
2000-04-07,4.750000,5.015625,4.750000,5.007813,4.107868,18377600
2000-04-10,5.031250,5.039063,4.570313,4.578125,3.755400,13938400
2000-04-11,4.578125,4.875000,4.468750,4.742188,3.889978,10528000
2000-04-12,4.746088,4.820313,4.671875,4.703125,3.857934,11848800
2000-04-13,4.710938,5.015625,4.695313,4.978512,4.083833,27032000
2000-04-14,4.867188,4.875000,4.226563,4.398438,3.608003,20801600
2000-04-17,4.281250,4.570313,4.179688,4.515625,3.704132,19577600
2000-04-18,4.531250,4.703125,4.453125,4.679688,3.838709,12808800
2000-04-19,4.648438,4.867188,4.593750,4.656250,3.819485,16598400
2000-04-20,4.664063,4.750000,4.500000,4.679688,3.838709,8062400
2000-04-24,4.625000,5.078125,4.609375,4.992188,4.095051,15964000
2000-04-25,4.812500,4.921875,4.375000,4.773438,3.915612,29955200
2000-04-26,4.714838,4.726563,4.562500,4.640625,3.806668,18652000
2000-04-27,4.507813,4.640625,4.429688,4.632813,3.800258,22625600
2000-04-28,4.210938,4.257813,3.750000,3.779288,3.100119,131648000
2000-05-01,3.875000,3.914063,3.765625,3.867188,3.172222,59110400
2000-05-02,4.023438,4.187500,3.976563,3.992188,3.274759,32888000
2000-05-03,4.015625,4.015625,3.875000,3.976563,3.261942,19873600
2000-05-04,3.960938,4.234375,3.953125,4.179688,3.428563,24694400
2000-05-05,4.117188,4.218750,3.982413,4.210938,3.454199,17266400
2000-05-08,4.203125,4.203125,4.093750,4.125000,3.383705,13504800
2000-05-09,4.140625,4.187500,4.015625,4.171875,3.422155,12227200
2000-05-10,4.156250,4.203125,4.031250,4.070313,3.338844,10658400
2000-05-11,4.070313,4.187500,3.992188,4.156250,3.409338,10589600
2000-05-12,4.125000,4.140625,4.007813,4.070313,3.338844,6435200
2000-05-15,3.867188,4.078125,3.687500,4.062500,3.332437,32682400
2000-05-16,4.234375,4.250000,4.085938,4.156250,3.409338,18169600
2000-05-17,4.078125,4.218750,4.046875,4.054688,3.326027,12980000
2000-05-18,4.070313,4.093750,3.835938,3.835938,3.146589,7735200
2000-05-19,3.757813,3.843750,3.750000,3.765625,3.088911,10980000
2000-05-22,3.750000,3.750000,3.500000,3.734375,3.063277,15147200
2000-05-23,3.734375,3.804688,3.539063,3.539063,2.903064,11849600
2000-05-24,3.632813,3.906250,3.617188,3.875000,3.178632,20748000
2000-05-25,3.875000,3.984375,3.718750,3.734375,3.063277,10899200
2000-05-26,3.796875,3.875000,3.601563,3.640625,2.986375,7568000
2000-05-30,3.703125,4.132813,3.703125,4.132813,3.390113,15240800
2000-05-31,4.101563,4.375000,4.070313,4.250000,3.486241,25138400
2000-06-01,4.265625,4.367188,4.195313,4.312500,3.537509,14414400
2000-06-02,4.375000,4.613275,4.351563,4.601563,3.774625,18244800
2000-06-05,4.562500,4.781250,4.429688,4.453125,3.652863,15199200
2000-06-06,4.875000,4.937500,4.679688,4.687500,3.845118,80343200
2000-06-07,4.656250,4.671875,4.000000,4.320313,3.543919,295411200
2000-06-08,4.320313,4.462887,4.312500,4.414063,3.620820,40236000
2000-06-09,4.468750,4.562500,4.375000,4.468750,3.665680,12570400
2000-06-12,4.472650,4.476563,4.226563,4.234375,3.473424,16373600
2000-06-13,4.265625,4.601563,4.250000,4.492188,3.684906,13188800
2000-06-14,4.500000,4.505850,4.304688,4.398438,3.608003,8879200
