Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,36.937500,37.062500,36.531250,36.531250,28.280024,231800
2000-01-03,36.500000,36.500000,34.218750,34.875000,26.997858,1295400
2000-01-04,34.750000,34.750000,32.562500,32.937500,25.497984,1316000
2000-01-05,32.937500,34.062500,32.625000,33.531250,25.957617,1039400
2000-01-06,33.500000,35.187500,33.406250,34.937500,27.046238,1356200
2000-01-07,35.312500,36.343750,35.062500,36.187500,28.013912,1162400
2000-01-10,35.875000,36.406250,35.812500,35.968750,27.844566,1036600
2000-01-11,36.000000,37.093750,35.906250,36.687500,28.400967,1381000
2000-01-12,36.187500,37.500000,36.187500,37.281250,28.860624,1287800
2000-01-13,37.875000,38.406250,37.593750,38.187500,29.562160,1416000
2000-01-14,38.625000,39.687500,38.187500,39.531250,30.602432,1221800
2000-01-18,39.437500,39.437500,37.500000,38.250000,29.610550,1975000
2000-01-19,38.250000,38.750000,37.937500,38.187500,29.562160,1082000
2000-01-20,38.187500,38.187500,37.250000,37.968750,29.392832,1067200
2000-01-21,38.218750,38.625000,37.593750,38.468750,29.779900,1318200
2000-01-24,38.500000,38.687500,37.375000,37.593750,29.102531,952800
2000-01-25,37.593750,39.000000,37.531250,38.968750,30.166965,1167200
2000-01-26,38.750000,40.406250,38.531250,40.406250,31.279783,808800
2000-01-27,40.718750,41.375000,40.375000,41.375000,32.029716,1263000
2000-01-28,40.437500,40.562500,39.187500,39.375000,30.481449,1276000
2000-01-31,38.937500,40.250000,38.750000,40.093750,31.037863,1485600
2000-02-01,40.000000,41.218750,39.531250,41.062500,31.787806,1055000
2000-02-02,40.937500,41.281250,40.156250,41.125000,31.836174,1208000
2000-02-03,41.125000,41.843750,40.281250,41.843750,32.392593,1018800
2000-02-04,41.875000,42.218750,40.031250,40.406250,31.279783,1140000
2000-02-07,40.531250,40.625000,39.843750,40.031250,30.989481,477400
2000-02-08,40.500000,42.093750,40.312500,42.093750,32.586132,1227000
2000-02-09,41.375000,41.375000,40.187500,40.250000,31.158812,644400
2000-02-10,40.125000,40.343750,39.125000,39.562500,30.626610,744600
2000-02-11,39.687500,40.375000,39.062500,39.281250,30.408894,593600
2000-02-14,39.156250,39.500000,38.437500,39.375000,30.481449,921600
2000-02-15,39.500000,40.218750,39.062500,40.093750,31.037863,966200
2000-02-16,39.750000,40.000000,39.375000,39.687500,30.723377,573400
2000-02-17,39.812500,40.093750,38.406250,38.843750,30.070194,646600
2000-02-18,38.500000,38.593750,36.750000,37.031250,28.667093,1400600
2000-02-22,37.000000,38.375000,36.875000,38.312500,29.658953,1375800
2000-02-23,37.750000,37.843750,37.062500,37.062500,28.691286,1006800
2000-02-24,36.500000,36.750000,35.500000,36.312500,28.110676,1386400
2000-02-25,36.312500,37.250000,35.500000,35.875000,27.771982,1625800
2000-02-28,35.875000,37.718750,35.875000,36.843750,28.521929,1349400
2000-02-29,36.718750,37.000000,35.875000,36.437500,28.207432,969000
2000-03-01,36.312500,36.375000,35.625000,36.125000,27.965519,839800
2000-03-02,36.187500,36.312500,35.718750,36.093750,27.941330,417800
2000-03-03,36.687500,36.968750,36.031250,36.062500,27.917152,1005200
2000-03-06,35.250000,36.062500,35.125000,35.218750,27.263952,807200
2000-03-07,34.625000,34.812500,32.937500,32.937500,25.497984,1607000
2000-03-08,32.812500,32.843750,31.218750,31.687500,24.530319,2721000
2000-03-09,31.687500,33.343750,31.687500,33.312500,25.788277,1055800
2000-03-10,33.562500,34.000000,33.093750,33.812500,26.175343,1189400
2000-03-13,32.937500,35.125000,32.781250,33.656250,26.054392,1246000
2000-03-14,33.562500,34.218750,32.843750,33.156250,25.667322,600800
2000-03-15,33.625000,37.312500,33.625000,36.406250,28.183264,2607200
2000-03-16,37.500000,43.000000,37.468750,42.906250,33.215118,4875400
2000-03-17,42.781250,44.156250,42.187500,43.187500,33.432838,3376400
2000-03-20,43.000000,43.000000,40.406250,42.437500,32.852226,2233800
2000-03-21,41.187500,44.375000,41.062500,43.625000,33.771534,2135600
2000-03-22,44.125000,46.625000,43.750000,46.250000,35.803612,1571000
2000-03-23,45.593750,50.750000,45.312500,50.218750,38.875961,2686000
2000-03-24,49.625000,49.625000,46.000000,46.812500,36.239067,3182800
2000-03-27,47.312500,47.343750,44.656250,46.031250,35.634266,1371800
2000-03-28,47.000000,49.750000,47.000000,47.281250,36.601936,1717200
2000-03-29,48.437500,49.468750,47.781250,48.375000,37.448654,1372000
2000-03-30,48.312500,49.000000,46.625000,46.656250,36.237968,1184800
2000-03-31,47.500000,49.843750,47.500000,48.437500,37.621456,1586600
2000-04-03,48.625000,54.312500,48.625000,53.062500,41.213692,2409000
2000-04-04,51.500000,53.125000,48.718750,51.125000,39.708851,3082800
2000-04-05,50.968750,51.437500,49.406250,50.437500,39.174866,1430200
2000-04-06,50.468750,50.625000,47.375000,48.468750,37.645744,1371800
2000-04-07,48.250000,48.281250,46.031250,46.875000,36.407860,1270000
2000-04-10,46.812500,49.375000,46.312500,48.750000,37.864189,1573400
2000-04-11,48.875000,49.718750,48.093750,48.937500,38.009815,888200
2000-04-12,49.750000,53.250000,49.750000,50.687500,39.369034,1929800
2000-04-13,50.687500,50.687500,48.406250,48.531250,37.694294,1182400
2000-04-14,48.406250,48.406250,42.593750,43.562500,33.835041,2731800
2000-04-17,44.062500,46.187500,44.062500,45.093750,35.024361,2148200
2000-04-18,46.000000,48.968750,45.812500,48.750000,37.864189,1861800
2000-04-19,48.500000,48.500000,46.437500,46.812500,36.359325,809000
2000-04-20,46.875000,48.062500,46.750000,47.968750,37.257374,747800
2000-04-24,47.062500,49.875000,47.062500,49.781250,38.665146,1512200
2000-04-25,49.812500,52.125000,49.500000,51.968750,40.364204,1579200
2000-04-26,51.937500,51.937500,49.750000,49.968750,38.810787,1596400
2000-04-27,48.250000,49.656250,47.531250,49.468750,38.422443,1989600
2000-04-28,49.062500,49.750000,47.906250,48.437500,37.621456,1048400
