Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.500000,19.812500,19.406250,19.781250,12.358418,550400
2000-01-03,19.500000,19.500000,19.000000,19.062500,11.909383,1233200
2000-01-04,18.750000,19.156250,18.437500,18.468750,11.538427,1054200
2000-01-05,18.500000,19.093750,18.500000,18.625000,11.712140,1334200
2000-01-06,18.500000,19.500000,18.375000,19.406250,12.203428,1557400
2000-01-07,19.406250,19.468750,19.093750,19.437500,12.223075,1157400
2000-01-10,19.468750,19.500000,19.062500,19.500000,12.262377,1400200
2000-01-11,19.437500,19.562500,19.312500,19.500000,12.262377,1363600
2000-01-12,19.500000,20.375000,19.500000,20.218750,12.714357,1722600
2000-01-13,20.000000,20.187500,19.843750,20.062500,12.616106,829800
2000-01-14,20.281250,20.281250,19.625000,19.687500,12.380284,1239200
2000-01-18,19.625000,19.656250,19.468750,19.562500,12.301682,844000
2000-01-19,19.500000,19.562500,19.062500,19.093750,12.006917,884600
2000-01-20,19.218750,19.218750,17.937500,18.000000,11.319119,1828000
2000-01-21,17.562500,17.937500,17.500000,17.750000,11.161908,2703000
2000-01-24,18.437500,18.593750,16.937500,17.000000,10.690274,2744200
2000-01-25,17.093750,17.625000,17.062500,17.218750,10.827839,2003400
2000-01-26,17.250000,17.656250,17.187500,17.468750,10.985046,1293600
2000-01-27,17.468750,17.906250,17.031250,17.250000,10.847488,1386000
2000-01-28,17.000000,17.125000,16.687500,17.031250,10.709933,1614600
2000-01-31,17.031250,17.781250,16.843750,17.781250,11.181562,1582400
2000-02-01,17.656250,17.656250,17.281250,17.625000,11.083309,2481800
2000-02-02,17.875000,18.437500,17.656250,17.687500,11.122603,2060000
2000-02-03,17.562500,17.593750,17.000000,17.218750,10.827839,2103600
2000-02-04,17.093750,17.187500,16.812500,16.875000,10.611672,1121400
2000-02-07,16.500000,16.593750,16.156250,16.343750,10.277604,2348200
2000-02-08,16.468750,16.500000,16.125000,16.375000,10.297255,1919400
2000-02-09,16.375000,16.437500,16.125000,16.406250,10.316904,2264200
2000-02-10,16.406250,16.687500,16.312500,16.531250,10.395509,2312000
2000-02-11,16.625000,16.656250,16.156250,16.406250,10.316904,1191200
2000-02-14,16.281250,16.500000,16.187500,16.406250,10.316904,953400
2000-02-15,16.531250,16.937500,16.531250,16.843750,10.592024,1353400
2000-02-16,16.843750,17.343750,16.500000,17.156250,10.788536,1615200
2000-02-17,17.031250,17.531250,16.812500,17.531250,11.024350,1875000
2000-02-18,17.531250,17.656250,16.625000,17.000000,10.690274,1341000
2000-02-22,16.812500,17.093750,16.625000,17.000000,10.690274,1019000
2000-02-23,16.781250,16.937500,16.562500,16.625000,10.454462,964600
2000-02-24,16.625000,16.625000,15.375000,16.000000,10.061438,1657000
2000-02-25,16.000000,16.343750,15.812500,15.906250,10.002486,1415800
2000-02-28,15.968750,16.218750,15.562500,16.156250,10.159695,1515400
2000-02-29,16.187500,16.562500,15.812500,16.406250,10.316904,1377600
2000-03-01,16.406250,16.625000,16.218750,16.562500,10.415164,1021000
2000-03-02,16.656250,16.656250,15.937500,16.062500,10.100739,1168800
2000-03-03,16.125000,16.250000,15.843750,15.937500,10.022135,1654200
2000-03-06,15.500000,15.531250,14.468750,14.750000,9.275391,2606600
2000-03-07,14.500000,14.500000,13.156250,13.625000,8.567942,3850800
2000-03-08,13.250000,13.906250,13.062500,13.875000,8.725153,2448600
2000-03-09,14.000000,15.093750,14.000000,14.812500,9.314689,2168400
2000-03-10,14.687500,14.812500,14.000000,14.406250,9.059223,2480800
2000-03-13,14.250000,14.437500,14.000000,14.187500,8.921666,1972800
2000-03-14,14.812500,15.187500,14.125000,14.187500,8.921666,2495800
2000-03-15,14.000000,16.156250,14.000000,16.062500,10.100739,3033200
2000-03-16,15.812500,17.343750,15.625000,17.250000,10.847488,3821400
2000-03-17,17.187500,17.281250,16.687500,17.031250,10.709933,2534600
2000-03-20,17.093750,17.093750,16.531250,16.843750,10.592024,1228000
2000-03-21,17.156250,17.437500,16.812500,17.125000,10.768883,1533600
2000-03-22,17.125000,17.156250,16.562500,17.156250,10.788536,1911600
2000-03-23,17.062500,17.062500,16.656250,16.968750,10.670627,1190800
2000-03-24,17.000000,17.625000,16.968750,17.156250,10.788536,2109600
2000-03-27,17.156250,17.562500,16.906250,17.312500,10.886791,1129000
2000-03-28,17.312500,17.468750,16.968750,17.000000,10.690274,2474600
2000-03-29,17.000000,17.031250,16.750000,17.000000,10.690274,1530600
2000-03-30,17.000000,18.000000,16.906250,17.875000,11.240509,2105600
2000-03-31,17.875000,18.500000,17.687500,18.062500,11.358420,1965400
2000-04-03,17.906250,18.375000,17.562500,18.281250,11.495980,1517000
2000-04-04,18.312500,19.281250,18.250000,19.187500,12.065865,2570200
2000-04-05,19.031250,19.218750,18.875000,19.000000,12.023152,1421000
2000-04-06,18.625000,19.250000,18.468750,19.218750,12.161578,2152800
2000-04-07,19.000000,19.125000,18.625000,18.875000,11.944051,1203600
2000-04-10,18.437500,19.000000,18.437500,18.687500,11.825405,1360400
2000-04-11,18.718750,19.125000,18.718750,18.968750,12.003378,1799200
2000-04-12,19.000000,19.125000,18.656250,18.718750,11.845179,1801600
2000-04-13,18.843750,18.843750,18.187500,18.187500,11.509004,1753000
2000-04-14,18.000000,18.000000,17.437500,17.687500,11.192607,1466000
2000-04-17,17.562500,18.000000,17.187500,17.968750,11.370582,1519400
2000-04-18,17.937500,17.937500,17.375000,17.593750,11.133282,1496000
2000-04-19,17.625000,18.000000,17.531250,17.968750,11.370582,1324600
2000-04-20,18.000000,18.093750,17.812500,18.000000,11.390357,971200
2000-04-24,17.937500,18.406250,17.906250,18.250000,11.548554,1361000
2000-04-25,18.312500,18.906250,18.187500,18.625000,11.785852,1770600
2000-04-26,18.750000,19.625000,18.562500,19.250000,12.181349,2507000
2000-04-27,19.218750,19.468750,18.781250,18.875000,11.944051,2091000
2000-04-28,18.843750,19.250000,18.625000,18.812500,11.904500,1793600
2000-05-01,18.750000,19.281250,18.718750,19.000000,12.023152,1933200
2000-05-02,19.312500,19.312500,18.812500,18.843750,11.924281,1601200
2000-05-03,18.812500,19.687500,18.812500,19.187500,12.141800,1856800
2000-05-04,19.312500,19.968750,19.250000,19.593750,12.398878,1607200
2000-05-05,19.468750,19.687500,19.218750,19.218750,12.161578,1025800
2000-05-08,19.562500,19.968750,19.437500,19.781250,12.517526,1049800
2000-05-09,19.906250,19.968750,19.593750,19.781250,12.517526,1275600
2000-05-10,19.812500,20.031250,19.718750,20.031250,12.675726,1711200
2000-05-11,19.968750,21.000000,19.937500,20.500000,12.972348,2418200
2000-05-12,20.437500,20.593750,20.031250,20.281250,12.833923,1557600
2000-05-15,20.281250,20.625000,20.093750,20.218750,12.794376,1368800
2000-05-16,20.468750,20.500000,19.937500,20.500000,12.972348,1557200
2000-05-17,20.500000,20.500000,20.062500,20.281250,12.833923,996800
2000-05-18,20.375000,20.687500,20.312500,20.515619,12.982232,2613800
2000-05-19,20.343750,20.406250,20.218750,20.343750,12.873475,1590200
2000-05-22,20.468750,20.468750,20.250000,20.312500,12.853698,1168000
2000-05-23,20.437500,20.531250,20.312500,20.500000,12.972348,1145400
2000-05-24,20.437500,21.000000,20.437500,20.968750,13.268971,1755000
2000-05-25,21.000000,21.093750,19.750000,20.062500,12.695502,4034600
2000-05-26,20.375000,20.843750,20.156250,20.656250,13.071218,1319600
2000-05-30,21.000000,21.687500,20.750000,21.687500,13.723801,3044600
2000-05-31,21.500000,21.500000,20.843750,21.062500,13.328293,1482200
2000-06-01,21.031250,21.187500,20.781250,21.000000,13.288742,2887800
2000-06-02,21.125000,21.500000,20.875000,20.875000,13.209650,2092000
2000-06-05,20.875000,20.906250,20.156250,20.156250,12.754822,879000
2000-06-06,20.093750,20.531250,20.031250,20.500000,12.972348,1069200
2000-06-07,20.750000,21.593750,20.718750,21.312500,13.486495,2996400
2000-06-08,21.187500,21.343750,20.531250,20.750000,13.130549,1043400
2000-06-09,21.000000,21.000000,20.593750,20.906250,13.229425,1241600
2000-06-12,20.937500,21.156250,20.406250,20.531250,12.992122,764000
2000-06-13,20.406250,20.750000,20.250000,20.687500,13.090998,1026000
2000-06-14,20.812500,20.968750,20.593750,20.875000,13.209650,744800
2000-06-15,20.812500,21.343750,20.812500,21.187500,13.407399,1114000
2000-06-16,21.156250,21.312500,20.687500,20.812500,13.170095,1366400
2000-06-19,20.968750,21.000000,20.437500,20.625000,13.051448,794000
2000-06-20,20.656250,20.656250,19.968750,20.125000,12.735049,1240800
2000-06-21,20.125000,20.156250,19.375000,19.750000,12.497751,1705000
2000-06-22,19.718750,20.000000,19.468750,19.937500,12.616397,1470800
2000-06-23,19.968750,20.375000,19.906250,20.000000,12.655946,915400
2000-06-26,20.125000,20.281250,19.906250,19.906250,12.596621,949800
2000-06-27,19.500000,20.281250,19.500000,20.187500,12.774599,988800
2000-06-28,20.218750,20.218750,19.656250,19.890619,12.586735,923000
2000-06-29,19.843750,20.187500,19.843750,20.000000,12.655946,921000
2000-06-30,19.750000,21.085939,19.750000,21.062500,13.328293,2622200
2000-07-03,21.000000,21.031250,20.562500,20.968750,13.268971,748200
2000-07-05,21.000000,21.250000,20.593750,20.906250,13.305572,1470600
2000-07-06,20.812500,20.937500,20.500000,20.625000,13.126571,1084400
2000-07-07,20.750000,20.812500,20.250000,20.312500,12.927684,1087600
2000-07-10,20.187500,20.250000,20.031250,20.187500,12.848131,1440400
2000-07-11,20.187500,20.218750,20.000000,20.093750,12.788461,1833200
2000-07-12,19.968750,20.187500,19.375000,20.156250,12.828235,2123800
2000-07-13,20.093750,20.125000,19.750000,19.906250,12.669127,1096200
2000-07-14,20.000000,20.218750,19.781250,19.843750,12.629349,919800
2000-07-17,19.906250,19.937500,19.437500,19.593750,12.470237,1019200
2000-07-18,19.593750,20.031250,19.500000,19.875000,12.649240,1227200
2000-07-19,19.906250,20.218750,19.843750,20.093750,12.788461,1201000
2000-07-20,20.281250,20.781250,20.281250,20.437500,13.007241,2095000
2000-07-21,20.468750,20.656250,19.968750,20.031250,12.748687,822200
2000-07-24,19.968750,20.000000,19.687500,19.750000,12.569683,818600
2000-07-25,19.718750,20.000000,19.531250,19.875000,12.649240,1161000
2000-07-26,19.937500,19.968750,19.593750,19.593750,12.470237,1358000
2000-07-27,20.000000,20.531250,19.625000,20.437500,13.007241,1520200
2000-07-28,20.500000,20.718750,20.406250,20.531250,13.066900,1471000
2000-07-31,20.593750,20.718750,19.531250,19.687500,12.529902,1252000
2000-08-01,19.562500,20.312500,19.437500,20.218750,12.868011,1383600
2000-08-02,20.937500,21.343750,20.343750,20.593750,13.106683,2191800
2000-08-03,20.718750,20.718750,20.156250,20.437500,13.007241,1242000
2000-08-04,20.468750,21.062500,20.187500,20.875000,13.285686,1562800
2000-08-07,21.000000,21.000000,20.562500,20.750000,13.206126,1296600
2000-08-08,20.781250,20.843750,20.343750,20.750000,13.206126,1291200
2000-08-09,20.656250,20.750000,20.250000,20.687500,13.166348,1404000
2000-08-10,20.687500,21.187500,20.656250,21.093750,13.424892,1591200
2000-08-11,21.250000,21.625000,21.250000,21.500000,13.683459,1593800
2000-08-14,21.593750,21.593750,21.125000,21.375000,13.603902,805600
2000-08-15,21.437500,21.437500,20.937500,20.937500,13.325459,921400
2000-08-16,21.000000,21.343750,20.843750,21.031250,13.385121,1230400
2000-08-17,20.968750,21.312500,20.968750,21.125000,13.444793,796600
2000-08-18,21.125000,21.593750,21.062500,21.406250,13.623790,1591800
2000-08-21,21.500000,21.593750,21.406250,21.500000,13.683459,865600
2000-08-22,21.500000,22.187500,21.500000,22.062500,14.041453,1957400
2000-08-23,22.093750,22.687500,21.937500,22.562500,14.359672,2238000
2000-08-24,22.531250,22.531250,21.875000,22.000000,14.001670,1266800
2000-08-25,21.187500,21.531250,21.156250,21.375000,13.603902,1060000
2000-08-28,21.437500,21.625000,21.218750,21.312500,13.564119,1165800
2000-08-29,21.625000,21.625000,21.187500,21.218750,13.504457,1356400
2000-08-30,21.343750,21.375000,20.906250,20.968750,13.345343,1390600
2000-08-31,20.937500,21.250000,20.875000,21.156250,13.464678,1343800
2000-09-01,21.312500,21.375000,20.968750,21.031250,13.385121,1379200
2000-09-05,21.156250,21.250000,21.000000,21.031250,13.385121,1061200
2000-09-06,20.968750,21.375000,20.937500,21.093750,13.424892,1400000
2000-09-07,21.062500,21.156250,20.906250,20.968750,13.345343,1052600
2000-09-08,21.000000,21.187500,20.937500,21.000000,13.365237,1592200
2000-09-11,21.000000,21.062500,20.531250,20.968750,13.345343,2543400
2000-09-12,21.062500,21.500000,21.031250,21.359381,13.593957,863000
2000-09-13,21.500000,21.968750,21.500000,21.687500,13.802791,906400
2000-09-14,21.562500,21.687500,21.312500,21.468750,13.663564,1568800
2000-09-15,21.343750,21.656250,21.343750,21.625000,13.763016,1893400
2000-09-18,22.000000,22.000000,21.281250,21.781250,13.862455,1821000
2000-09-19,21.843750,21.875000,21.437500,21.781250,13.862455,1947600
2000-09-20,21.843750,21.968750,21.625000,21.968750,13.981785,1495600
2000-09-21,22.093750,22.437500,21.875000,22.375000,14.240336,1686000
2000-09-22,22.500000,22.968750,22.468750,22.843750,14.538664,1701200
2000-09-25,22.937500,22.937500,22.500000,22.718750,14.459116,958200
2000-09-26,22.656250,22.906250,22.531250,22.718750,14.459116,1134800
2000-09-27,22.562500,23.031250,22.500000,23.031250,14.657999,927200
2000-09-28,22.968750,23.625000,22.906250,23.390619,14.886718,2048400
2000-09-29,23.187500,23.218750,22.718750,23.156250,14.737550,925400
2000-10-02,22.625000,23.156250,22.312500,22.906250,14.578444,1449800
