Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.062500,26.250000,26.062500,26.250000,16.376961,63800
2000-01-03,26.250000,26.312500,25.281250,25.343750,15.811562,199800
2000-01-04,25.218750,25.625000,25.000000,25.031250,15.616597,173400
2000-01-05,25.031250,26.468750,25.031250,26.218750,16.357460,464800
2000-01-06,26.093750,26.875000,25.906250,25.906250,16.162502,200000
2000-01-07,25.781250,26.812500,25.781250,26.468750,16.513428,222200
2000-01-10,26.343750,26.343750,25.281250,25.437500,15.870052,312000
2000-01-11,25.375000,25.406250,24.875000,25.093750,15.655598,238600
2000-01-12,25.125000,25.375000,25.062500,25.343750,15.811562,314600
2000-01-13,25.625000,26.437500,25.625000,26.343750,16.435444,322400
2000-01-14,26.218750,26.250000,25.593750,25.593750,15.967534,276800
2000-01-18,25.468750,25.468750,24.656250,24.812500,15.480122,327200
2000-01-19,24.937500,25.718750,24.937500,25.125000,15.675092,204600
2000-01-20,25.093750,25.218750,24.750000,24.906250,15.538609,144000
2000-01-21,25.062500,25.062500,24.187500,24.375000,15.207174,244000
2000-01-24,24.406250,24.656250,23.562500,23.750000,14.817250,245600
2000-01-25,23.875000,24.187500,23.562500,23.562500,14.700272,183600
2000-01-26,23.562500,23.593750,22.875000,23.281250,14.524804,340200
2000-01-27,23.250000,23.593750,23.187500,23.531250,14.680772,205200
2000-01-28,23.531250,23.750000,23.437500,23.437500,14.622278,294200
2000-01-31,23.406250,24.312500,23.343750,24.250000,15.129193,214000
2000-02-01,24.156250,24.375000,24.062500,24.312500,15.168182,192200
2000-02-02,24.375000,24.562500,24.250000,24.250000,15.129193,239600
2000-02-03,24.250000,25.062500,24.250000,24.656250,15.382640,477800
2000-02-04,24.593750,24.593750,23.500000,23.750000,14.817250,411000
2000-02-07,23.750000,25.000000,23.750000,24.625000,15.363149,382400
2000-02-08,24.625000,24.843750,23.281250,23.406250,14.602787,187400
2000-02-09,23.937500,24.281250,23.750000,23.843750,14.875733,320800
2000-02-10,23.968750,24.625000,23.656250,24.562500,15.324149,501800
2000-02-11,24.562500,24.718750,24.250000,24.593750,15.343644,303400
2000-02-14,25.000000,25.562500,24.687500,24.843750,15.499619,380000
2000-02-15,24.843750,25.281250,24.375000,25.250000,15.753075,360000
2000-02-16,25.187500,25.218750,24.281250,24.312500,15.168182,339000
2000-02-17,24.375000,24.750000,23.687500,23.687500,14.778252,215400
2000-02-18,23.687500,23.750000,23.000000,23.093750,14.407824,311800
