Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.031250,5.171875,5.000000,5.109375,3.596842,1894800
2000-01-03,5.093750,5.125000,4.953125,5.078125,3.574843,7242000
2000-01-04,5.015625,5.062500,4.656250,4.812500,3.387850,9108400
2000-01-05,4.812500,4.859375,4.671875,4.671875,3.288855,12011200
2000-01-06,5.000000,5.187500,4.921875,4.953125,3.486846,13496000
2000-01-07,4.968750,5.203125,4.875000,5.078125,3.574843,8710000
2000-01-10,5.046875,5.078125,4.984375,5.000000,3.519844,7616400
2000-01-11,5.000000,5.046875,4.906250,4.921875,3.464847,9789200
2000-01-12,4.921875,4.937500,4.875000,4.875000,3.431848,8188800
2000-01-13,4.875000,4.921875,4.765625,4.875000,3.431848,9368800
2000-01-14,4.859375,4.984375,4.843750,4.921875,3.464847,4632400
2000-01-18,4.859375,4.890625,4.734375,4.765625,3.354853,3944000
2000-01-19,4.828125,4.843750,4.593750,4.609375,3.244857,7242800
2000-01-20,4.718750,4.750000,4.546875,4.625000,3.255857,4619600
2000-01-21,4.562500,4.578125,4.218750,4.312500,3.035866,21694800
2000-01-24,4.187500,4.296875,4.125000,4.156250,2.925872,14191200
2000-01-25,4.156250,4.296875,4.140625,4.250000,2.991868,6583600
2000-01-26,4.203125,4.375000,4.203125,4.343750,3.057865,8232800
2000-01-27,4.328125,4.453125,4.218750,4.281250,3.013866,6114400
2000-01-28,4.218750,4.234375,4.062500,4.078125,2.870873,6966000
2000-01-31,4.093750,4.125000,4.015625,4.078125,2.870873,5648400
2000-02-01,4.015625,4.171875,4.015625,4.156250,2.925872,5247600
2000-02-02,4.171875,4.437500,4.015625,4.375000,3.079864,5960800
2000-02-03,4.312500,4.640625,4.250000,4.546875,3.200858,11160800
2000-02-04,4.546875,4.656250,4.312500,4.578125,3.222858,10744400
2000-02-07,4.468750,4.484375,4.234375,4.296875,3.024866,8986800
2000-02-08,4.343750,4.437500,4.343750,4.390625,3.116246,6589600
2000-02-09,4.375000,4.375000,4.250000,4.265625,3.027528,4532400
2000-02-10,4.250000,4.375000,4.093750,4.312500,3.060799,4624800
2000-02-11,4.343750,4.343750,4.093750,4.187500,2.972079,4717600
2000-02-14,4.203125,4.218750,4.078125,4.171875,2.960989,3272800
2000-02-15,4.171875,4.171875,4.031250,4.078125,2.894450,4661600
2000-02-16,4.093750,4.093750,3.875000,3.906250,2.772462,6686000
2000-02-17,3.890625,4.046875,3.750000,3.796875,2.694834,7728000
2000-02-18,3.843750,3.906250,3.750000,3.781250,2.683743,6530800
2000-02-22,3.843750,3.843750,3.687500,3.718750,2.639384,4178800
2000-02-23,3.750000,3.796875,3.671875,3.671875,2.606115,3073200
2000-02-24,3.625000,3.656250,3.484375,3.562500,2.528485,5422800
2000-02-25,3.562500,3.687500,3.484375,3.531250,2.506306,6590400
2000-02-28,3.531250,3.750000,3.531250,3.750000,2.661563,12048000
2000-02-29,3.781250,4.062500,3.781250,3.984375,2.827912,13273200
2000-03-01,4.046875,4.156250,3.906250,4.125000,2.927720,13587200
2000-03-02,4.140625,4.328125,4.125000,4.187500,2.972079,7909600
2000-03-03,4.062500,4.312500,3.890625,4.234375,3.005348,5958000
2000-03-06,4.187500,4.187500,4.031250,4.093750,2.905540,3782000
2000-03-07,4.062500,4.078125,3.875000,3.906250,2.772462,4126000
2000-03-08,3.750000,3.937500,3.703125,3.937500,2.794642,8748400
2000-03-09,3.875000,3.921875,3.812500,3.906250,2.772462,12703600
2000-03-10,3.828125,3.875000,3.796875,3.812500,2.705923,8376400
2000-03-13,3.781250,3.781250,3.625000,3.750000,2.661563,9430000
